N	3gram	Vygotskiy_	VelikijI
1	за то что	3	3
2	в первый раз	1	3
3	к тому что	8	3
4	то что мы	2	3
5	и т д	6	2
6	в том что	30	2
7	бы и не	1	2
8	а между тем	1	2
9	вместо того чтобы	1	2
10	в нем нет	3	2
11	том что он	4	2
12	никогда еще не	1	2
13	он говорит что	4	1
14	т д и	1	1
15	в конце концов	6	1
16	вместе с тем	4	1
17	мы видим что	5	1
18	что есть что-то	1	1
19	потому что оно	1	1
20	ни для чего	1	1
21	и никогда не	1	1
22	по сравнению с	4	1
23	и что в	5	1
24	жизни и потому	1	1
25	мы хотим решить	1	1
26	по крайней мере	1	1
27	д и т	1	1
28	нет и что	1	1
29	не могут быть	1	1
30	того что есть	1	1
31	в жизни и	1	1
32	как бы в	3	1
33	есть одна из	2	1
34	чтобы сделать их	1	1
35	все равно не	1	1
36	с другой стороны	8	1
37	в своей сущности	1	1
38	с такой силой	2	1
39	в последних словах	1	1
40	бы то ни	1	1
41	и есть то	1	1
42	после того как	1	1
43	и в этом	2	1
44	что он был	1	1
45	людей все это	1	1
46	так как она	3	1
