N	3gram	Losev_Dial	formyVre
1	и т п	1	32
2	то же время	3	21
3	в то же	3	18
4	как мы уже	1	15
5	в связи с	3	15
6	с точки зрения	25	15
7	для того чтобы	1	12
8	не только в	1	11
9	в этом мире	1	10
10	и в то	2	10
11	до сих пор	1	10
12	и прежде всего	6	8
13	и т д	38	7
14	не может быть	12	7
15	в отличие от	1	7
16	в этом отношении	2	7
17	прежде всего в	1	7
18	друг от друга	1	6
19	и в этом	4	6
20	и в особенности	1	6
21	имеем в виду	1	6
22	с одной стороны	3	6
23	мы уже сказали	2	6
24	в том что	12	5
25	одной стороны и	1	5
26	в то время	6	5
27	на первый план	4	5
28	той или иной	2	5
29	как и в	3	5
30	одно и то	2	5
31	и то же	2	5
32	мы имеем в	1	5
33	и не только	5	5
34	и во всех	1	4
35	одних и тех	2	4
36	в нем нет	2	4
37	друг на друга	1	4
38	с другой стороны	3	4
39	равно как и	2	4
40	связи с этим	1	4
41	и тех же	2	4
42	включает в себя	1	4
43	во всяком случае	3	4
44	то время как	6	4
45	но все эти	1	3
46	и как бы	2	3
47	прямо сказать что	1	3
48	о том как	2	3
49	по сравнению с	1	3
50	в себя и	1	3
51	можно прямо сказать	1	3
52	может быть только	1	3
53	сами по себе	3	3
54	но при этом	1	3
55	в зависимости от	3	3
56	в чем не	1	3
57	в нем не	2	3
58	как раз и	3	3
59	то же самое	1	3
60	и все прочие	1	3
61	во все стороны	1	3
62	а следовательно и	1	3
63	же как и	1	3
64	и в частности	2	3
65	но в то	1	3
66	о том что	6	3
67	так же как	2	3
68	с самого начала	1	3
69	ни в чем	2	3
70	тот или иной	2	3
71	можно сказать что	1	2
72	от друга и	1	2
73	по природе своей	1	2
74	и вместе с	1	2
75	в данном случае	3	2
76	к тому же	2	2
77	это значит что	25	2
78	в каком же	1	2
79	все в мире	1	2
80	в нашем случае	1	2
81	то что было	1	2
82	нет ничего что	1	2
83	не было бы	1	2
84	мы находим в	1	2
85	и та же	3	2
86	со всеми ее	1	2
87	в виду что	2	2
88	мы будем говорить	1	2
89	со всех сторон	1	2
90	как и все	5	2
91	и все его	1	2
92	жизни и смерти	1	2
93	к тому что	2	2
94	во всей его	1	2
95	жизнь и смерть	1	2
96	том что они	1	2
97	с тем что	1	2
98	одна и та	3	2
99	что и в	1	2
100	же в этом	1	2
101	в основе своей	1	2
102	тем полнее и	1	1
103	в этот момент	1	1
104	тем более не	2	1
105	рано или поздно	1	1
106	людей животных и	1	1
107	сих пор говорили	1	1
108	это как бы	1	1
109	том что все	1	1
110	для себя и	1	1
111	в применении к	1	1
112	том что в	1	1
113	в этом смысле	1	1
114	переходим ко второму	1	1
115	то что является	1	1
116	жизни и мира	2	1
117	этим мы еще	1	1
118	и вот когда	2	1
119	в своем движении	1	1
120	и даже в	1	1
121	стремлений и вот	1	1
122	с этой точки	4	1
123	вовсе не в	3	1
124	в самом деле	6	1
125	не могут не	1	1
126	не только его	2	1
127	мы еще не	1	1
128	тем не менее	10	1
129	когда мы говорим	1	1
130	с которой он	1	1
131	не только элемент	1	1
132	в своем существе	1	1
133	более или менее	1	1
134	но они не	2	1
