N	2gram	Medvedev_I	Literetu
1	и не	2	47
2	и в	1	44
3	в этом	2	38
4	себя в	1	22
5	того что	1	22
6	так и	1	22
7	с другой	1	17
8	я не	1	15
9	в целом	1	15
10	по отношению	1	14
11	отношению к	1	12
12	а также	1	12
13	никогда не	1	11
14	и сам	1	11
15	в основе	1	11
16	а в	1	11
17	не случайно	1	10
18	что в	2	10
19	жизни и	1	10
20	тем что	1	8
21	того же	1	8
22	художественного творчества	1	8
23	для него	1	8
24	по существу	1	8
25	вплоть до	1	8
26	другой стороны	1	7
27	в художественном	1	7
28	он не	2	7
29	и с	3	7
30	с жизнью	1	6
31	как о	1	6
32	то и	1	6
33	и др	1	6
34	самого себя	2	5
35	автора и	1	5
36	в них	1	4
37	только для	1	4
38	для того	1	4
39	очевидно что	1	4
40	со всеми	1	4
41	тех же	1	4
42	более чем	1	4
43	а по	1	4
44	и еще	1	3
45	следующим образом	1	3
46	говорить о	1	3
47	а с	1	3
48	а для	1	3
49	же это	1	3
50	что для	1	3
51	его личности	1	3
52	не так	1	3
53	если бы	1	3
54	того чтобы	1	3
55	ничего не	2	3
56	все эти	1	3
57	и о	1	3
58	могло бы	1	2
59	по поводу	1	2
60	о ней	1	2
61	не остается	1	2
62	бы в	1	2
63	а если	1	2
64	в значительной	1	2
65	то она	1	2
66	что роман	1	2
67	о жизни	1	2
68	и без	1	2
69	должен быть	2	2
70	только что	1	1
71	пишет и	1	1
72	как только	1	1
73	точно и	1	1
74	художественном творчестве	1	1
75	на котором	1	1
76	утверждает что	1	1
77	не допустил	1	1
78	что при	1	1
79	видит в	1	1
80	и наказания	1	1
81	от этого	1	1
82	в эту	1	1
83	и дети	1	1
84	стороны он	1	1
85	бы его	1	1
86	основе всего	1	1
87	первую очередь	1	1
88	преступления и	1	1
89	автор и	1	1
90	нам в	1	1
91	в материале	1	1
92	ненависть к	1	1
93	произведения и	1	1
94	нее и	1	1
95	неудивительно что	1	1
96	все это	1	1
97	в первую	1	1
98	есть только	1	1
99	и со	1	1
100	нисколько не	1	1
101	это было	1	1
102	еще одной	1	1
103	и и	1	1
104	достоевского с	1	1
105	он с	1	1
