N	2gram	Tiupa_Narr	TeoriaLi
1	в качестве	21	33
2	в мире	9	26
3	не только	32	24
4	и в	19	24
5	в частности	14	23
6	то есть	19	22
7	состоит в	13	22
8	может быть	25	22
9	при этом	9	20
10	в том	18	20
11	в тексте	16	19
12	тогда как	12	18
13	и не	20	17
14	а в	11	15
15	но и	23	14
16	а не	12	14
17	так и	9	14
18	в себе	8	14
19	представляет собой	13	13
20	в рамках	12	13
21	такого рода	7	13
22	внутренней речи	1	13
23	но не	6	13
24	в этом	17	12
25	сводится к	3	12
26	но в	6	12
27	в его	9	12
28	то же	4	12
29	своего рода	12	11
30	художественного текста	2	11
31	том что	14	11
32	точки зрения	10	11
33	внутреннего зрения	4	11
34	и его	5	11
35	что в	3	10
36	по отношению	7	10
37	как это	6	10
38	лишь в	1	10
39	отношению к	6	10
40	коммуникативного события	12	10
41	только в	4	9
42	в данном	5	9
43	с другой	8	9
44	не сводится	2	9
45	не в	14	9
46	в то	3	9
47	же время	4	8
48	как бы	4	8
49	присутствия в	3	8
50	всего лишь	2	8
51	по своей	3	8
52	не может	10	8
53	в самом	1	7
54	в принципе	4	7
55	не столько	4	7
56	или иной	5	7
57	и т.п	8	7
58	в отличие	5	7
59	в своем	2	7
60	кадров внутреннего	1	7
61	себя в	5	7
62	мы имеем	2	7
63	а также	7	7
64	отличие от	5	7
65	во второй	2	7
66	отношение к	2	7
67	однако в	2	7
68	место в	1	7
69	в области	2	7
70	в нем	4	7
71	другой стороны	4	6
72	в состав	1	6
73	более или	2	6
74	конечном счете	2	6
75	как и	7	6
76	не менее	3	6
77	приводит к	2	6
78	еще не	7	6
79	в основе	5	6
80	то что	11	6
81	со стороны	9	6
82	уже не	5	6
83	с его	6	6
84	в ее	3	6
85	картина мира	5	6
86	с другими	1	6
87	в конечном	3	6
88	или иначе	3	6
89	между ними	2	6
90	или менее	2	6
91	героя и	4	6
92	в русской	1	6
93	того или	2	6
94	тем самым	6	6
95	или иного	2	6
96	кто говорит	2	5
97	ни в	3	5
98	в виду	1	5
99	мыслится как	1	5
100	так или	2	5
101	и одновременно	2	5
102	не предполагает	5	5
103	как в	7	5
104	в художественном	1	5
105	воспринимающего сознания	1	5
106	можно сказать	5	5
107	не является	8	5
108	жизни как	3	5
109	как правило	4	5
110	за пределами	1	5
111	речевая маска	5	5
112	иначе говоря	6	5
113	как к	2	5
114	данном случае	4	5
115	для него	2	5
116	композиционных форм	1	5
117	того что	2	5
118	в себя	6	5
119	между тем	3	5
120	он не	3	5
121	и тем	4	5
122	высказывания в	6	5
123	в пределах	2	5
124	по сути	2	5
125	в ходе	1	5
126	могут быть	3	5
127	не случайно	2	5
128	без исключения	2	4
129	не на	2	4
130	и сам	1	4
131	значении этого	3	4
132	отношения к	2	4
133	что он	6	4
134	в слове	1	4
135	для читателя	1	4
136	с позиций	1	4
137	совпадает с	1	4
138	входит в	1	4
139	в другом	1	4
140	говорить о	2	4
141	и т.д	7	4
142	сказать что	4	4
143	к тому	7	4
144	этого слова	2	4
145	текста как	2	4
146	во времени	8	4
147	никогда не	3	4
148	и того	2	4
149	это не	2	4
150	хотя и	3	4
151	в литературе	2	4
152	слова в	1	4
153	говоря словами	2	4
154	в их	1	4
155	его в	2	4
156	читателя в	2	4
157	но он	1	4
158	не знает	1	4
159	личностного присутствия	1	4
160	или даже	2	4
161	мира и	2	4
162	по своему	1	4
163	креативная компетенция	6	4
164	личности в	2	4
165	субъекта и	2	4
166	речи и	1	4
167	в свою	3	4
168	в форме	5	4
169	далеко не	5	4
170	того же	1	4
171	одного и	1	4
172	силу своей	1	4
173	в силу	4	4
174	с ее	3	4
175	в целом	1	4
176	и ее	2	4
177	текста в	2	3
178	рамках которого	1	3
179	и к	1	3
180	во втором	4	3
181	в таком	2	3
182	для себя	1	3
183	с этой	1	3
184	даже в	2	3
185	в финале	1	3
186	говорит и	2	3
187	своем составе	1	3
188	о чем	2	3
189	внутреннего слуха	2	3
190	подобно тому	2	3
191	я героя	2	3
192	данного текста	1	3
193	если бы	1	3
194	может выступать	1	3
195	между которыми	1	3
196	все эти	2	3
197	а именно	3	3
198	именно в	6	3
199	по мысли	3	3
200	и адресата	1	3
201	например в	2	3
202	сути дела	2	3
203	это позиция	2	3
204	имеет место	4	3
205	к его	1	3
206	в соответствии	1	3
207	их в	1	3
208	никто не	1	3
209	роль в	2	3
210	коммуникативных стратегий	1	3
211	в иной	2	3
212	тем не	3	3
213	культуры в	1	3
214	перед нами	4	3
215	свою очередь	3	3
216	между собой	2	3
217	своей природе	1	3
218	сводятся к	1	3
219	в роли	2	3
220	в противоположность	2	3
221	потому что	1	3
222	одной стороны	7	3
223	между двумя	5	3
224	или иных	1	3
225	направленной на	1	3
226	вслед за	4	3
227	не обязательно	3	3
228	всех без	1	3
229	известной степени	1	3
230	на две	1	3
231	текст как	1	3
232	мог бы	3	3
233	во всей	2	3
234	не все	5	3
235	с читателем	1	3
236	м.м бахтина	1	3
237	из этих	3	3
238	и для	2	3
239	в притче	3	3
240	о ней	3	3
241	к содержанию	3	3
242	таким образом	1	3
243	и то	1	3
244	человека к	1	3
245	в эпизоде	3	3
246	художественного высказывания	2	3
247	с одной	7	3
248	том числе	6	3
249	в произведении	3	3
250	авторской позиции	2	3
251	и потому	2	3
252	с точки	2	3
253	к которому	2	3
254	как раз	2	3
255	не слияние	1	3
256	есть в	2	3
257	прежде всего	4	3
258	несет в	1	3
259	а на	1	3
260	связи с	4	3
261	или в	2	3
262	и позволяет	1	3
263	в организации	2	3
264	одним из	2	3
265	в равной	1	3
266	как говорит	3	3
267	сказания или	4	3
268	в связи	2	3
269	и как	5	3
270	его текст	1	3
271	вовсе не	1	3
272	текст и	1	3
273	той или	4	3
274	во всех	1	3
275	а с	3	3
276	тот или	1	3
277	картины мира	5	3
278	классического реализма	1	3
279	сближение но	1	3
280	ценностного центра	2	3
281	однако если	1	3
282	тому как	2	3
283	в акте	1	3
284	с языком	1	3
285	не будет	3	3
286	не с	3	3
287	нового времени	2	3
288	этом смысле	1	3
289	человека с	1	3
290	равной степени	1	3
291	жизни однако	1	3
292	в этой	5	3
293	одного сознания	2	3
294	и др	2	3
295	человеческой жизни	1	3
296	столь же	3	3
297	являет собой	2	3
298	и по	1	3
299	тех или	1	3
300	отнюдь не	5	3
301	воспринимающее сознание	1	3
302	в культуре	2	3
303	мира в	5	3
304	в той	6	2
305	поскольку не	1	2
306	о жизни	1	2
307	текста характеризующийся	1	2
308	более не	2	2
309	притча не	2	2
310	мире и	1	2
311	образом и	1	2
312	однако с	1	2
313	один из	3	2
314	и здесь	1	2
315	с иными	1	2
316	речевой деятельности	1	2
317	таковы например	1	2
318	и на	3	2
319	легкой руки	1	2
320	ткань текста	1	2
321	русской литературе	1	2
322	ценностной позиции	1	2
323	если в	3	2
324	рассказ о	1	2
325	жизни а	2	2
326	которая в	2	2
327	и который	1	2
328	воображенного мира	1	2
329	в литературной	1	2
330	судьбы а	1	2
331	оказывается уже	1	2
332	строго говоря	1	2
333	по слову	1	2
334	на этом	1	2
335	из которых	4	2
336	природе суть	1	2
337	в году	1	2
338	субъекта жизни	1	2
339	не признает	1	2
340	по себе	5	2
341	не могут	1	2
342	вещами и	1	2
343	в них	1	2
344	оно не	2	2
345	и даже	3	2
346	этой точки	2	2
347	здесь мы	1	2
348	самом деле	2	2
349	речевого замысла	2	2
350	может оказаться	2	2
351	на мир	1	2
352	на свою	1	2
353	обращается к	1	2
354	воображаемого мира	1	2
355	или анекдота	3	2
356	рамках художественного	1	2
357	лично для	1	2
358	каждый такой	1	2
359	литературных жанров	1	2
360	взаимодействия людей	1	2
361	и соответственно	2	2
362	с ними	1	2
363	коммуникативную стратегию	2	2
364	жизни в	3	2
365	себя и	2	2
366	говоря и	1	2
367	отличается от	4	2
368	адресата а	1	2
369	вокруг я	2	2
370	ему позиции	1	2
371	ни для	7	2
372	в известном	2	2
373	в следующей	1	2
374	всей своей	2	2
375	жизни на	1	2
376	к другому	2	2
377	в сказании	2	2
378	такого дискурса	1	2
379	своей жизни	1	2
380	к своему	1	2
381	о том	6	2
382	в аспекте	2	2
383	могут оказаться	1	2
384	не входит	1	2
385	мире это	1	2
386	при всем	2	2
387	при всей	4	2
388	это и	3	2
389	ними и	1	2
390	во внешнем	2	2
391	для автора	2	2
392	то чему	1	2
393	вытекает из	1	2
394	восходит к	3	2
395	совершенно иной	2	2
396	и свершают	1	2
397	высказывания и	3	2
398	к нему	5	2
399	в значительной	2	2
400	и иных	1	2
401	но во	1	2
402	писал бахтин	1	2
403	времени в	2	2
404	не всегда	2	2
405	с.с аверинцева	2	2
406	причастной вненаходимости	1	2
407	сознания в	1	2
