N	2gram	Bakhtin_sl	StatiiOP
1	и в	69	103
2	в том	7	89
3	том что	6	77
4	в этом	21	76
5	что в	3	74
6	не только	37	60
7	и т	56	51
8	о том	5	47
9	у пушкина	1	46
10	но и	37	46
11	то что	2	44
12	что он	2	42
13	в его	19	42
14	и не	32	41
15	может быть	40	38
16	было бы	3	32
17	т д	7	32
18	в этой	1	31
19	вовсе не	16	31
20	тем что	1	29
21	все это	14	29
22	таким образом	16	28
23	а в	10	27
24	а не	29	27
25	но в	13	26
26	так и	22	25
27	этом отношении	2	24
28	и его	45	24
29	все же	10	23
30	точки зрения	24	23
31	не в	14	23
32	так что	2	23
33	потому что	2	23
34	для того	2	22
35	в которой	4	22
36	как в	18	22
37	того что	4	22
38	прежде всего	14	22
39	у нас	2	22
40	в области	1	22
41	того чтобы	1	21
42	до сих	4	20
43	это не	8	20
44	в своей	8	19
45	сих пор	4	19
46	т п	49	19
47	в то	17	19
48	только в	9	19
49	в котором	2	18
50	с другой	8	18
51	он не	5	18
52	об этом	1	18
53	не может	27	18
54	в самом	6	17
55	как на	1	17
56	между прочим	1	17
57	как бы	16	17
58	в данном	5	17
59	в этих	8	16
60	с этим	5	16
61	сказать что	4	16
62	можно было	2	16
63	если бы	1	16
64	в ней	7	16
65	другой стороны	5	15
66	как и	8	15
67	из этих	3	15
68	у него	5	15
69	и на	17	15
70	например в	6	15
71	в отношении	9	15
72	как раз	3	15
73	для него	8	15
74	также и	5	15
75	то же	17	14
76	но все	2	14
77	к тому	3	14
78	с точки	11	14
79	между тем	5	14
80	и что	2	14
81	в течение	1	14
82	в той	13	13
83	именно в	5	13
84	во всяком	9	13
85	в своем	9	13
86	из них	3	13
87	в качестве	4	13
88	а с	2	13
89	в конце	1	13
90	в нем	44	13
91	в языке	7	13
92	вместе с	3	13
93	со стороны	1	13
94	всяком случае	7	13
95	но это	3	13
96	дело в	2	13
97	жизни и	5	13
98	тому что	2	13
99	не менее	4	12
100	хотя бы	6	12
101	ни в	4	12
102	как например	1	12
103	так как	7	12
104	что они	2	12
105	в них	11	11
106	в другом	4	11
107	никогда не	9	11
108	не было	4	11
109	и с	10	11
110	и по	3	11
111	из его	1	11
112	того как	2	11
113	все эти	15	11
114	это было	2	11
115	на то	2	11
116	кроме того	6	10
117	не столько	4	10
118	в виду	2	10
119	связь с	2	10
120	речь идет	1	10
121	так же	2	10
122	отметить что	3	10
123	в целом	3	10
124	что такое	1	10
125	что и	2	10
126	xix века	2	10
127	это слово	1	10
128	но он	4	10
129	во всех	25	10
130	а как	3	10
131	в каком	1	10
132	в истории	6	10
133	же время	15	10
134	ничего не	5	10
135	на самом	2	10
136	но не	7	10
137	в частности	3	10
138	в начале	1	10
139	и к	9	9
140	с этой	3	9
141	говорит о	1	9
142	можно сказать	2	9
143	он был	1	9
144	в одном	4	9
145	несмотря на	2	9
146	его жизни	1	9
147	и это	1	9
148	в чем	2	9
149	в каждом	5	9
150	и тем	3	9
151	не является	3	9
152	такого рода	2	9
153	и для	7	9
154	для нас	7	9
155	что мы	1	9
156	там где	10	9
157	место в	2	9
158	и об	1	8
159	в результате	4	8
160	и даже	11	8
161	связано с	3	8
162	еще более	7	8
163	что она	1	8
164	к этому	3	8
165	связи с	4	8
166	одним из	5	8
167	пушкина для	1	8
168	действующих лиц	2	8
169	и др	17	8
170	могут быть	25	8
171	в общем	1	8
172	к сожалению	1	8
173	нужно сказать	1	8
174	заключается в	1	8
175	в которых	1	8
176	тем не	2	8
177	совершенно не	2	8
178	и более	3	8
179	мы имеем	1	8
180	той же	3	8
181	до конца	25	8
182	подчеркнуть что	2	8
183	в их	6	8
184	а также	5	8
185	в какой	2	8
186	дело не	2	8
187	п в	2	8
188	отношение к	8	8
189	и о	3	8
190	с которыми	2	7
191	о чем	1	7
192	по себе	4	7
193	отличается от	3	7
194	в это	1	7
195	работы над	1	7
196	точка зрения	10	7
197	не просто	2	7
198	того же	7	7
199	гораздо более	1	7
200	на почве	6	7
201	в ее	2	7
202	что все	2	7
203	это очень	1	7
204	в эту	3	7
205	как это	3	7
206	что для	1	7
207	из этого	3	7
208	во втором	1	7
209	то в	2	7
210	и то	2	7
211	то время	2	7
212	еще не	9	7
213	очень мало	1	7
214	одной из	4	7
215	на этот	1	7
216	связан с	2	7
217	данном случае	3	7
218	уже в	2	7
219	в виде	4	7
220	но с	1	7
221	материал для	1	7
222	тем более	1	7
223	не все	2	7
224	с самого	1	7
225	факт что	1	7
226	лишь в	6	7
227	отношению к	2	7
228	случае в	1	6
229	же и	4	6
230	на его	9	6
231	в некоторых	3	6
232	одно из	1	6
233	вот что	1	6
