N	4gram	Ircho_Kome	Istorich
1	в то время как	3	13
2	в тех случаях когда	1	10
3	но вместе с тем	1	8
4	начинается с того что	1	7
5	с этой точки зрения	1	6
6	только после того как	1	5
7	таким образом и здесь	1	4
8	состоит в том что	1	4
9	то же самое что	1	4
10	один и тот же	3	3
11	до сих пор не	2	3
12	с одной стороны и	2	3
13	даже в тех случаях	1	3
14	бы то ни было	3	3
15	иначе обстоит дело с	3	2
16	что в некоторых случаях	1	2
17	много лет тому назад	1	2
18	в том числе и	2	2
19	с одной стороны он	1	2
20	едва ли не самым	2	1
21	несколько иначе обстоит дело	1	1
22	с ним а в	1	1
23	вместе с тем мы	1	1
24	в том что в	1	1
25	не заставляет себя ждать	1	1
26	до сих пор в	1	1
27	сама по себе не	1	1
28	дело следовательно не в	1	1
29	а с точки зрения	1	1
30	в этом случае в	1	1
31	о том что она	1	1
32	до сих пор были	1	1
33	несмотря на то что	1	1
34	и далеко не всегда	1	1
35	тем не менее и	1	1
36	как будут развиваться события	1	1
37	друг с другом и	1	1
38	мы знаем их в	1	1
39	в том что она	1	1
40	мы можем сказать что	1	1
41	никто об этом не	1	1
42	как бы то ни	2	1
43	после того как эти	1	1
44	по тому что она	1	1
45	в том что девушку	1	1
46	не говоря уже о	2	1
47	мы опять не знаем	1	1
48	тем не менее в	1	1
49	на вопрос почему в	1	1
50	только в том что	1	1
51	и между ними происходит	1	1
52	в самом деле и	1	1
53	следует понимать как это	1	1
54	в зависимости от того	1	1
55	что он отправляется в	1	1
56	только для того чтобы	2	1
57	об этом можно судить	1	1
58	в то же время	11	1
