N	2gram	Losev_Prob	Myslijsy
1	потому что	40	182
2	то есть	63	142
3	и в	62	121
4	может быть	39	107
5	в том	35	103
6	то что	42	83
7	в слове	4	78
8	для нас	23	75
9	что в	11	73
10	и не	56	73
11	только в	33	72
12	не только	33	67
13	а не	28	67
14	таким образом	13	64
15	в языке	4	60
16	в этом	25	59
17	но и	20	59
18	том что	25	59
19	так как	14	59
20	то же	23	56
21	не в	21	54
22	если бы	9	53
23	в себе	23	53
24	по себе	36	52
25	не может	14	52
26	того что	10	47
27	в душе	1	45
28	было бы	14	45
29	в нем	13	45
30	не есть	57	42
31	как и	15	42
32	так что	21	39
33	вместе с	3	39
34	что и	11	38
35	мы не	15	38
36	при этом	9	37
37	как в	10	37
38	так и	16	37
39	тогда когда	1	36
40	что мы	12	36
41	точно так	5	35
42	тем что	8	33
43	и что	9	32
44	а в	9	30
45	что не	4	29
46	но не	6	29
47	вовсе не	62	28
48	мы можем	11	28
49	для него	4	28
50	есть только	5	28
51	с этим	5	27
52	могут быть	2	27
53	язык есть	1	26
54	не было	6	26
55	независимо от	4	26
56	и т	20	26
57	то и	9	26
58	языка и	4	25
59	этого слова	5	25
60	между собою	5	24
61	в то	18	24
62	с тем	9	23
63	как бы	11	23
64	от того	2	23
65	а потому	1	22
66	что слово	3	22
67	то это	13	22
68	с другой	14	22
69	чувства и	1	22
70	не имеет	12	22
71	только тогда	2	22
72	но в	17	22
73	и потому	13	21
74	не менее	24	21
75	в одном	4	20
76	это не	10	20
77	в ней	12	20
78	мысли и	1	19
79	и как	4	19
80	но это	13	19
81	сказать что	24	19
82	с ним	11	19
83	того же	2	19
84	тем не	23	19
85	что это	3	19
86	и то	17	19
87	из этих	1	19
88	о том	14	19
89	есть уже	4	19
90	тем самым	9	19
91	должно быть	1	19
92	есть не	13	19
93	в самом	4	18
94	в таком	11	18
95	там же	1	18
96	для того	5	18
97	по поводу	3	18
98	не могут	1	18
99	бы не	2	18
100	в каком	9	18
101	для меня	4	18
102	еще не	12	18
103	точки зрения	14	17
104	крайней мере	9	17
105	по крайней	9	17
106	слова и	3	17
107	заметить что	2	17
108	что оно	4	17
109	уже в	5	17
110	в его	10	17
111	во всяком	14	17
112	слова в	1	17
113	не можем	5	17
114	только что	4	16
115	и на	4	16
116	к тому	4	16
117	так же	11	16
118	в своем	7	16
119	в которой	3	16
120	а только	9	16
121	в них	6	16
122	есть нечто	22	16
123	что если	3	16
124	каждый раз	7	16
125	на то	6	16
126	быть может	1	15
127	в этих	6	15
128	уже не	12	15
129	только как	3	15
130	с одной	3	15
131	с другими	6	15
132	и тем	16	15
133	и по	3	15
134	что он	16	15
135	т д	20	15
136	прежде всего	13	15
137	думать что	1	15
138	тому как	2	15
139	все же	10	14
140	в одно	4	14
141	в природе	2	14
142	в котором	3	14
143	то в	4	14
144	связи с	10	14
145	во всех	4	14
146	когда мы	24	14
147	столь же	1	14
148	бы ни	1	14
149	там где	1	14
150	сам по	11	14
151	в истории	4	14
152	и без	9	14
153	мысли в	1	14
154	мы должны	13	14
155	само по	5	14
156	например в	1	13
157	как на	2	13
158	из них	4	13
159	что все	2	13
160	в смысле	2	13
161	и все	13	13
162	том смысле	4	13
163	зависит от	1	13
164	смысле этого	1	13
165	образом в	2	13
166	звука и	2	13
167	и может	4	13
168	и его	12	13
169	от него	2	12
170	другой стороны	11	12
171	до сих	4	12
172	более или	2	12
173	не то	2	12
174	никогда не	7	12
175	и при	2	12
176	хотя и	9	12
177	быть только	1	12
178	в чем	5	12
179	сих пор	4	12
180	в каждом	1	12
181	оно не	1	12
182	всяком случае	8	12
183	человеческого духа	1	12
184	что же	9	12
185	себе представить	2	12
186	относится к	4	12
187	друг друга	5	12
188	только потому	3	12
189	что такое	4	12
190	все это	9	12
191	возможно только	1	12
192	есть в	6	12
193	или менее	2	12
194	тем более	8	12
195	человека и	1	12
196	как мы	12	12
197	что на	2	12
198	все что	1	11
199	и если	11	11
200	в первом	1	11
201	имеет для	2	11
202	только для	1	11
203	которые мы	5	11
204	из себя	5	11
205	только на	6	11
206	и это	11	11
207	к нему	3	11
208	души и	1	11
209	его в	4	11
210	и притом	7	11
211	подобно тому	3	11
212	для человека	1	11
213	речи и	1	11
214	мы видели	2	11
215	сами по	8	11
216	того чтобы	4	11
217	быть не	1	11
218	к ней	2	11
219	той же	2	11
220	с нею	2	11
221	со словом	1	11
222	что для	4	11
223	если не	7	11
224	и вообще	20	11
225	к одному	1	11
226	и только	10	11
227	другими словами	9	11
228	же что	1	11
229	указывает на	13	11
230	же в	6	11
231	и с	11	10
232	хотя бы	6	10
233	одной стороны	2	10
234	одной и	2	10
235	духа и	1	10
236	находится в	1	10
237	представить себе	5	10
238	мы видим	1	10
239	и мы	1	10
240	а и	2	10
241	что при	5	10
242	это слово	1	10
243	и следовательно	3	10
244	в других	2	10
245	бы в	3	10
246	если же	4	10
247	что только	1	10
248	и от	11	10
249	и есть	9	10
250	бы быть	5	10
251	он не	10	10
252	то время	6	10
253	образа и	4	10
254	такой степени	1	10
255	мы говорим	8	10
256	том как	4	10
257	если мы	24	10
258	тем же	2	10
259	и для	5	10
260	образ и	4	10
261	слова есть	1	10
262	и другое	1	10
263	и понимания	1	10
264	между прочим	4	10
265	только по	1	10
266	тому что	5	10
267	и того	1	9
268	то не	2	9
269	и даже	21	9
270	вопрос о	2	9
271	во многих	1	9
272	об отношении	1	9
273	связь между	1	9
274	до того	2	9
275	на него	3	9
276	что она	5	9
277	зрения и	1	9
278	что хотя	1	9
279	только от	1	9
280	могли бы	6	9
281	в нее	2	9
282	во время	3	9
283	одного и	1	9
284	для самого	2	9
285	от нее	2	9
286	не будет	3	9
287	известно что	1	9
288	себе не	2	9
289	самом деле	6	9
290	никто не	5	9
291	в сравнении	4	9
292	но оно	3	9
293	с точки	9	9
294	таком случае	7	9
295	это было	4	9
296	не все	1	9
297	разница между	1	9
298	и других	1	9
299	далеко не	1	9
300	в целом	9	9
301	нам кажется	2	9
302	и о	8	9
303	можно сказать	10	9
304	языка с	1	9
305	во всем	2	8
306	которые не	1	8
307	говорить о	7	8
308	до такой	1	8
309	не как	1	8
310	но все	5	8
311	мы называем	1	8
312	именно в	4	8
313	их в	2	8
314	в более	1	8
315	художественное произведение	9	8
316	так например	1	8
317	перестает быть	3	8
318	это содержание	1	8
319	была бы	2	8
320	что даже	6	8
321	что они	8	8
322	только не	6	8
323	мы в	6	8
324	от них	1	8
325	и звук	1	8
326	одно и	4	8
327	что есть	1	8
328	не так	8	8
329	с ними	2	8
330	в которых	3	8
331	между ними	1	8
332	внимание на	2	8
333	и тогда	3	8
334	остается только	2	8
335	при помощи	13	8
336	и той	2	8
337	на другие	1	8
338	нельзя сказать	3	8
339	в самой	4	8
340	тот же	1	8
341	этом случае	8	8
342	говоря о	1	8
343	то мы	3	8
344	на самом	13	8
345	все равно	6	8
346	или в	7	8
347	и более	6	8
348	такое же	1	8
349	словом и	1	8
350	на все	1	8
351	или что	1	8
352	языке и	1	7
353	самого себя	4	7
354	с этой	3	7
355	в разных	4	7
356	тем как	1	7
357	но что	3	7
358	на основании	2	7
359	все эти	14	7
360	к другим	2	7
361	в жизни	1	7
362	в собственном	1	7
363	но мы	1	7
364	в данном	14	7
365	не существует	6	7
366	даже и	33	7
367	не всегда	1	7
368	превращается в	1	7
369	звуком и	1	7
370	видно что	1	7
371	указания на	4	7
372	языка как	1	7
373	что содержание	1	7
374	что именно	3	7
375	к этому	2	7
376	на котором	2	7
377	что у	3	7
378	то оно	1	7
379	несмотря на	4	7
380	или не	1	7
381	столько же	2	7
382	на себе	5	7
383	но как	6	7
384	в своих	2	7
385	она не	3	7
386	и та	1	7
387	и тот	2	7
388	за пределы	6	7
389	этом смысле	5	7
390	значение и	7	7
391	них не	1	7
392	чем более	1	7
393	а как	2	7
394	во втором	1	7
395	все в	4	7
396	за ним	2	7
397	к одной	2	7
398	для себя	6	7
399	от нас	3	7
400	находятся в	5	7
401	для сознания	1	7
402	себя и	1	7
403	о котором	1	7
404	этот образ	1	7
405	бы и	7	7
406	то все	1	7
407	и во	5	7
408	мысли но	1	7
409	из него	2	7
410	дает нам	2	7
411	которое мы	5	7
412	в таких	3	7
413	слова но	3	7
414	сама по	11	7
415	как она	2	7
416	один и	2	7
417	не имеют	4	7
418	в искусстве	4	7
419	не с	1	7
420	на это	1	7
421	и понятия	2	7
422	не знаем	2	7
423	и к	9	6
424	заметим что	2	6
425	для всех	3	6
426	же и	7	6
427	самого предмета	2	6
428	нас в	5	6
429	образом и	2	6
430	в виду	20	6
431	если и	2	6
432	в речи	1	6
433	его на	1	6
434	а именно	12	6
435	в своей	8	6
436	человеческой речи	1	6
437	есть то	5	6
438	не имеем	1	6
439	как оно	3	6
440	себе в	5	6
441	известным образом	1	6
442	она есть	2	6
443	это будет	7	6
444	ни было	5	6
445	слов в	1	6
446	в ее	6	6
447	у него	1	6
448	но он	1	6
449	нем самом	1	6
450	есть явление	1	6
451	что его	3	6
452	представляется нам	1	6
453	могло бы	3	6
454	слова то	1	6
455	мы уже	4	6
456	хотя в	1	6
457	же самое	20	6
458	заставляет нас	3	6
459	но есть	1	6
460	оно есть	2	6
461	и сами	3	6
462	и самое	1	6
463	вне себя	1	6
464	например что	1	6
465	должна быть	1	6
466	никак не	13	6
467	от их	2	6
468	имеет значение	6	6
469	с таким	1	6
470	заключается в	8	6
471	которые могут	1	6
472	к нам	1	6
473	может стать	1	6
474	да и	9	6
475	друг от	3	6
476	ничего общего	7	6
477	явлений и	3	6
478	язык и	1	6
479	лишь в	1	6
480	языка то	1	6
481	в этой	10	6
482	и до	3	6
483	указывают на	2	6
484	мог бы	1	6
485	в образе	1	6
486	но если	12	6
487	то тем	2	6
488	представления и	1	6
489	художественного произведения	14	6
490	но на	2	6
491	что с	1	6
492	то он	3	6
493	у нас	17	6
494	представлений и	1	6
495	в их	2	6
496	в виде	20	6
497	что ни	1	6
498	от друга	3	6
499	на нее	1	6
500	при таком	2	6
501	образ или	2	6
502	что между	1	6
503	на его	1	6
504	в каждой	1	6
505	об этом	7	6
506	все более	1	6
507	его не	2	6
508	как он	2	6
509	в один	1	6
510	понятия и	2	6
511	мы бы	2	6
512	жизни и	7	6
513	человек не	1	6
514	в той	8	5
515	только из	1	5
516	человеческой жизни	4	5
517	были бы	5	5
518	даже в	2	5
519	формы в	1	5
520	на нас	2	5
521	например с	1	5
522	не столько	2	5
523	и значение	3	5
524	в некотором	2	5
525	не обнаруживает	1	5
526	по мнению	2	5
527	времени и	4	5
528	само собою	1	5
529	нужно будет	1	5
530	предмет и	2	5
531	уже и	2	5
532	предмета и	1	5
533	когда в	4	5
534	природы в	1	5
535	к другой	3	5
536	входит в	3	5
537	но даже	7	5
538	но эти	1	5
539	образом что	1	5
540	конечно не	3	5
541	том чтобы	1	5
542	в нашем	13	5
543	понятие о	2	5
544	уже по	2	5
545	или лучше	1	5
546	сравнении с	4	5
547	на которую	3	5
548	время и	2	5
549	на том	3	5
550	из того	3	5
551	только при	10	5
552	а с	2	5
553	чем в	2	5
554	ли мы	1	5
555	во внимание	2	5
556	одним из	2	5
557	которое в	3	5
558	есть понятие	1	5
