N	3gram	Bakhtin_Fr	Marksizm
1	с точки зрения	6	46
2	не может быть	5	25
3	в самом деле	1	19
4	по отношению к	2	15
5	то же время	5	15
6	в то же	5	15
7	в том что	6	14
8	в связи с	1	14
9	и не может	2	12
10	для того чтобы	2	11
11	до сих пор	7	11
12	в отличие от	4	10
13	в большинстве случаев	2	9
14	как если бы	1	9
15	но в то	2	9
16	в настоящее время	1	8
17	в отношении к	1	8
18	до настоящего времени	1	7
19	с другой стороны	1	7
20	как мы уже	8	6
21	и пр и	1	6
22	на то что	1	6
23	на самом деле	2	6
24	во всяком случае	2	6
25	с одной стороны	2	6
26	самом же деле	3	5
27	на самом же	3	5
28	пр и пр	1	5
29	той или иной	5	5
30	как мы видели	2	5
31	в тесной связи	1	5
32	в этом случае	1	5
33	в этом отношении	5	5
34	вполне понятно что	2	4
35	как мы сказали	1	4
36	в нем нет	1	4
37	в данную эпоху	1	4
38	и прежде всего	4	4
39	и пр в	1	4
40	но все же	3	4
41	так как если	1	4
42	о том что	3	4
43	можно сказать что	3	4
44	в узком смысле	2	4
45	и здесь мы	1	4
46	том что он	1	4
47	в той или	5	3
48	свое выражение в	1	3
49	не только в	5	3
50	в применении к	3	3
51	тесной связи с	1	3
52	и его формы	1	3
53	в том числе	10	3
54	и пр но	1	3
55	друг с другом	2	3
56	но при этом	1	3
57	все более и	1	3
58	этот вопрос мы	2	3
59	в конце концов	1	3
60	том числе и	7	3
61	и до настоящего	1	3
62	и т.п в	2	3
63	вовсе не является	3	3
64	не могут быть	2	3
65	в значительной степени	4	3
66	или хотя бы	1	3
67	нет места для	1	3
68	но и в	5	3
69	на первый план	1	3
70	и той же	1	3
71	более и более	1	3
72	на этот вопрос	2	3
73	нашей работы мы	1	3
74	именно в том	1	3
75	одной и той	1	3
76	сводится к тому	1	3
77	лежит в основе	1	3
78	или иной степени	1	2
79	до известной степени	2	2
80	во всех других	2	2
81	в собственном смысле	3	2
82	далеко за пределы	1	2
83	в какой степени	1	2
84	только в пределах	1	2
85	жизни в этом	1	2
86	друг от друга	1	2
87	так и в	3	2
88	мы видели что	1	2
89	xvii и xviii	4	2
90	а между тем	1	2
91	мы можем сказать	1	2
92	может быть ничего	1	2
93	в пределах одной	2	2
94	и в других	2	2
95	к тому же	1	2
96	людей так и	1	2
97	в последнее время	1	2
98	дополняют друг друга	1	2
99	и этот момент	1	2
100	в его целом	2	2
101	и в том	2	2
102	в его концепции	2	2
103	все формы и	1	2
104	в эпоху возрождения	4	2
105	точки зрения тех	1	2
106	сами по себе	1	2
107	того или иного	1	2
108	чуть ли не	1	2
109	к себе самому	2	2
110	и в особенности	1	2
111	за пределы нашей	2	2
112	пределы нашей работы	2	2
113	как и в	1	2
114	все разобранные нами	2	2
115	в г в	1	2
116	всякой связи с	1	2
117	и так сказать	1	2
118	со всеми ее	1	2
119	в чем же	1	2
120	таким образом в	1	2
121	находит свое выражение	1	2
122	и та же	1	2
123	он не знает	1	2
124	во всех областях	1	2
125	слова и выражения	1	2
126	был реакцией на	1	2
127	одна и та	1	2
128	но здесь мы	1	2
129	только с помощью	1	2
130	прежде всего в	1	2
131	и в большинстве	1	2
132	нет и не	1	2
133	так сказать в	1	1
134	имеет в виду	1	1
135	был связан с	1	1
136	все то что	1	1
137	выходит далеко за	1	1
138	того что эти	1	1
139	однако и в	1	1
140	этих форм с	1	1
141	он еще не	1	1
142	точка зрения на	1	1
143	свое идеологическое выражение	1	1
144	первый план выдвигается	1	1
145	являются как бы	1	1
146	рядом друг с	1	1
147	в приведенном нами	1	1
148	во всей их	1	1
149	можем сказать что	1	1
150	одной из этих	1	1
151	связи с развитием	1	1
152	на этой же	1	1
153	как мы говорили	1	1
154	по сравнению с	2	1
155	о чем мы	2	1
156	в средство для	1	1
157	и ни к	1	1
158	очень далека от	1	1
159	все это и	1	1
160	это одно из	1	1
161	для него не	1	1
162	нам придется неоднократно	1	1
163	то или иное	1	1
164	свою связь с	1	1
165	или иной форме	4	1
166	до наших дней	1	1
167	и даже в	2	1
168	вовсе не в	2	1
169	она нашла свое	2	1
170	к частному и	1	1
171	в ней в	1	1
172	следовательно и к	1	1
173	в своей отдельности	1	1
174	уже почти не	1	1
175	еще тем что	1	1
176	прежде всего необходимо	2	1
177	половины xix века	1	1
178	в строгом смысле	1	1
179	и до сегодняшнего	1	1
180	не относится к	1	1
181	может быть только	1	1
182	оно не столько	1	1
183	так и с	1	1
184	начало и конец	2	1
