N	2gram	Nazirov_Tr	StatiiOP
1	в и	1	145
2	бориса годунова	1	125
3	и в	18	103
4	в том	2	89
5	том что	4	77
6	в этом	9	76
7	что в	4	74
8	не только	8	60
9	и т	1	51
10	о том	2	47
11	но и	4	46
12	то что	4	44
13	что он	6	42
14	в его	3	42
15	и не	7	41
16	может быть	7	38
17	т е	1	33
18	пушкина и	1	33
19	в этой	4	31
20	тем что	2	29
21	все это	4	29
22	таким образом	1	28
23	а не	1	27
24	но в	6	26
25	что это	5	25
26	так и	5	25
27	в трагедии	1	24
28	и его	6	24
29	все же	5	23
30	не в	2	23
31	так что	2	23
32	потому что	2	23
33	в которой	1	22
34	как в	3	22
35	того что	1	22
36	прежде всего	4	22
37	в области	1	22
38	того чтобы	1	21
39	это не	5	20
40	в своей	1	19
41	т п	1	19
42	в то	5	19
43	только в	1	19
44	в котором	1	18
45	он не	2	18
46	об этом	4	18
47	не может	5	18
48	в самом	2	17
49	в году	9	17
50	самом деле	1	17
51	в россии	1	17
52	как бы	7	17
53	в данном	2	17
54	можно было	1	16
55	в ней	1	16
56	с тем	2	15
57	как и	5	15
58	по поводу	2	15
59	у него	6	15
60	я не	4	15
61	и на	7	15
62	например в	1	15
63	для него	3	15
64	свою трагедию	1	15
65	то же	5	14
66	но все	2	14
67	к тому	2	14
68	между тем	1	14
69	и что	4	14
70	в сцене	1	14
71	в той	1	13
72	именно в	1	13
73	во всяком	1	13
74	в своем	3	13
75	в конце	3	13
76	в нем	4	13
77	вместе с	1	13
78	всяком случае	1	13
79	но это	4	13
80	тому что	1	13
81	не менее	1	12
82	хотя бы	1	12
83	ни в	2	12
84	в них	1	11
85	в другом	1	11
86	никогда не	2	11
87	не было	1	11
88	и с	7	11
89	и по	1	11
90	своего рода	3	11
91	того как	1	11
92	вопрос о	2	11
93	все эти	3	11
94	это было	1	11
95	не столько	1	10
96	в виду	1	10
97	так же	4	10
98	отметить что	1	10
99	в целом	4	10
100	что и	2	10
101	xix века	1	10
102	но он	1	10
103	во всех	1	10
104	а как	2	10
105	годунова и	1	10
106	в истории	1	10
107	же время	6	10
108	ничего не	2	10
109	на вопрос	1	10
110	по словам	2	10
111	но не	1	10
112	в частности	2	10
113	с этой	1	9
114	говорит о	2	9
115	он был	2	9
116	в одном	2	9
117	говорит что	2	9
118	несмотря на	5	9
119	и это	2	9
120	в чем	1	9
121	что эта	1	9
122	вряд ли	2	9
123	не является	1	9
124	для нас	1	9
125	в результате	1	8
126	и даже	4	8
127	что она	2	8
128	связи с	1	8
129	одним из	1	8
130	и др	1	8
131	могут быть	1	8
132	в общем	1	8
133	к сожалению	1	8
134	заключается в	1	8
135	не имеет	2	8
136	тем не	1	8
137	совершенно не	1	8
138	той же	1	8
139	до конца	2	8
