N	2gram	Bakhtin_Pr	Stilisti
1	и в	59	42
2	как бы	40	30
3	не только	26	28
4	и т.п	8	25
5	прежде всего	17	22
6	и т.д	2	21
7	хотя бы	5	18
8	то же	15	16
9	но и	22	16
10	и не	66	14
11	может быть	38	13
12	не может	31	13
13	как и	21	12
14	что мы	2	11
15	мы уже	4	11
16	точки зрения	36	11
17	в этом	40	10
18	в себе	9	10
19	и как	10	10
20	мы должны	6	10
21	как мы	10	10
22	мы не	3	9
23	при этом	5	9
24	все же	9	9
25	эти слова	1	9
26	то что	21	9
27	для того	3	9
28	в то	15	9
29	таким образом	22	8
30	так как	11	8
31	и это	5	8
32	слово как	1	8
33	в ней	8	8
34	тем самым	3	8
35	что же	5	8
36	с его	14	8
37	ничего не	8	8
38	и на	15	7
39	так и	13	7
40	мы можем	3	7
41	только в	15	7
42	в которой	6	7
43	зависимости от	5	7
44	и его	21	7
45	потому что	20	7
46	того чтобы	5	7
47	другими словами	2	7
48	и тем	2	7
49	же время	10	7
50	было бы	10	7
51	и той	1	7
52	той же	7	7
53	и от	3	7
54	в зависимости	5	7
55	а не	30	7
56	никогда не	19	7
57	во всех	8	6
58	в его	44	6
59	не в	10	6
60	в нем	38	6
61	в конце	9	6
62	в процессе	4	6
63	но ведь	4	6
64	и так	1	6
65	на его	7	6
66	бы в	7	6
67	точкой зрения	3	6
68	в свою	1	6
69	с помощью	1	6
70	если б	1	6
71	одно и	1	6
72	в форме	8	6
73	или как	5	6
74	в этой	5	6
75	точку зрения	9	6
76	слова в	4	6
77	или иной	3	6
78	в области	3	6
79	в той	9	5
80	в самом	19	5
81	то есть	64	5
82	уже в	9	5
83	и их	7	5
84	с точки	21	5
85	те же	3	5
86	не является	2	5
87	в живом	1	5
88	все время	4	5
89	самом деле	9	5
90	но все	8	5
91	и с	10	5
92	но в	7	5
93	тому что	3	5
94	вместе с	2	5
95	точек зрения	5	5
96	своей жизни	2	5
97	того или	1	5
98	а с	4	5
99	мы увидим	1	5
100	и следовательно	7	5
101	слова и	2	5
102	как это	2	5
103	и является	1	5
104	а в	9	5
105	у которого	1	5
106	же самое	1	5
107	в нашем	3	5
108	художественного творчества	3	5
109	в сознании	4	5
110	и то	1	5
111	же мы	2	5
112	или иного	1	5
113	независимо от	1	5
114	и наконец	5	5
115	мы видели	3	5
116	одной и	1	4
117	всего в	2	4
118	были бы	5	4
119	и к	5	4
120	мы видим	5	4
121	один из	4	4
122	всех своих	1	4
123	что это	1	4
124	на него	4	4
125	что такое	1	4
126	все это	12	4
127	в качестве	1	4
128	в одном	14	4
129	его в	6	4
130	если бы	12	4
131	и все	4	4
