N	2gram	Berdyaev_N	Dialekti
1	не есть	3	181
2	и не	11	120
3	по себе	1	79
4	а не	17	78
5	и в	16	77
6	может быть	7	71
7	не только	5	66
8	значит что	4	61
9	то что	4	59
10	и есть	10	55
11	это значит	1	54
12	не может	16	53
13	и даже	2	47
14	так как	1	46
15	потому что	4	45
16	и что	2	42
17	ни в	6	42
18	не имеет	4	41
19	в том	8	40
20	в этом	7	39
21	что такое	3	39
22	что она	2	38
23	это есть	7	38
24	в себе	2	38
25	что он	1	37
26	том что	2	37
27	прежде всего	4	37
28	это не	4	36
29	что в	9	34
30	в нем	5	34
31	и все	4	33
32	но и	3	32
33	все это	5	31
34	сказать что	3	30
35	было бы	1	29
36	так и	2	29
37	как и	7	28
38	никогда не	6	27
39	в виду	1	26
40	не в	6	26
41	есть и	1	26
42	говорить о	1	25
43	и пр	3	25
44	есть только	1	25
45	но это	6	24
46	есть всегда	1	24
47	в то	2	23
48	это и	2	23
49	я не	2	22
50	что не	1	21
51	в чем	1	21
52	должна быть	3	21
53	она не	3	21
54	и с	2	20
55	о том	4	20
56	что все	2	20
57	только в	1	20
58	в каком	1	20
59	уже не	2	20
60	в самом	1	19
61	не менее	4	19
62	не существует	3	19
63	в своем	1	19
64	и это	2	19
65	как это	2	19
66	что мы	1	19
67	и его	1	19
68	хотя бы	2	18
69	с другой	3	18
70	жизни и	8	18
71	можно сказать	1	17
72	в сущности	1	17
73	должно быть	4	17
74	в основе	3	17
75	он есть	1	17
76	но если	1	17
77	то это	1	16
78	к нему	1	16
79	или не	1	16
80	в своей	3	16
81	нет ничего	1	16
82	конечно не	3	16
83	мы не	2	16
84	же и	1	15
85	так же	2	15
86	и мы	4	15
87	мы уже	1	15
88	хотя и	2	15
89	или нет	1	14
90	с ним	1	14
91	не было	4	14
92	я уже	2	14
93	и потому	4	14
94	и только	1	14
95	и к	5	13
96	другой стороны	2	13
97	время как	2	13
98	в смысле	2	13
99	он не	8	13
100	в силу	1	13
101	с ее	5	13
102	но в	2	13
103	не могу	1	13
104	в ней	5	13
105	и нет	1	12
106	с этим	2	12
107	вопрос о	3	12
108	нет никакого	1	12
109	но не	2	12
110	могут быть	2	12
111	не могут	1	12
112	еще не	3	12
113	всегда есть	1	12
114	все эти	2	12
115	и жизни	1	12
116	а в	2	12
117	в них	4	11
118	быть в	2	11
119	должны быть	1	11
120	из них	1	11
121	оно есть	1	11
122	не значит	3	11
123	мы говорим	2	11
124	от того	1	11
125	ничем не	1	11
126	есть в	2	11
127	мы должны	1	11
128	в одну	2	11
129	во всем	1	10
130	в жизни	5	10
131	к тому	3	10
132	во всяком	1	10
133	для того	1	10
134	в ее	3	10
135	не больше	1	10
136	от этого	1	10
137	себе и	1	10
138	только потому	1	10
139	и для	4	10
140	за пределы	3	10
141	оно не	1	10
142	времени и	2	10
143	нет ни	1	10
144	в его	1	10
145	это было	3	10
146	бытия и	1	10
147	как будто	2	10
148	быть может	4	9
149	в этих	1	9
150	и на	2	9
151	мир и	2	9
152	в котором	1	9
153	и когда	1	9
154	превращается в	1	9
155	же как	2	9
156	подобно тому	3	9
157	то время	1	9
158	и более	1	9
159	и от	2	9
160	в истории	3	9
161	та или	1	9
162	тому как	3	9
163	вопрос об	1	8
164	но все	1	8
165	вот почему	2	8
166	нет и	2	8
167	все время	2	8
168	себя в	2	8
169	с одной	2	8
170	или иная	1	8
171	не будет	7	8
172	этом смысле	2	8
173	в этой	1	8
174	и из	1	8
175	не на	1	8
176	как не	8	8
177	когда мы	2	8
178	и бытия	1	8
179	у нас	1	8
180	но она	2	8
181	все что	1	7
182	в религии	2	7
183	тем что	1	7
184	зависимости от	1	7
185	но он	1	7
186	мира и	2	7
187	не всегда	1	7
188	как на	1	7
189	думаю что	1	7
190	это я	1	7
191	религия не	1	7
192	это конечно	1	7
193	не знает	6	7
194	но для	2	7
195	в конце	1	7
196	в мире	3	7
197	тут мы	1	7
198	истории и	9	7
199	сами по	1	7
200	как в	3	7
201	ничего нет	1	7
202	с его	6	7
203	есть нарушение	1	7
204	если есть	1	7
205	что этот	1	7
206	думать что	2	7
207	и их	1	7
208	она должна	1	7
209	из этих	1	7
210	нуждается в	1	7
211	более не	2	6
212	что религия	1	6
213	в природе	2	6
214	уже в	1	6
215	нем нет	2	6
216	одной стороны	2	6
217	когда она	1	6
218	если нет	2	6
219	в зависимости	1	6
220	одна из	2	6
221	во всех	3	6
222	по своей	1	6
223	в которой	1	6
224	быть только	1	6
225	можно было	2	6
226	от всякого	2	6
227	с тем	3	6
228	что нет	1	6
229	вместе с	2	6
230	себя и	1	6
231	ни к	2	6
232	того чтобы	2	6
233	не быть	1	6
234	всяком случае	1	6
235	они не	1	6
236	того и	1	6
237	с их	2	6
238	по существу	2	6
239	вообще не	1	6
240	чтобы быть	1	6
241	и религии	1	6
242	по своему	4	6
243	может иметь	1	6
244	только так	1	6
245	но я	2	6
246	не с	1	6
247	для этого	2	6
248	в каком-то	1	6
249	в той	1	5
250	есть прежде	1	5
251	до сих	1	5
252	их не	1	5
253	я могу	1	5
254	их в	1	5
255	и истории	1	5
256	в это	1	5
257	я думаю	1	5
258	и еще	1	5
259	как я	1	5
260	все в	1	5
261	нельзя сказать	1	5
262	есть еще	1	5
263	свободы и	2	5
264	что его	1	5
265	личности с	1	5
266	и она	1	5
267	есть своя	1	5
268	и у	1	5
269	сих пор	1	5
270	ли это	2	5
271	на нем	1	5
272	но тут	1	5
273	мы всегда	1	5
274	одного и	1	5
275	от нее	1	5
276	от бога	6	5
277	том смысле	1	5
278	и во	1	5
279	он может	1	5
280	во времени	1	5
281	зависит от	2	5
282	а это	1	5
283	он и	1	5
284	есть уже	1	5
285	весь мир	1	5
286	в области	1	5
287	к ней	1	5
288	и мира	1	4
289	и очень	1	4
290	возможно лишь	1	4
291	из ее	2	4
292	жизнь в	1	4
293	равно как	2	4
294	не хотят	2	4
295	в христианстве	1	4
296	только для	1	4
297	говорим что	1	4
298	в этот	1	4
299	и должно	2	4
300	к ним	3	4
301	необходимость и	1	4
302	есть по	1	4
303	в состоянии	1	4
304	у него	2	4
305	к чему	1	4
306	будто бы	1	4
307	на себя	1	4
308	но ведь	1	4
309	и вместе	1	4
310	тут нет	1	4
311	чтобы понять	1	4
312	людей и	1	4
313	личность в	2	4
314	не по	1	4
315	это время	1	4
316	это уже	1	4
317	сама жизнь	2	4
318	можно назвать	2	4
319	который не	1	4
320	дальше и	1	4
321	быть не	1	4
322	как например	1	4
323	только одна	1	4
324	друг друга	1	4
325	тоже не	1	4
326	мир в	1	4
327	она сама	1	4
328	сказать ни	1	4
329	то он	1	4
330	в глубине	1	4
331	помнить что	2	4
332	истории мы	2	4
333	как результат	1	4
334	к жизни	3	4
335	на них	1	4
336	как ни	1	4
337	совершенно невозможно	1	4
338	человека и	3	4
339	и всех	1	4
340	в каких	1	4
341	такой же	2	4
342	ведь и	2	4
343	к богу	2	4
344	мир не	1	3
345	для всех	1	3
346	к этой	1	3
347	познания и	2	3
348	мысли и	2	3
349	нас к	1	3
350	уже нет	1	3
351	тогда не	1	3
352	не могли	2	3
353	говорит что	1	3
354	верить в	3	3
355	в основу	1	3
356	времени а	1	3
357	к ее	3	3
358	к природе	1	3
359	и личности	1	3
360	бытия как	1	3
361	с другими	1	3
362	и никакой	1	3
363	стремится к	3	3
364	не их	1	3
365	и которые	1	3
366	уже давно	1	3
367	не ставится	1	3
368	не был	1	3
369	сами не	1	3
370	и знание	1	3
371	совсем не	12	3
372	сами эти	1	3
373	возможно что	1	3
374	культуры и	7	3
375	всю жизнь	1	3
376	для чего	2	3
377	в глубину	1	3
378	время но	1	3
379	и этот	1	3
380	и сейчас	1	3
381	для себя	1	3
382	мы в	1	3
383	особого рода	1	3
384	о самом	1	3
385	я хочу	1	3
386	все они	2	3
387	нужно быть	1	3
388	я называю	2	3
389	по преимуществу	1	3
390	будет в	1	3
391	движения и	1	3
392	не должна	1	3
393	ее на	1	3
394	место в	2	3
395	истории не	3	3
396	этого не	1	3
397	и оно	1	3
398	должен быть	5	3
399	отличие от	1	3
400	во время	1	3
401	в свою	1	3
402	нового времени	12	3
403	лишь в	6	3
404	и вечное	1	3
405	не к	2	3
406	они являются	1	2
407	человеческой жизни	1	2
408	идея личности	1	2
409	которая в	1	2
410	и имеет	1	2
411	существует что	1	2
412	мира а	2	2
413	есть результат	1	2
414	действовать и	2	2
415	в духе	3	2
416	это должно	1	2
417	мы живем	5	2
418	вот что	1	2
419	по небу	1	2
420	это привело	1	2
421	роль в	2	2
422	история в	3	2
423	связано с	1	2
424	перестает быть	4	2
425	во все	1	2
426	я ни	1	2
427	своей природе	1	2
428	этом я	1	2
429	всего что	1	2
430	меня это	2	2
431	времени в	2	2
432	из их	1	2
433	смысле слова	3	2
434	существу своему	1	2
435	будет и	2	2
436	и формы	2	2
437	ней и	1	2
438	наряду с	3	2
439	духа и	3	2
440	новое время	4	2
441	к которому	1	2
442	нем не	1	2
443	символическая природа	1	2
444	жизни с	1	2
445	бытия а	1	2
446	ближе к	1	2
447	по природе	1	2
448	и небытия	1	2
449	религия и	1	2
450	общества в	1	2
451	пр в	1	2
452	которые будут	1	2
453	должно было	2	2
454	вопроса о	1	2
455	всех своих	1	2
456	и мир	1	2
457	исторической эпохи	3	2
458	творчества и	1	2
459	человек как	1	2
460	и быть	1	2
461	бы к	1	2
462	но до	1	2
463	с своими	1	2
464	жизни мы	1	2
465	он также	1	2
466	не были	1	2
467	не могла	2	2
468	а во-вторых	1	2
469	но личность	1	2
470	историческую эпоху	1	2
471	перед лицом	1	2
472	может уже	2	2
473	оба они	1	2
474	мы охотно	1	2
475	призыв к	2	2
476	ни за	1	2
477	понять что	1	2
478	существования и	1	2
479	реально не	1	2
480	от религии	2	2
481	также что	1	2
482	жизни а	1	2
483	но также	1	2
484	не уходит	1	2
485	природе и	2	2
486	ему все	1	2
487	от этой	1	2
488	или к	1	2
489	есть мир	1	2
490	она становится	1	2
491	которые могут	1	2
492	жизни в	3	2
493	ли он	1	2
494	знает что	1	2
495	на их	1	2
496	природе своей	1	2
497	говорят об	1	2
498	но оно	1	2
499	мы переходим	1	2
500	не имеют	2	2
501	и заключается	2	2
502	связана с	2	2
503	земли и	1	2
504	не должно	1	2
505	и вся	1	2
506	и ему	1	2
507	теми которые	1	2
508	и до	1	2
509	было и	1	2
510	нет в	1	2
511	живое и	1	2
512	него и	1	2
513	в образе	1	2
514	религиозного сознания	1	2
515	жизнь со	1	2
516	мира не	1	2
517	жизни не	3	2
518	был в	1	2
519	сам себя	1	2
520	пришли к	1	2
521	не во	4	2
522	воля к	6	2
523	не для	1	2
524	религия в	1	2
525	при нем	1	2
526	жизнь не	1	2
527	нельзя будет	1	2
528	от своих	1	2
529	все ее	1	2
530	что ничего	1	2
531	что будет	1	2
532	на нее	1	2
533	в силах	1	2
534	ни одна	2	2
535	в такой	1	2
536	в новом	2	2
537	за его	1	2
538	ему не	1	2
539	человека в	1	2
540	бог и	1	2
541	фикция и	1	2
542	говорим о	1	2
543	на всех	1	2
544	мысли в	2	2
545	бытия в	2	2
546	еще в	1	2
547	если взять	1	2
548	на это	1	2
549	во многом	1	2
550	оно должно	1	2
551	в человечестве	1	2
552	и начинается	2	2
553	личностей и	1	2
554	общества и	2	2
555	все еще	1	2
556	но под	1	2
557	и социализм	2	2
558	в эпоху	9	2
559	эпохи и	4	2
560	в недра	1	2
561	было так	1	1
562	вот отчего	1	1
563	философии и	1	1
564	бога в	1	1
565	из сторон	1	1
566	имея в	1	1
567	начала должно	1	1
568	над нами	1	1
569	средних веков	1	1
570	есть время	1	1
571	невежество в	1	1
572	о формах	1	1
573	событиях и	1	1
574	одному из	1	1
575	далеко еще	1	1
576	россии в	1	1
577	имеет никакой	1	1
578	и гуманизм	2	1
579	на материальный	1	1
