N	4gram	Tiupa_Anal	Dialekti
1	не что иное как	1	18
2	в то же время	7	14
3	есть не что иное	1	11
4	не говоря уже о	1	7
5	по крайней мере в	2	6
6	одной и той же	2	5
7	не в том что	1	5
8	одних и тех же	2	3
9	что не есть он	1	2
10	ни к чему не	1	2
11	с той или иной	2	2
12	дело в том что	3	2
13	не есть он сам	1	2
14	мы имеем дело уже	1	1
15	ни то ни другое	1	1
16	и есть не что	1	1
17	и сам по себе	1	1
18	в качестве одного из	1	1
19	не должно быть ни	1	1
20	тот или иной модус	1	1
21	в такой же мере	1	1
22	то ни другое ни	1	1
23	заключается в том что	1	1
24	по крайней мере не	1	1
25	однако в то же	2	1
26	то что не есть	1	1
27	не есть миф и	1	1
28	ничего не говорит и	1	1
29	и в том что	1	1
30	а в том что	1	1
31	уже по одному этому	1	1
32	с тех пор как	1	1
33	что по крайней мере	1	1
34	а между тем в	1	1
35	в том что он	2	1
36	но дело в том	1	1
37	исходит из того что	1	1
