N	4gram	Berdyaev_M	Istorich
1	в то время как	2	13
2	не что иное как	4	11
3	так же как и	1	9
4	и вместе с тем	4	5
5	есть не что иное	3	5
6	до сих пор не	1	3
7	о том что в	1	3
8	на одной и той	1	2
9	в том что он	1	2
10	одной и той же	2	2
11	есть вместе с тем	1	2
12	это не значит что	1	2
13	не сам по себе	1	2
14	и не может быть	1	2
15	как отец и мать	1	1
16	что они не могут	1	1
17	не может быть названа	1	1
18	очень интересно что в	1	1
19	того ни с сего	1	1
20	в том смысле в	1	1
21	они до сих пор	1	1
22	в свою противоположность в	1	1
23	мы увидим что он	1	1
24	в том смысле что	1	1
25	с того ни с	1	1
26	одни и те же	1	1
27	он не может быть	1	1
28	говорят о том что	1	1
29	можно ли сказать что	1	1
30	я не думаю чтобы	1	1
31	одна и та же	2	1
32	в них нет ничего	1	1
33	также в значительной степени	1	1
34	в иной мир но	1	1
35	бежит от нее к	1	1
36	с тем что в	1	1
37	ни с того ни	1	1
38	играет огромную роль в	1	1
39	том смысле в каком	1	1
40	не может быть назван	1	1
41	подобно тому как в	1	1
