N	4gram	Bakhtin_fo	Dialekti
1	в то же время	10	14
2	одно и то же	4	12
3	одна и та же	2	8
4	в то время как	2	8
5	и в то же	6	6
6	с этой точки зрения	1	4
7	в связи с этим	4	4
8	но это значит что	1	4
9	с одной стороны и	2	4
10	одних и тех же	2	3
11	но в то же	2	3
12	не вызывает никаких сомнений	1	2
13	жизнь со всеми ее	1	2
14	дело в том что	2	2
15	ни в чем не	3	2
16	так же как и	2	2
17	времени и пространства и	1	1
18	именно в том что	1	1
19	не было и не	1	1
20	что они вовсе не	1	1
21	и может быть только	1	1
22	и т д он	1	1
23	как мы уже сказали	4	1
24	и до сих пор	1	1
25	в жизни и в	1	1
26	все более и более	2	1
27	что на самом деле	1	1
28	в том что в	1	1
29	с другой стороны в	1	1
30	друг от друга и	1	1
31	и вместе с тем	1	1
32	все больше и больше	1	1
33	нечего и говорить о	1	1
34	время человеческой жизни и	1	1
35	мы имеем в виду	2	1
36	в том что все	1	1
37	до сих пор не	1	1
38	в широком смысле но	1	1
39	и в частности от	1	1
40	но в конце концов	1	1
41	и то же время	3	1
42	в основе ее лежит	1	1
43	неизвестно кем и неизвестно	1	1
44	что в основе их	1	1
45	как мы это уже	1	1
46	мы вовсе не имеем	1	1
47	ни с чем не	2	1
48	все это не имеет	1	1
49	бы она ни была	2	1
50	можно прямо сказать что	2	1
51	времени и пространства в	2	1
52	в том что они	1	1
53	друг с другом в	1	1
54	но дело в том	1	1
55	и пр и пр	1	1
56	в одно и то	3	1
57	и в этом отношении	1	1
