N	3gram	Bakhtin_fo	EvropaiE
1	с точки зрения	9	16
2	в то же	10	15
3	то же время	13	14
4	и в то	7	8
5	с одной стороны	3	8
6	в том что	4	6
7	одной стороны и	2	6
8	так же как	2	5
9	этой точки зрения	1	5
10	для того чтобы	11	5
11	с этой точки	1	5
12	той или иной	3	4
13	не только в	6	4
14	и в этом	2	4
15	друг с другом	5	3
16	в той или	2	3
17	во всех случаях	1	3
18	же как и	2	3
19	как бы ни	1	3
20	во всяком случае	1	3
21	можно сказать что	1	3
22	и прежде всего	4	3
23	в этом отношении	5	3
24	так и в	1	2
25	дело идет о	1	2
26	в одном из	1	2
27	рано или поздно	1	2
28	и в частности	2	2
29	и все другие	2	2
30	прежде всего к	1	2
31	как мы видели	1	2
32	но в то	2	2
33	не может быть	4	2
34	в большинстве случаев	2	2
35	в данном случае	2	2
36	прежде всего в	3	2
37	по сравнению с	3	2
38	же мало как	1	2
39	только в том	1	2
40	так же мало	1	2
41	друг от друга	2	2
42	мало как и	1	2
43	то что в	1	2
44	в свою очередь	1	2
45	с другой стороны	1	2
46	в частности в	1	2
47	или хотя бы	1	2
48	и т д	3	1
49	мы видели в	1	1
50	но в отношении	2	1
51	и не только	2	1
52	на берегу моря	1	1
53	начале xx века	1	1
54	наше внимание на	1	1
55	другой стороны в	1	1
56	качестве одной из	1	1
57	и та же	2	1
58	то есть в	2	1
59	дело в том	2	1
60	смысле этого слова	1	1
61	чем если бы	1	1
62	от плоти и	1	1
63	так и по	1	1
64	но в процессе	1	1
65	плоть от плоти	1	1
66	в значительной мере	2	1
67	к тому что	1	1
68	или иной степени	1	1
69	но и в	5	1
70	том числе и	4	1
71	говорили в предыдущем	1	1
72	в качестве одной	1	1
73	в этом мире	7	1
74	то время как	2	1
75	в соответствии с	2	1
76	во всех этих	2	1
77	ибо то что	1	1
78	что в таком	2	1
79	и ту же	1	1
80	когда дело идет	1	1
81	в отличие от	3	1
82	в себе в	1	1
83	в себе не	1	1
84	в каком же	2	1
85	и во все	1	1
86	о которых мы	1	1
87	и того же	6	1
88	тех случаях когда	1	1
89	не могут быть	1	1
90	и человеческой жизни	1	1
91	не может не	1	1
92	оно не может	1	1
93	с тем что	2	1
94	одну и ту	1	1
95	к участию в	1	1
96	выходит за пределы	1	1
97	в связи с	12	1
98	в том же	3	1
99	та или иная	1	1
100	в этом процессе	1	1
101	в том числе	7	1
102	в стороне от	1	1
103	далее в этом	1	1
104	это значит что	2	1
105	то есть к	1	1
106	лишь в случаях	1	1
107	связи с этим	4	1
108	в то время	3	1
109	что в этом	1	1
110	мы говорили в	1	1
111	также и в	3	1
112	в значительной степени	1	1
113	в течение которого	1	1
114	и для того	1	1
115	в тех случаях	1	1
116	к тому же	2	1
117	одна и та	2	1
118	одного и того	6	1
119	но в смысле	1	1
120	а также и	3	1
121	может быть и	4	1
122	друг к другу	2	1
