N	4gram	Vygotskiy_	VLabPisa
1	в то же время	1	5
2	с одной стороны и	1	2
3	по одному тому что	1	2
4	приводит к тому что	1	2
5	именно в том что	1	1
6	с этой точки зрения	3	1
7	все те черты которые	1	1
8	с его точки зрения	1	1
9	что в зависимости от	1	1
10	не могут быть отнесены	1	1
11	одно и то же	3	1
12	ни одна из них	1	1
13	но вместе с тем	1	1
14	но то же самое	1	1
15	никак не могут быть	1	1
16	с другой стороны он	2	1
17	что ни одна из	1	1
18	так же как и	1	1
19	в то время как	4	1
20	в том что оно	1	1
21	что для того чтобы	2	1
22	мы имеем дело с	1	1
23	ответ на этот вопрос	2	1
24	до сих пор не	1	1
25	для того чтобы понять	1	1
26	в том или ином	1	1
