N	2gram	Berdyaev_V	Myshleni
1	в том	3	195
2	в этом	4	167
3	то что	9	166
4	и в	16	162
5	том что	2	161
6	что в	3	119
7	не только	2	116
8	того что	5	109
9	в процессе	1	101
10	так же	1	100
11	потому что	4	95
12	того чтобы	2	91
13	может быть	1	89
14	что он	4	86
15	как и	4	79
16	для того	1	78
17	так как	9	78
18	и не	20	78
19	только в	2	75
20	в целом	1	74
21	как мы	1	72
22	но и	5	70
23	в его	4	67
24	как бы	5	64
25	вместе с	1	62
26	и что	3	60
27	то же	1	58
28	могли бы	1	54
29	что мы	4	53
30	в самом	1	52
31	по сравнению	1	51
32	к тому	3	49
33	что они	7	48
34	тем что	2	48
35	мы не	2	47
36	сравнению с	1	46
37	но не	2	45
38	с другой	1	45
39	с тем	2	43
40	тому что	3	42
41	как это	1	42
42	никогда не	3	39
43	так и	4	39
44	вопрос о	1	37
45	мы видим	1	37
46	не в	3	37
47	в этой	1	37
48	в своем	1	36
49	все эти	3	36
50	как в	1	36
51	а не	7	36
52	можно было	2	35
53	в которой	1	35
54	для себя	1	35
55	прежде всего	2	33
56	и на	1	32
57	что оно	1	32
58	что и	3	32
59	и тем	1	32
60	но в	3	32
61	все же	1	31
62	и то	2	31
63	этого слова	1	29
64	между тем	2	29
65	могут быть	2	29
66	с этой	1	27
67	в результате	1	27
68	другой стороны	1	27
69	и с	1	27
70	в своей	3	27
71	что все	4	27
72	в их	1	26
73	что это	1	26
74	для него	2	26
75	в чем	3	25
76	еще не	8	25
77	уже в	1	25
78	все это	5	25
79	это не	2	25
80	тот же	3	24
81	зависимости от	1	24
82	того как	1	24
83	в нем	4	24
84	бы в	1	23
85	ни в	3	23
86	во всяком	2	22
87	уже сказано	1	22
88	не могут	2	22
89	в известном	1	22
90	и развитием	1	22
91	к этому	1	21
92	и ее	1	21
93	и все	4	21
94	не имеет	3	21
95	в истории	8	21
96	в сознании	1	21
97	ее в	2	21
98	отношение к	1	21
99	в виду	1	20
100	в котором	4	20
101	а в	2	20
102	говорит что	1	20
103	на этом	1	20
104	должно быть	3	20
105	но мы	2	19
106	во всех	3	19
107	а с	2	19
108	и по	1	19
109	один из	2	19
110	мы и	2	19
111	с ним	2	19
112	в себя	2	19
113	во всем	1	18
114	но это	3	18
115	и другое	1	18
116	в этих	3	17
117	в своих	1	17
118	их в	3	17
119	в одном	1	17
120	я не	1	17
121	не есть	6	17
122	и для	3	17
123	все что	4	17
124	у него	1	17
125	и от	1	17
126	и есть	4	17
127	то и	1	17
128	и другие	1	16
129	в которых	1	16
130	значение в	1	16
131	вовсе не	1	16
132	которые не	2	16
133	для нас	2	16
134	таким же	1	16
135	является в	2	15
136	в них	3	15
137	от этого	3	15
138	и это	2	15
139	хотя бы	3	15
140	но как	1	15
141	известном смысле	1	15
142	ничего не	1	15
143	как она	1	15
144	по этому	3	15
145	это значит	1	14
146	но что	1	14
147	от слова	1	14
148	о чем	1	14
149	и во	2	14
150	с его	3	14
151	его к	2	13
152	если в	1	13
153	они не	1	13
154	в виде	1	13
155	значения и	2	13
156	она не	1	13
157	человека и	6	13
158	но все	1	13
159	в состоянии	1	13
160	лишь в	3	13
161	с которыми	1	12
162	и потому	7	12
163	ко всем	1	12
164	к нему	1	12
165	в ее	1	12
166	это мы	2	12
167	в ней	4	12
168	не могли	2	11
169	находится в	1	11
170	на котором	1	11
171	на том	2	11
