N	3gram	Trubetskoy	Formalny
1	с точки зрения	9	40
2	не может быть	4	29
3	на самом деле	6	21
4	то же время	10	20
5	в то же	10	20
6	в связи с	1	16
7	во всяком случае	6	16
8	в настоящее время	2	13
9	по отношению к	1	12
10	в самом деле	1	11
11	в этом отношении	1	11
12	в его целом	1	10
13	бы то ни	4	10
14	в большинстве случаев	2	9
15	и не может	3	9
16	для того чтобы	6	8
17	до сих пор	5	8
18	вместе с тем	3	8
19	в применении к	1	7
20	более или менее	4	7
21	того или иного	2	7
22	то ни было	1	7
23	в свою очередь	1	7
24	и в этом	1	7
25	в том что	7	6
26	в данном случае	3	6
27	смысле этого слова	1	6
28	к тому чтобы	4	5
29	к тому что	2	5
30	в значительной степени	1	5
31	до известной степени	1	5
32	как бы ни	1	5
33	прежде всего в	1	5
34	тем не менее	1	4
35	в конце концов	3	4
36	но все же	1	4
37	то ни стало	3	4
38	отнюдь не следует	1	4
39	в лучшем случае	3	4
40	с самого начала	1	4
41	сама по себе	2	4
42	сводится к тому	1	4
43	мы уже знаем	1	3
44	в том числе	1	3
45	во что бы	3	3
46	друг с другом	14	3
47	том числе и	1	3
48	уже знаем что	1	3
49	из всего этого	1	3
50	то же самое	1	3
51	только то что	1	3
52	и во всяком	2	3
53	в том чтобы	1	3
54	и в частности	1	3
55	то и другое	1	3
56	в противном случае	1	3
57	что бы то	3	3
58	но в то	1	3
59	и то и	1	3
60	во всех областях	1	3
61	для создания нового	1	2
62	не могло бы	1	2
63	отнюдь не является	1	2
64	было говорить о	1	2
65	друг от друга	2	2
66	она не может	2	2
67	но даже и	1	2
68	совершенно очевидно что	1	2
69	но при этом	1	2
70	в том случае	4	2
71	друг друга в	1	2
72	этого прежде всего	1	2
73	но для этого	1	2
74	тех или иных	1	2
75	и тем самым	2	2
76	и прежде всего	1	2
77	и в других	1	2
78	роль в истории	1	2
79	в своем целом	1	2
80	так же и	1	2
81	и в том	2	2
82	и все же	1	2
83	лишь тогда когда	1	2
84	свою очередь является	1	2
85	лишь постольку поскольку	1	2
86	от того что	1	2
87	на этот вопрос	1	2
88	и с точки	1	2
89	дело в том	1	2
90	таким образом оказывается	1	2
91	так же как	1	2
92	в этом случае	3	2
93	по их мнению	1	2
94	для этого прежде	1	2
95	или хотя бы	1	2
96	тот или иной	1	2
97	что он не	2	1
98	и в жизни	1	1
99	и как бы	1	1
100	и если в	3	1
101	о котором мы	1	1
102	и те кто	1	1
103	это значило бы	1	1
104	лишь в том	2	1
105	различны в зависимости	1	1
106	чтобы понять что	2	1
107	и с исторической	1	1
108	что ни одна	1	1
109	целый ряд общих	1	1
110	конечно не могут	1	1
111	еще не было	1	1
112	русского языка и	1	1
113	она могла бы	1	1
114	он не может	1	1
115	в том же	1	1
116	которых идет речь	1	1
117	точки зрения этой	2	1
118	и не будет	2	1
119	прежде всего необходимо	1	1
120	центр тяжести из	1	1
121	как бы не	1	1
122	мы подойдем к	1	1
123	одного и того	1	1
124	в силу этого	1	1
125	только с точки	1	1
126	о которых идет	1	1
127	всех не только	1	1
128	это конечно не	1	1
129	и вместе с	2	1
130	что оно является	1	1
131	с другом не	1	1
132	без того чтобы	1	1
133	конечно не может	1	1
134	что же это	1	1
135	самому своему существу	1	1
136	каждый данный момент	1	1
137	только один из	1	1
138	и того же	1	1
139	состоит в том	1	1
140	не может не	3	1
141	ни к какому	1	1
142	к вопросу о	3	1
143	впитывает в себя	1	1
144	но и к	2	1
145	для нас важно	1	1
146	значило бы признать	1	1
147	этого слова но	1	1
148	и в стремлении	1	1
149	бы либо к	1	1
150	но из этого	1	1
151	мы говорили в	2	1
152	в том и	2	1
153	какие конкретные формы	1	1
154	еще на одну	1	1
155	не нужна но	1	1
156	за то что	1	1
157	той или иной	3	1
158	является не только	1	1
159	является для них	1	1
160	котором мы говорили	1	1
161	прежде всего на	1	1
162	и только в	1	1
163	на то что	4	1
164	в каждый данный	1	1
165	если мы в	1	1
166	о том что	2	1
167	эта точка зрения	1	1
168	по крайней мере	1	1
169	лучшем случае лишь	1	1
170	в какие конкретные	1	1
171	тот факт что	2	1
172	а следовательно и	2	1
173	только в том	2	1
174	идет не об	1	1
175	только в этом	1	1
176	зависит от того	1	1
177	потому что и	1	1
178	однако они были	1	1
179	но для нас	1	1
180	та или другая	1	1
181	те или другие	1	1
182	и должно было	1	1
183	тем в этом	1	1
184	что он есть	1	1
185	этого отнюдь не	1	1
186	заключается в том	1	1
187	приводит к отрицанию	1	1
188	между собой и	1	1
189	во всех этих	1	1
190	в этой роли	1	1
191	по самому своему	2	1
192	и что в	1	1
193	можно было говорить	1	1
194	что касается до	1	1
195	было бы показать	1	1
196	и в некоторых	1	1
197	тем что он	1	1
198	том случае если	3	1
199	однако отнюдь не	2	1
200	же время в	1	1
201	не дала бы	1	1
202	вопрос о том	1	1
203	жизни и в	1	1
204	точки зрения этих	1	1
205	это и есть	1	1
206	между прочим и	1	1
207	можно было бы	3	1
208	быть самим собой	4	1
209	потому что они	1	1
210	не можем и	1	1
