N	3gram	Nazirov_Vr	Morfolog
1	не может быть	2	9
2	в связи с	3	9
3	с точки зрения	2	6
4	тем не менее	1	6
5	связи с этим	1	5
6	с другой стороны	1	5
7	в том что	2	4
8	независимо от того	1	4
9	на то что	1	3
10	о том что	1	3
11	в то время	1	3
12	далеко не все	1	3
13	на первый взгляд	1	3
14	с просьбой о	1	2
15	о том как	1	2
16	точно так же	1	2
17	во всяком случае	1	2
18	к вопросу о	1	2
19	во второй раз	1	2
20	в этом отношении	1	2
21	может быть и	1	2
22	их и не	1	1
23	встречается лишь один	1	1
24	в свою очередь	1	1
25	лишь один раз	1	1
26	так же быть	1	1
27	он как бы	1	1
28	от того как	1	1
29	но об этом	1	1
30	это дает нам	1	1
31	на свое место	1	1
32	в то же	4	1
33	и то же	1	1
34	одним из основателей	1	1
35	до сих пор	1	1
36	все же в	1	1
37	же время и	1	1
38	одно и то	1	1
39	в е годы	1	1
40	в высшей степени	1	1
41	но в этом	1	1
42	может быть применено	1	1
43	с тех пор	1	1
44	как бы в	1	1
45	между прочим и	1	1
46	то что они	1	1
47	то же время	4	1
48	в третий раз	1	1
49	но это не	1	1
50	говорить не будем	1	1
