N	4gram	Propp_Isto	Narrotol
1	состоит в том что	2	6
2	мы имеем дело с	1	5
3	дело не только в	1	2
4	и не может быть	1	2
5	точно так же как	2	2
6	с этой точки зрения	1	1
7	не что иное как	6	1
8	в том смысле как	1	1
9	но все же не	1	1
10	точно так же в	1	1
11	в данном случае в	1	1
12	в том что и	1	1
13	в то время как	2	1
14	начинается с того что	2	1
15	в связи с этим	1	1
16	как если бы она	1	1
17	и так или иначе	1	1
18	и здесь мы имеем	1	1
19	все время пребывания в	1	1
20	ни тот ни другой	1	1
21	это все те же	1	1
22	есть не что иное	2	1
