N	4gram	Trubetskoy	Freidism
1	в то же время	2	6
2	одной и той же	1	3
3	и не может быть	1	3
4	заключается в том что	3	2
5	в том что он	1	2
6	но мы знаем что	1	2
7	бы то ни было	3	2
8	нет и не может	1	2
9	в более позднее время	1	1
10	в целом ряде других	1	1
11	что в данном случае	1	1
12	только с точки зрения	1	1
13	который как мы видели	1	1
14	и в голову не	1	1
15	которой мы говорили выше	1	1
16	в самом деле ведь	1	1
17	каких бы то ни	1	1
18	к которой он принадлежит	1	1
19	одно и то же	1	1
20	мы уже знаем что	1	1
21	с точки зрения настоящего	1	1
22	дело в том что	1	1
23	в основе их лежит	1	1
24	до сих пор не	5	1
25	то направление в котором	1	1
26	потому не может служить	1	1
27	о которой мы говорили	2	1
28	но именно в этой	1	1
29	в самом деле если	1	1
30	а может быть и	1	1
