N	3gram	Ircho_Kome	KulturaY
1	и т п	7	93
2	и т д	4	42
3	для того чтобы	3	38
4	в том что	13	33
5	можно было бы	3	25
6	тем не менее	2	19
7	во всяком случае	4	19
8	с другой стороны	6	17
9	в зависимости от	1	16
10	до сих пор	3	14
11	по отношению к	5	13
12	только потому что	2	13
13	в связи с	3	12
14	и в самом	1	11
15	в этом отношении	3	11
16	в этом смысле	2	10
17	о том что	6	10
18	вместе с тем	4	9
19	того или иного	1	9
20	само по себе	1	8
21	не только в	1	8
22	мере в какой	1	7
23	в том случае	1	7
24	до тех пор	1	7
25	чуть ли не	2	7
26	только в том	1	7
27	с одной стороны	5	7
28	после того как	3	7
29	в отличие от	3	6
30	к тому же	12	6
31	то же время	5	6
32	той или иной	1	6
33	этой точки зрения	1	6
34	в то же	5	6
35	не говоря уже	4	6
36	в первую очередь	5	6
37	можно говорить о	1	5
38	говоря уже о	4	5
39	с этой точки	1	5
40	так и в	1	5
41	речь идет о	5	5
42	более или менее	1	5
43	на мой взгляд	1	5
44	в соответствии с	2	5
45	в данном случае	1	5
46	сплошь да рядом	2	5
47	т е в	2	5
48	но все же	1	5
49	что же касается	1	5
50	т п в	1	5
51	тем более что	1	5
52	как мы видели	1	5
53	хотя бы в	1	5
54	так или иначе	4	4
55	сам по себе	1	4
56	том что он	4	4
57	в первом случае	1	4
58	смысле этого слова	1	4
59	к тому что	3	4
60	состоит в том	1	4
61	на то что	2	4
62	и вовсе не	1	4
63	точно так же	1	4
64	так же как	1	4
65	в этой области	2	4
66	в той же	2	3
67	в конце концов	4	3
68	т п т	1	3
69	п т е	1	3
70	тех случаях когда	1	3
71	в наше время	1	3
72	в тех случаях	1	3
73	большей или меньшей	1	3
74	на себя внимание	4	3
75	в то время	8	3
76	состоит не в	1	3
77	при этом что	2	3
78	что и в	2	3
79	том случае если	1	3
80	именно с этой	1	3
81	в какой мере	1	3
82	что он не	2	2
83	которую можно было	1	2
84	как раз на	1	2
85	а может быть	1	2
86	в тех же	3	2
87	и прежде всего	1	2
88	в применении к	1	2
89	в большинстве случаев	2	2
90	имеется в виду	1	2
91	это имело место	1	2
92	у нас в	2	2
93	обращает на себя	4	2
94	в том числе	4	2
95	что все это	1	2
96	и тот же	1	2
97	между тем не	1	2
98	друг от друга	2	2
99	по своему содержанию	1	2
100	одних и тех	1	2
101	в силу этого	3	2
102	и тех же	1	2
103	том что на	1	2
104	хотя и не	1	2
105	так как он	1	2
106	бы то ни	4	2
107	для этой цели	2	2
108	и в том	1	2
109	который в своем	1	2
110	а то и	3	2
111	в одном из	4	2
112	но он не	1	2
113	а вместе с	1	2
114	это вовсе не	1	2
115	как мы знаем	1	2
116	так и не	1	2
117	по сравнению с	1	2
118	таким образом в	2	2
119	не более чем	2	2
120	что касается женской	1	2
121	не что иное	1	2
122	что иное как	1	2
123	и с этой	2	2
124	едва ли не	6	2
125	идет речь в	1	2
126	к этому же	1	2
127	сводится к тому	1	2
