N	2gram	Medvedev_I	VeschiIm
1	и не	2	57
2	и в	1	45
3	в этом	2	18
4	есть только	1	18
5	того что	1	16
6	что в	2	12
7	и с	3	12
8	ничего не	2	12
9	себя в	1	11
10	то и	1	9
11	нисколько не	1	9
12	говорить о	1	9
13	бы в	1	9
14	если бы	1	8
15	для него	1	8
16	все это	1	8
17	с другой	1	8
18	все эти	1	7
19	тем что	1	7
20	я не	1	7
21	а в	1	7
22	а если	1	6
23	как только	1	6
24	жизни и	1	6
25	никогда не	1	6
26	как о	1	5
27	с а	1	5
28	того же	1	5
29	о ней	1	5
30	и без	1	5
31	должен быть	2	5
32	что для	1	5
33	же это	1	5
34	в основе	1	4
35	того чтобы	1	4
36	так то	1	4
37	и еще	1	4
38	так и	1	4
39	он не	2	4
40	и сам	1	4
41	и о	1	4
42	только что	1	3
43	другой стороны	1	3
44	от этого	1	3
45	но когда	1	3
46	бы что	2	3
47	без этого	1	3
48	у всех	1	3
49	по существу	1	3
50	а с	1	3
51	стало быть	1	3
52	для того	1	3
53	в целом	1	3
54	от нее	1	2
55	не так	1	2
56	факты и	1	2
57	самого себя	2	2
58	и ничего	1	2
59	следовательно в	1	2
60	другое дело	1	2
61	то она	1	2
62	бы его	1	2
63	а также	1	2
64	очевидно что	1	2
65	и со	1	2
66	это было	1	2
67	понятий и	1	2
68	нечто и	1	2
69	в руки	1	2
70	и та	1	2
71	данной личности	1	2
72	не случайно	1	2
73	и очень	1	1
74	со всеми	1	1
75	в них	1	1
76	не смерть	1	1
77	ничего в	1	1
78	введение в	1	1
79	было не	1	1
80	и и	1	1
81	точно и	1	1
82	гипотеза и	1	1
83	по поводу	1	1
84	на котором	1	1
85	видит в	1	1
86	этим и	1	1
87	не остается	1	1
88	и смыслы	1	1
89	с любым	1	1
90	могло бы	1	1
91	имя отца	1	1
92	не дает	1	1
93	и тот	1	1
94	во многом	1	1
95	оба они	2	1
96	та и	1	1
97	он с	1	1
