N	2gram	Potebnia_M	Russkaja
1	не может	18	22
2	и не	28	19
3	в этом	19	17
4	в том	47	17
5	с другом	1	14
6	и в	48	14
7	друг с	1	14
8	то что	37	13
9	таким образом	24	11
10	то же	35	11
11	точки зрения	4	11
12	но и	30	10
13	же время	8	10
14	в то	16	10
15	не только	32	9
16	с точки	3	9
17	том что	28	9
18	во всяком	4	9
19	может быть	46	9
20	в себе	26	9
21	прежде всего	6	8
22	того чтобы	5	8
23	как на	6	8
24	не будет	4	7
25	самом деле	5	7
26	стремление к	1	7
27	к тому	9	7
28	о том	7	7
29	самого себя	3	7
30	в данном	3	7
31	и если	4	7
32	мы должны	6	7
33	и с	4	7
34	и к	5	6
35	если в	2	6
36	и при	5	6
37	для него	14	6
38	признать что	2	6
39	все это	4	6
40	на самом	4	6
41	в своих	2	6
42	если бы	20	6
43	с тем	9	6
44	что он	8	6
45	для того	8	6
46	своего народа	2	6
47	в своем	6	6
48	всяком случае	3	6
49	а потому	8	5
50	до сих	4	5
51	и на	5	5
52	из которых	1	5
53	только в	29	5
54	в своей	2	5
55	жизни в	1	5
56	себя и	4	5
57	между собой	1	5
58	во всех	1	5
59	сих пор	4	5
60	и только	5	5
61	вопрос о	2	5
62	хотя бы	3	5
63	потому что	82	5
64	в нем	16	5
65	между тем	19	5
66	он не	4	5
67	а между	6	5
68	конечно не	2	5
69	а в	14	5
70	при этом	6	5
71	было бы	16	5
72	на то	6	5
73	он должен	2	5
74	никогда не	2	5
75	что в	30	4
76	во всем	2	4
77	бы то	2	4
78	и то	13	4
79	все что	4	4
80	когда они	1	4
81	так как	20	4
82	тогда когда	20	4
83	в его	6	4
84	при таких	2	4
85	к соединению	1	4
86	тому чтобы	1	4
87	не могут	7	4
88	его в	6	4
89	более или	6	4
90	отказаться от	2	4
91	не в	24	4
92	в корне	1	4
93	вместе с	22	4
94	как и	22	4
95	в мире	3	4
96	все же	3	4
97	в их	2	4
98	к вопросу	1	4
99	со стороны	4	4
100	себе и	1	4
101	или менее	6	4
102	том случае	2	4
103	которой он	1	4
104	то ни	1	4
105	можно было	1	4
106	что же	3	4
107	в совершенно	1	4
108	от того	10	4
109	и т.д	1	4
110	как бы	10	4
111	в этой	3	4
112	себя в	1	4
113	жизни и	3	4
114	но не	8	4
115	в самом	11	3
116	то в	1	3
117	что они	2	3
118	этом случае	2	3
119	что оно	12	3
120	может не	1	3
121	данном случае	3	3
122	должно быть	9	3
123	несмотря на	2	3
124	вопросу о	1	3
125	что это	6	3
126	что и	16	3
127	сводится к	1	3
128	что может	1	3
129	в виде	3	3
130	не было	12	3
131	связи с	6	3
132	или в	4	3
133	и будут	1	3
134	тем что	13	3
135	именно в	5	3
136	и как	8	3
137	вряд ли	4	3
138	может только	1	3
139	и т	12	3
140	да и	2	3
141	о котором	2	3
142	не есть	24	3
143	но если	2	3
144	но мы	3	3
145	еще не	9	3
146	и потому	9	3
147	только к	1	3
148	то это	9	3
149	случае если	2	3
150	ко всем	5	3
151	на том	1	3
152	говорить о	6	3
153	приходит к	1	3
154	знаем что	1	3
155	что бы	1	3
156	себя от	2	3
157	в большинстве	2	3
158	лишь в	2	3
159	что для	5	3
160	главным образом	1	3
161	и во	1	3
162	при котором	2	3
163	том чтобы	4	3
164	таких условиях	1	3
165	одной из	3	3
166	с нею	5	3
167	что все	5	3
168	в сознании	36	3
169	он сам	2	3
170	и по	5	3
171	а следовательно	1	3
172	друг друга	6	3
173	из этих	10	3
174	для этого	1	3
175	таким же	2	3
176	из них	11	3
177	того что	24	3
178	были бы	1	2
179	представить себе	5	2
180	не так	1	2
181	от него	2	2
182	с уверенностью	1	2
183	что с	2	2
184	именно на	2	2
185	это потому	2	2
186	что такое	2	2
187	зависит от	7	2
188	и вот	1	2
189	должна быть	2	2
190	сама по	3	2
191	время в	3	2
192	для себя	3	2
193	с самим	1	2
194	проявляется в	2	2
195	будет не	2	2
196	от нас	4	2
197	с ним	10	2
198	будет ли	3	2
199	для нас	40	2
200	на которой	4	2
201	касается до	2	2
202	ни в	2	2
203	в результате	1	2
204	это есть	1	2
205	том и	1	2
206	в этих	2	2
207	у него	3	2
208	по себе	26	2
209	что действительно	2	2
210	и даже	3	2
211	если не	6	2
212	бы для	2	2
213	от друга	2	2
214	ее в	2	2
215	а во-вторых	1	2
216	к чему	2	2
217	или от	4	2
218	но совершенно	1	2
219	на такой	1	2
220	все эти	1	2
221	раз навсегда	1	2
222	но для	1	2
223	том же	2	2
224	указывает на	8	2
225	в таком	6	2
226	принадлежат к	1	2
227	отношения к	2	2
228	тому что	6	2
229	участие в	1	2
230	ясно что	1	2
231	не подлежит	2	2
232	которой она	1	2
233	помнить что	1	2
234	их в	3	2
235	большинстве случаев	2	2
236	в порядке	1	2
237	стремления к	1	2
238	и вместе	6	2
239	на эту	1	2
240	следовательно и	2	2
241	только для	3	2
242	отличается от	1	2
243	нисколько не	1	2
244	так же	6	2
245	друг от	2	2
246	если человек	1	2
247	любовь к	1	2
248	тогда как	8	2
249	в других	3	2
250	если же	1	2
251	уже не	11	2
252	все члены	1	2
253	деятельности и	2	2
254	чтобы понять	1	2
255	при полном	1	2
256	с этим	12	2
257	его и	1	2
258	мы можем	13	2
259	а с	4	2
260	за то	1	2
261	больше чем	1	2
262	и более	4	2
263	в таких	4	2
264	в котором	7	2
265	и состоит	2	2
266	ее он	1	2
267	мы уже	5	2
268	она не	4	2
269	в течение	2	2
270	другом и	1	2
271	но даже	3	2
272	это только	2	2
273	в ней	11	2
274	во многих	3	2
275	и тогда	4	2
276	такое стремление	1	2
277	и тем	8	2
278	быть и	1	2
279	для нее	1	2
280	а не	22	2
281	но она	1	2
282	только на	4	2
283	отношении к	3	2
284	только стремление	1	2
285	в противоречие	1	2
286	есть и	3	2
287	в силу	7	2
288	точно так	15	2
289	и что	13	2
290	время когда	3	2
291	и тот	5	2
292	на основании	1	2
293	этого не	3	2
294	людей и	2	2
295	в начале	3	2
296	говоря о	5	2
297	факт что	1	2
298	по отношению	12	2
299	сами эти	1	2
300	целый ряд	2	2
