N	2gram	Nazirov_Tr	Vvedenie
1	и т	1	45
2	т е	1	40
3	в том	2	38
4	в этом	9	35
5	и в	18	35
6	может быть	7	30
7	том что	4	30
8	не только	8	26
9	того чтобы	1	22
10	таким образом	1	21
11	не может	5	19
12	то что	4	19
13	потому что	2	18
14	только в	1	16
15	о том	2	16
16	представляет собой	1	14
17	в общем	1	14
18	что в	4	13
19	в самом	2	13
20	и не	7	13
21	в нем	4	13
22	в его	3	12
23	того что	1	12
24	то же	5	11
25	в ее	2	11
26	по себе	1	11
27	в данном	2	11
28	как мы	1	11
29	прежде всего	4	10
30	не в	2	10
31	вопрос о	2	10
32	между тем	1	10
33	в той	1	10
34	но в	6	10
35	дело с	1	9
36	тем не	1	9
37	смысле этого	1	9
38	все же	5	9
39	но не	1	9
40	и как	3	9
41	не менее	1	9
42	в истории	1	9
43	это не	5	8
44	как нечто	1	8
45	именно в	1	8
46	можно было	1	8
47	и то	2	7
48	в применении	1	7
49	как и	5	7
50	самом деле	1	7
51	но и	4	7
52	как бы	7	7
53	один из	3	6
54	на вопрос	1	6
55	об этом	4	6
56	этом случае	1	6
57	к истории	1	6
58	все это	4	6
59	не могут	2	6
60	его в	2	6
61	на этот	1	6
62	тем что	2	6
63	с тем	2	6
64	вместе с	1	6
65	же время	6	6
66	и это	2	6
67	уже не	2	6
68	применении к	1	6
69	и даже	4	6
70	хотя бы	1	6
71	и что	4	6
72	как он	1	6
73	могут быть	1	6
74	но если	1	6
75	и его	6	6
76	в то	5	6
77	связь между	1	5
78	смотреть на	1	5
79	уже в	3	5
80	с этой	1	5
81	что и	2	5
82	в виду	1	5
83	в них	1	5
84	в первом	2	5
85	одним из	1	5
86	что не	1	5
87	не есть	1	5
88	что он	6	5
89	одно из	1	5
90	данном случае	2	5
91	во всяком	1	5
92	так что	2	5
93	а не	1	5
94	есть и	1	5
95	и т.д	1	5
96	или вообще	1	5
97	т п	1	5
98	быть в	1	5
99	а как	2	5
100	не просто	2	5
101	в целом	4	5
102	как это	3	5
103	всяком случае	1	5
104	в особенности	1	4
105	в центре	1	4
106	только что	1	4
107	с одной	1	4
108	любовь к	1	4
109	о чем	3	4
110	в результате	1	4
111	в виде	2	4
112	в себе	4	4
113	видит в	1	4
114	но все	2	4
115	в одном	2	4
116	в котором	1	4
117	заключается в	1	4
118	и ее	2	4
119	в своей	1	4
120	конфликт между	1	4
121	сравнению с	1	4
122	в чем	1	4
123	к тому	2	4
124	еще не	4	4
125	не имеет	2	4
126	по сравнению	1	4
127	не вполне	1	4
128	отличие от	2	4
129	в и	1	4
130	в отличие	2	4
131	той же	1	4
132	в области	1	4
133	своего рода	3	3
134	что с	3	3
135	и здесь	2	3
136	и на	7	3
137	например что	1	3
138	того как	1	3
139	и вот	1	3
