N	2gram	Propp_Isto	Poddanst
1	не только	28	17
2	и в	43	14
3	и не	16	12
4	в области	1	11
5	в этом	25	10
6	в том	13	9
7	то же	11	9
8	в качестве	4	9
9	но в	15	9
10	хотя бы	3	8
11	в пределах	5	8
12	только в	8	7
13	в то	2	7
14	е с	1	6
15	в ней	3	6
16	xix века	1	6
17	было бы	5	6
18	но и	24	6
19	и пр	19	5
20	может быть	22	5
21	с другой	10	5
22	не в	9	5
23	и о	2	5
24	в которых	7	5
25	а я	3	5
26	в русской	5	4
27	и к	4	4
28	что в	29	4
29	в котором	5	4
30	по себе	3	4
31	и если	3	4
32	и потому	2	4
33	мы должны	9	4
34	не может	8	4
35	а в	13	4
36	то что	20	4
37	как бы	5	4
38	если бы	7	4
39	а также	5	4
40	в своем	2	4
41	же в	6	4
42	том что	12	4
43	хозяйство и	1	3
44	наряду с	4	3
45	в себе	2	3
46	северной америке	1	3
47	что мы	5	3
48	к и	1	3
49	ей в	1	3
50	с одной	2	3
51	мы не	3	3
52	это не	10	3
53	одной стороны	2	3
54	между тем	2	3
55	с точки	1	3
56	хотя и	4	3
57	т е	36	3
58	с тем	3	3
59	потому что	8	3
60	прежде всего	3	3
61	сводится к	1	3
62	сами по	1	3
63	заключается в	1	3
64	но не	10	3
65	могут быть	9	3
66	и т	33	3
67	и как	6	3
68	с ними	5	3
69	столь же	1	3
70	в порядке	1	3
71	в нем	11	3
72	тот же	2	3
73	точки зрения	3	3
74	с этим	13	2
75	во всех	1	2
76	к началу	1	2
77	сказывается в	1	2
78	является в	2	2
79	и это	5	2
80	и других	1	2
81	в европе	1	2
82	более чем	1	2
83	и вот	3	2
84	том числе	1	2
85	не будем	6	2
86	еще более	3	2
87	по сравнению	2	2
88	каждый в	1	2
89	в ее	1	2
90	и тем	2	2
91	того что	8	2
92	никак не	1	2
93	как раз	1	2
94	в частности	6	2
95	в его	7	2
96	а не	13	2
97	для нас	6	2
98	все это	4	2
99	говорить о	1	2
100	для них	3	2
101	и есть	3	2
102	стороны и	3	2
103	сколько бы	1	2
104	и и	6	2
105	в русском	3	2
106	в виде	2	2
107	в них	6	2
108	только это	1	2
109	не было	2	2
110	сомнения что	2	2
111	к чему	2	2
112	и с	10	2
113	в начале	2	2
114	как на	1	2
115	главным образом	3	2
116	духа и	1	2
117	именно в	1	2
118	в жизни	3	2
119	современной европейской	1	2
120	друг другу	2	2
121	есть нечто	1	2
122	в силу	2	2
123	в северной	3	2
124	одна из	2	2
125	между прочим	4	2
126	в мире	1	2
127	например в	3	2
128	не менее	6	2
129	не столько	1	2
130	отнюдь не	1	2
131	со стороны	3	2
132	да и	2	2
133	по характеру	1	2
134	в эту	1	2
135	из них	7	2
136	есть не	2	2
137	тем более	1	2
138	образом на	2	2
139	не к	1	2
140	дать еще	1	1
141	что было	3	1
142	к сожалению	1	1
143	чем к	1	1
144	этих двух	2	1
145	этом стремлении	1	1
146	были бы	1	1
147	это от	1	1
148	нет ничего	3	1
149	себя воздух	1	1
150	как к	2	1
151	от нее	1	1
152	во всяком	2	1
153	и тех	1	1
