N	4gram	Losev_Vesc	Mirosoze
1	и вместе с тем	1	5
2	в то время как	4	4
3	не что иное как	12	4
4	в том что он	2	3
5	есть не что иное	8	3
6	не может быть и	1	2
7	в его отношении к	1	2
8	но не значит ли	1	1
9	в том смысле что	1	1
10	и в самом деле	1	1
11	и есть не что	3	1
12	значит ли это что	4	1
13	можно ли сказать что	3	1
14	что я подхожу к	1	1
15	указывает на то что	3	1
16	в то же время	4	1
17	не может не быть	1	1
18	в нем нет ничего	1	1
19	ни с чем не	1	1
20	в том что это	1	1
21	то время как другие	1	1
22	это не значит что	1	1
23	том что он не	1	1
24	и есть то что	1	1
25	всегда в движении в	1	1
26	и в этом они	1	1
27	может быть и речи	1	1
28	ни на что не	1	1
29	не может быть никакого	1	1
30	не значит ли это	5	1
31	не было бы и	1	1
32	когда мы говорим что	1	1
33	подобно тому как в	1	1
