N	2gram	Bakhtin_Fr	Otkroven
1	у него	14	22
2	человеческой природы	1	20
3	и в	68	19
4	и не	25	13
5	но и	17	13
6	в этом	28	12
7	а не	6	11
8	не только	21	11
9	не в	2	11
10	может быть	10	11
11	и все	16	10
12	в нем	12	10
13	потому что	3	9
14	в человеке	1	9
15	прежде всего	23	9
16	не было	7	9
17	в самой	1	9
18	никогда не	2	9
19	и он	2	8
20	он был	5	8
21	нет ничего	1	7
22	ни с	1	7
23	в его	21	7
24	он не	11	7
25	но он	9	7
26	лишь в	3	7
27	до конца	10	7
28	человек не	1	7
29	все это	6	6
30	как и	17	6
31	в самом	6	5
32	в творчестве	5	5
33	в том	12	5
34	для него	7	5
35	в этой	15	5
36	а в	3	5
37	отношение к	11	5
38	о его	2	5
39	то что	11	5
40	все в	2	4
41	что в	14	4
42	и мысли	4	4
43	того чтобы	6	4
44	есть лишь	1	4
45	не может	5	4
46	него и	3	4
47	что не	1	4
48	в самую	1	4
49	все эти	16	4
50	и его	26	4
51	он сам	1	4
52	с его	6	4
53	и от	4	3
54	все что	4	3
55	что человек	1	3
56	и вот	4	3
57	хотя бы	2	3
58	это не	5	3
59	для того	5	3
60	с ним	3	3
61	мысли и	2	3
62	когда он	1	3
63	быть может	2	3
64	в этих	8	3
65	не могут	1	3
66	в своих	7	3
67	как бы	7	3
68	было бы	4	3
69	в себе	5	3
70	и есть	5	3
71	во имя	1	3
72	что он	7	3
73	никто не	1	3
74	это было	2	3
75	и ее	3	3
76	о том	5	3
77	того что	3	3
78	к нему	4	3
79	еще не	3	3
80	всего в	1	2
81	и к	4	2
82	как к	1	2
83	и потому	6	2
84	так и	8	2
85	что они	3	2
86	и то	2	2
87	всего и	1	2
88	все же	6	2
89	что у	2	2
90	был еще	3	2
91	не могли	1	2
92	он восклицает	1	2
93	так как	7	2
94	и очень	2	2
95	должно быть	1	2
96	к этой	3	2
97	даже и	3	2
98	человека все	1	2
99	уже в	4	2
100	в человеческом	1	2
101	в другом	3	2
102	так что	1	2
103	в своем	11	2
104	в этот	2	2
105	с тем	1	2
106	и из	1	2
107	в которой	6	2
108	ее в	1	2
109	о которой	1	2
110	и этим	1	2
111	одно из	3	2
112	что и	3	2
113	которую он	1	2
114	от самого	1	2
115	в истории	5	2
116	его в	7	2
117	чем в	2	2
118	ведь это	3	2
119	ко всем	3	2
120	вместо того	1	2
121	художественном творчестве	1	2
122	этого мира	1	2
123	и с	15	2
124	те которые	1	2
125	и там	1	2
126	он в	2	2
127	и о	5	2
128	сказать что	3	2
129	что для	2	2
130	тем что	6	2
131	легенда о	1	2
132	и на	16	2
133	в других	4	2
134	что все	2	2
135	ничего не	4	2
136	зла в	1	2
137	хотя и	2	2
138	в своей	11	2
139	момент в	2	2
140	все еще	1	2
141	жизни в	1	2
142	по себе	1	2
143	не имеет	1	2
144	к этому	6	2
145	том что	6	2
146	и для	6	2
147	в ее	5	2
148	своей жизни	3	2
149	но в	20	2
150	уже с	1	1
151	мире это	1	1
152	и изображает	1	1
153	что было	3	1
154	во всем	4	1
155	к одному	2	1
156	и весь	2	1
157	если вы	1	1
158	во всяком	2	1
159	связан с	6	1
160	не так	3	1
161	ко всему	2	1
162	ни к	1	1
163	видели в	1	1
164	его и	1	1
165	с образом	2	1
166	одном месте	2	1
167	ключа к	1	1
168	во внешнем	1	1
169	совершенно не	1	1
170	смерть и	1	1
171	все и	1	1
172	царств и	1	1
173	том случае	1	1
174	то он	1	1
175	к счастью	1	1
176	ее и	1	1
177	в бытовом	1	1
178	но оно	2	1
179	которой все	1	1
180	для его	1	1
181	и самое	3	1
182	это конечно	1	1
183	всего высокого	1	1
184	все его	2	1
185	самой жизни	2	1
186	и других	7	1
187	и всякий	1	1
188	указывали на	2	1
189	один из	9	1
190	начало в	2	1
191	в котором	3	1
192	и здесь	5	1
193	после этого	2	1
194	искали в	1	1
195	огромная и	1	1
196	и состоит	1	1
197	тому кто	1	1
198	обычном смысле	1	1
199	они и	4	1
200	же и	4	1
201	которых в	1	1
202	именно от	1	1
203	после того	1	1
204	был даже	1	1
205	и вечно	1	1
206	случае если	1	1
207	человеческой природой	1	1
208	в пределе	1	1
209	того как	1	1
210	из образов	1	1
211	в первый	2	1
212	динамику в	1	1
213	том как	1	1
214	не противопоставляет	1	1
215	мы не	3	1
216	больше всего	1	1
217	ведь этот	1	1
218	притом не	1	1
219	смысле слова	5	1
220	связана с	4	1
221	всего мира	1	1
222	это лишь	1	1
223	творчестве в	1	1
224	еще более	5	1
225	также и	6	1
226	но не	4	1
227	по сравнению	2	1
228	людей но	2	1
229	не по	1	1
230	представляет собой	1	1
231	образ и	2	1
232	бог у	1	1
