N	2gram	Potebnia_M	VLabPisa
1	таким образом	21	32
2	в этом	18	29
3	не только	32	26
4	и в	58	26
5	и т	10	25
6	может быть	47	23
7	и не	34	20
8	хотя бы	4	20
9	не может	30	17
10	в процессе	1	17
11	в письме	1	16
12	т д	6	16
13	в его	7	15
14	в том	38	15
15	этом отношении	1	14
16	все это	3	13
17	прежде всего	8	13
18	как это	1	12
19	что в	34	11
20	с другой	13	11
21	из них	2	11
22	то же	13	10
23	не могут	10	10
24	о том	6	10
25	но и	26	10
26	по этому	2	10
27	и др	1	10
28	для него	13	9
29	об этом	1	9
30	т п	6	9
31	к этому	3	9
32	могут быть	17	8
33	другой стороны	7	8
34	только в	36	8
35	по словам	1	8
36	на основании	3	8
37	все эти	3	8
38	вместе с	12	8
39	том что	21	8
40	было бы	21	8
41	не следует	6	8
42	в своем	3	8
43	произведения и	1	7
44	это не	10	7
45	не было	7	7
46	по отношению	15	7
47	очевидно что	5	7
48	тому что	4	7
49	как и	16	7
50	их в	2	7
51	во всех	12	7
52	а не	38	7
53	то что	24	7
54	главным образом	4	7
55	отношению к	13	7
56	же в	7	7
57	в нем	26	7
58	из этих	8	7
59	один из	2	6
60	у него	3	6
61	более или	6	6
62	все же	11	6
63	приводит к	1	6
64	не в	23	6
65	между тем	7	6
66	так и	17	6
67	в себе	22	6
68	или менее	6	6
69	в зависимости	1	6
70	том же	3	6
71	и его	7	6
72	в то	6	6
73	даже в	1	5
74	в результате	1	5
75	в их	3	5
76	в них	7	5
77	связи с	6	5
78	следует понимать	1	5
79	одним из	2	5
80	зависимости от	1	5
81	к тому	5	5
82	перед нами	1	5
83	он говорит	1	5
84	и при	6	5
85	в одном	13	5
86	же время	4	5
87	как бы	12	5
88	в целом	3	5
89	сказать что	5	5
90	и есть	4	5
91	никогда не	7	5
92	в самом	5	4
93	ее в	1	4
94	только что	4	4
95	познания и	2	4
96	в ее	2	4
97	можно сказать	1	4
98	что для	5	4
99	в этой	3	4
100	в единстве	3	4
101	следующим образом	1	4
102	что все	4	4
103	что он	5	4
104	равно как	1	4
105	в виду	2	4
106	с тем	9	4
107	с ними	2	4
108	в своей	3	4
109	одном из	3	4
110	роль в	1	4
111	должен быть	2	4
112	с его	3	4
113	в связи	2	4
114	когда он	1	4
115	в нашей	2	4
116	их и	2	4
117	них не	3	4
118	в сознании	8	4
119	из его	1	4
