N	2gram	Vygotskiy_	Morfolog
1	может быть	25	61
2	таким образом	36	26
3	могут быть	9	21
4	так как	19	20
5	мы имеем	6	19
6	не может	11	19
7	в этом	35	18
8	в этих	4	17
9	представляет собой	6	17
10	и в	38	17
11	представляют собой	1	16
12	и не	16	16
13	мы видим	13	15
14	этих случаях	1	15
15	перед нами	15	14
16	с этим	6	14
17	прежде всего	6	14
18	эта форма	3	14
19	по существу	4	13
20	видим что	2	12
21	при помощи	3	12
22	связи с	14	12
23	и др	1	12
24	а не	7	11
25	заметить что	1	11
26	что в	31	10
27	то же	18	10
28	а затем	4	10
29	вопрос о	2	10
30	мы увидим	4	10
31	не всегда	1	10
32	но если	2	10
33	этом случае	4	10
34	в том	59	10
35	так и	11	10
36	что и	14	10
37	в связи	9	10
38	составные части	3	10
39	то что	27	10
40	все же	11	9
41	с другой	11	9
42	но и	9	9
43	не только	16	8
44	в результате	6	8
45	мы не	14	8
46	в качестве	25	8
47	но не	7	8
48	представляет собою	1	8
49	в тех	2	8
50	а в	7	8
51	как мы	14	8
52	один из	8	7
53	и здесь	5	7
54	если в	3	7
55	не могут	5	7
56	не менее	8	7
57	том что	44	7
58	потому что	14	7
59	по отношению	4	7
60	наряду с	3	7
61	точки зрения	27	7
62	как это	16	7
63	тем не	6	7
64	а также	6	7
65	отношению к	3	7
66	подобно тому	1	6
67	о том	6	6
68	как бы	17	6
69	не все	1	6
70	увидим ниже	1	6
71	но это	7	6
72	это не	5	6
73	с точки	11	6
74	в нашем	2	6
75	или в	4	6
76	и как	11	6
77	вовсе не	5	6
78	во всех	3	6
79	если мы	12	6
80	очень часто	4	6
81	также и	3	6
82	в форме	2	6
83	во время	3	6
84	этот момент	4	5
85	из которых	6	5
86	другой стороны	5	5
87	вслед за	4	5
88	что он	13	5
89	как в	14	5
90	со стороны	1	5
91	могут считаться	1	5
92	это явление	2	5
93	хотя бы	2	5
94	было бы	15	5
95	к тому	8	5
96	что они	23	5
97	хотя и	2	5
98	то мы	2	5
99	тому что	3	5
100	ясно что	4	5
101	все эти	9	5
102	одна из	2	5
103	между собой	15	5
104	в поле	1	5
105	на его	5	5
106	об этом	2	5
107	в других	2	5
108	там где	4	5
109	мы можем	13	5
110	тому как	2	5
111	между тем	10	5
112	он не	6	5
113	далеко не	2	5
114	и затем	1	5
115	главным образом	3	5
116	в ходе	1	5
117	в целом	22	5
118	и ее	1	5
119	раньше чем	3	5
120	и к	9	4
121	смысле слова	5	4
122	в некоторых	1	4
123	есть и	2	4
124	на этом	3	4
125	нами в	4	4
126	как и	20	4
127	самом деле	4	4
128	но все	4	4
129	ни одна	1	4
130	тем что	12	4
131	никто не	1	4
132	уже не	3	4
133	еще не	6	4
134	не является	13	4
135	тех же	2	4
136	задачи в	1	4
137	входит в	7	4
138	того чтобы	15	4
139	говорить о	1	4
140	на пути	2	4
141	так же	26	4
142	он совершает	1	4
143	и наоборот	1	4
144	сказать что	10	4
145	следующим образом	4	4
146	на него	2	4
147	основные формы	1	4
148	на котором	3	4
149	и для	4	4
150	из них	5	4
151	но в	4	4
152	получает в	1	4
153	несмотря на	1	4
154	эта функция	2	4
155	его в	8	4
156	с теми	2	4
157	случае не	1	4
158	встречается в	5	4
159	к этому	5	4
160	в то	5	4
161	мы уже	8	4
162	можно было	10	4
163	этот вопрос	5	4
164	от того	8	4
165	могла бы	1	4
166	оно может	2	4
167	значит что	6	4
168	независимо от	5	4
169	собственном смысле	12	3
170	то время	5	3
171	та же	3	3
172	в последнем	1	3
173	только что	5	3
174	предметы и	1	3
175	иногда может	1	3
176	с этой	6	3
177	и при	3	3
178	что это	8	3
179	в сущности	3	3
180	в живых	1	3
181	ни в	12	3
182	от другого	2	3
183	этого момента	2	3
184	только в	16	3
185	здесь мы	4	3
186	время как	5	3
187	всего следует	1	3
188	если это	2	3
189	или на	1	3
190	и другим	2	3
191	есть нечто	1	3
192	в собственном	12	3
193	но мы	1	3
194	на первый	5	3
195	то здесь	1	3
196	не существует	1	3
197	и что	15	3
198	рассматриваться как	4	3
199	связана с	3	3
200	для того	14	3
201	и тогда	2	3
202	или не	1	3
203	вне связи	1	3
204	целый ряд	4	3
205	ее по	1	3
206	состоит в	4	3
207	так например	1	3
208	на действия	1	3
209	здесь не	2	3
210	с его	3	3
211	кроме того	1	3
212	что при	3	3
213	с того	1	3
214	к нему	1	3
215	бы то	1	3
216	то в	3	3
217	не происходит	2	3
218	в животных	1	3
219	что эти	4	3
220	они не	4	3
221	благодаря этому	7	3
222	и функции	1	3
223	или с	1	3
224	того что	17	3
225	что такое	1	3
226	ее в	2	3
227	задачи на	1	3
228	но как	4	3
229	у нас	1	3
230	это и	1	3
231	в виде	4	3
232	этой формы	1	3
233	в таких	1	3
234	должны рассматриваться	2	3
235	к чему	1	3
236	животных и	5	3
237	но для	2	3
238	здесь же	1	3
239	по мотивам	1	3
240	в какой	5	3
241	приходим к	2	3
242	даже не	1	3
243	и у	7	3
244	и отсюда	1	3
245	том случае	2	3
246	как уже	8	3
247	то ни	1	3
248	совсем не	1	3
249	в ход	5	3
250	если бы	12	3
251	иное чем	2	3
252	друг друга	7	3
253	мы должны	15	3
254	из ряда	3	3
255	и тем	8	3
256	не в	10	3
257	в которой	4	3
258	а по	3	3
259	и их	4	3
260	в начале	5	3
261	в пределах	1	3
262	в большинстве	1	3
263	значение и	1	3
264	в этой	7	3
265	вступают в	2	3
266	к ней	2	3
267	приводит к	5	3
268	приводят к	1	3
269	мы будем	4	3
