N	3gram	Losev_Dial	Hudozhes
1	в том что	12	8
2	в то же	3	7
3	в отличие от	1	7
4	то же время	3	7
5	с другой стороны	3	6
6	более или менее	1	6
7	той или иной	2	5
8	в конечном счете	1	5
9	для того чтобы	1	5
10	так или иначе	2	4
11	того или иного	3	4
12	не может быть	12	4
13	мы имеем в	1	3
14	с точки зрения	25	3
15	в этом смысле	1	3
16	имеем в виду	1	3
17	тем не менее	10	3
18	можно сказать что	1	3
19	и то же	2	3
20	одно и то	2	3
21	подобно тому как	5	3
22	в связи с	3	3
23	с одной стороны	3	3
24	тот или иной	2	3
25	бы то ни	2	2
26	и прежде всего	6	2
27	в данный момент	2	2
28	этой точки зрения	4	2
29	ту или иную	1	2
30	с этой точки	4	2
31	в самом деле	6	2
32	в коем случае	4	2
33	в таком случае	11	2
34	включает в себя	1	2
35	ни в коем	4	2
36	в этом мире	1	2
37	тех или иных	2	2
38	и в то	2	2
39	во всей его	1	2
40	что в основе	1	2
41	то ни было	1	2
42	на наших глазах	1	2
43	сама по себе	11	2
44	к тому что	2	2
45	в основе своей	1	2
46	коем случае не	4	2
47	мы имеем дело	1	2
48	точно так же	3	1
49	может и не	1	1
50	не сама жизнь	1	1
51	а только лишь	1	1
52	что говоря о	1	1
53	и как бы	2	1
54	не может зависеть	1	1
55	а не ее	1	1
56	не просто о	1	1
57	по себе а	2	1
58	еще не есть	1	1
59	при всем своем	1	1
60	к чему не	1	1
61	личности как это	1	1
62	проявляет себя в	1	1
63	та или иная	3	1
64	том отношении что	1	1
65	не содержит в	1	1
66	по крайней мере	10	1
67	заключается в том	1	1
68	из этих двух	1	1
69	вопрос что такое	1	1
70	о том что	6	1
71	то или иное	4	1
72	я уже не	1	1
73	чем собственно говоря	1	1
74	в свое время	1	1
75	одной стороны и	1	1
76	дело не в	1	1
77	как и в	3	1
78	в чем собственно	1	1
79	для себя и	1	1
80	не в состоянии	1	1
81	в мире без	1	1
82	художественное произведение и	1	1
83	связи с этим	1	1
84	друг от друга	1	1
85	что он должен	1	1
86	в то время	6	1
87	собственно говоря и	1	1
88	в себя и	1	1
89	только при условии	1	1
90	у достоевского в	1	1
91	личности а не	1	1
92	того что не	2	1
93	имеем дело не	1	1
94	несмотря на свою	1	1
95	именно в этом	1	1
96	у нее нет	1	1
97	не что иное	6	1
98	и в частности	2	1
99	не сама по	1	1
100	иметь в виду	3	1
101	таким образом что	1	1
102	но в то	1	1
103	а не сама	2	1
104	в сравнении с	5	1
105	содержит в себе	2	1
106	в лучшем случае	2	1
107	субъект и объект	2	1
108	в зависимости от	3	1
109	субъект мыслится как	1	1
110	отношении к нему	1	1
111	гоголевский хома брут	1	1
112	так же как	2	1
113	в себе никакого	1	1
114	их никто не	1	1
115	уже не просто	1	1
116	мы видим в	1	1
117	речь идет о	1	1
118	можно говорить о	1	1
119	точки зрения в	2	1
120	при условии что	2	1
121	ни от кого	1	1
122	если он не	1	1
123	к тому же	2	1
124	чисто познавательного логического	1	1
125	не только на	1	1
126	есть не что	3	1
127	как особого рода	2	1
128	не могут быть	3	1
129	возможна только в	1	1
130	исходит из того	1	1
131	личности с ее	2	1
132	в романе достоевского	1	1
133	то же самое	1	1
134	но только не	1	1
135	что иное как	6	1
136	легко может быть	1	1
137	ни к чему	1	1
138	в том отношении	1	1
139	только то что	1	1
140	как бы в	1	1
141	перед нами не	1	1
142	из того что	2	1
143	то что они	1	1
144	а не только	2	1
145	я думаю что	1	1
146	это и есть	4	1
147	прежде всего в	1	1
148	в виду что	2	1
149	и в том	1	1
150	и в этой	1	1
151	это ведет к	1	1
152	в чистом виде	1	1
153	это было бы	3	1
