N	4gram	Tiupa_Disk	KulturaY
1	в то же время	7	6
2	не говоря уже о	2	5
3	состоит в том что	2	4
4	одного и того же	4	4
5	заключается в том что	1	4
6	в том случае если	1	3
7	большей или меньшей степени	1	3
8	не только потому что	1	3
9	в большей или меньшей	1	3
10	в том что не	1	3
11	только в том случае	1	3
12	в том что он	1	3
13	в тех случаях когда	1	3
14	не в том что	1	3
15	обратить внимание на то	1	2
16	в той или иной	1	2
17	а в том что	2	2
18	и в то же	2	2
19	не только в том	1	2
20	сошлюсь хотя бы на	1	2
21	одним и тем же	1	2
22	в том и в	1	1
23	целое в свою очередь	1	1
24	том и в другом	1	1
25	все дело в том	1	1
26	в том что и	1	1
27	одно и то же	2	1
28	дело в том что	3	1
29	и не может быть	1	1
30	с другой стороны в	1	1
31	следует обратить внимание на	1	1
32	которые лежат в основе	1	1
33	только в том что	1	1
34	свидетельствует о том что	1	1
35	одном и том же	1	1
36	и в другом случае	1	1
37	что далеко не все	1	1
38	в одно и то	2	1
39	сами по себе они	1	1
40	в том или ином	1	1
41	и в том и	1	1
42	из уст в уста	1	1
43	дело не в том	1	1
44	состояло в том что	1	1
45	во всяком случае ясно	1	1
46	в тех или иных	1	1
