N	2gram	Trubetskoy	Otkroven
1	у него	5	22
2	и в	24	19
3	и не	9	13
4	но и	11	13
5	в этом	13	12
6	а не	1	11
7	не только	10	11
8	не в	9	11
9	может быть	17	11
10	вопрос о	3	10
11	и все	9	10
12	в нем	3	10
13	потому что	9	9
14	в человеке	1	9
15	прежде всего	3	9
16	не было	2	9
17	в самой	2	9
18	никогда не	4	9
19	нет ничего	1	7
20	от него	3	7
21	в его	5	7
22	он не	4	7
23	но он	1	7
24	лишь в	5	7
25	до конца	1	7
26	все это	13	6
27	как и	10	6
28	в самом	8	5
29	в том	31	5
30	для него	2	5
31	него в	2	5
32	в этой	7	5
33	а в	3	5
34	отношение к	4	5
35	то что	18	5
36	все в	2	4
37	что в	9	4
38	того чтобы	8	4
39	есть лишь	1	4
40	не может	18	4
41	все эти	19	4
42	на земле	3	4
43	и его	2	4
44	он сам	1	4
45	с его	1	4
46	только одно	3	3
47	и от	5	3
48	все что	10	3
49	и вот	1	3
50	хотя бы	4	3
51	это не	3	3
52	для того	8	3
53	более всего	2	3
54	с ним	6	3
55	мысли и	1	3
56	быть может	1	3
57	в этих	3	3
58	не могут	4	3
59	в своих	2	3
60	как бы	10	3
61	было бы	3	3
62	могут быть	1	3
63	в себе	5	3
64	во имя	3	3
65	что он	7	3
66	никто не	2	3
67	различие между	1	3
68	это было	1	3
69	и ее	2	3
70	о том	7	3
71	того что	7	3
72	к нему	2	3
73	еще не	6	3
74	всего в	1	2
75	и к	5	2
76	как к	5	2
77	и потому	3	2
78	так и	10	2
79	что они	2	2
80	и то	4	2
81	все же	15	2
82	что у	2	2
83	так как	7	2
84	должно быть	5	2
85	даже и	1	2
86	к ней	1	2
87	для всякого	2	2
88	уже в	1	2
89	в другом	2	2
90	совсем не	1	2
91	так что	6	2
92	в своем	12	2
93	в этот	1	2
94	с тем	4	2
95	и из	2	2
96	с которой	1	2
97	в которой	5	2
98	ее в	1	2
99	о которой	2	2
100	одно из	3	2
101	что и	7	2
102	которую он	2	2
103	россии в	1	2
104	от самого	1	2
105	можно ли	2	2
106	в истории	3	2
107	его в	5	2
108	чем в	3	2
109	ко всем	3	2
110	мысль о	1	2
111	вместо того	1	2
112	не очень	2	2
113	и с	5	2
114	что же	2	2
115	те которые	1	2
116	и там	2	2
117	частью в	1	2
118	он в	1	2
119	сказать что	1	2
120	что для	4	2
121	тем что	1	2
122	из всего	1	2
123	и на	6	2
124	сложнее и	1	2
125	в других	1	2
126	что все	5	2
127	ничего не	1	2
128	хотя и	4	2
129	не есть	4	2
130	в своей	1	2
131	жизни в	1	2
132	не имеет	2	2
133	к этому	5	2
134	том что	20	2
135	и для	6	2
136	в ее	1	2
137	всякий кто	1	2
138	но в	5	2
139	открытие и	1	1
140	науки о	1	1
141	ближе к	3	1
142	во всем	3	1
143	к одному	1	1
144	в каждом	1	1
145	и весь	2	1
146	во всяком	2	1
147	не так	4	1
148	ко всему	2	1
149	совершенно не	4	1
150	том случае	4	1
151	а потому	5	1
152	ее и	4	1
153	всему этому	3	1
154	а с	4	1
155	это конечно	2	1
156	в центре	1	1
157	все его	2	1
158	и других	3	1
159	указывали на	1	1
160	к другу	2	1
161	один из	1	1
162	эволюции в	2	1
163	в котором	2	1
164	та же	4	1
165	даже когда	1	1
166	после этого	1	1
167	после которого	1	1
168	самой природе	1	1
169	и состоит	2	1
170	человеке его	1	1
171	друг к	2	1
172	они и	1	1
173	же и	1	1
174	это потому	1	1
175	она должна	1	1
176	случае если	5	1
177	того как	1	1
178	эта не	1	1
179	и пр	1	1
180	и заключается	1	1
181	она не	2	1
182	есть одно	1	1
183	должна быть	6	1
184	мы не	1	1
185	не могу	1	1
186	но еще	1	1
187	больше всего	1	1
188	их главное	1	1
189	смысле слова	1	1
190	еще больше	3	1
191	был до	1	1
192	еще более	1	1
193	также и	2	1
194	ту же	2	1
195	но не	3	1
196	это должно	1	1
197	по сравнению	5	1
198	в культурном	3	1
199	это все	1	1
200	для многих	1	1
201	не по	1	1
202	быть не	1	1
203	оба они	1	1
204	не быть	1	1
205	от которого	2	1
206	в ней	3	1
207	из всех	5	1
208	метод которым	1	1
209	на два	1	1
210	люди что	1	1
211	что это	5	1
212	а это	2	1
213	для тех	1	1
214	может служить	3	1
215	всяком случае	2	1
216	на этих	1	1
217	он и	1	1
218	в сущности	2	1
219	лишь после	1	1
220	кажется что	1	1
221	лучше сказать	1	1
222	его он	1	1
223	в частности	2	1
224	между двумя	5	1
225	народа и	1	1
226	люди с	1	1
227	чем у	8	1
228	только один	2	1
229	что только	3	1
230	на нем	1	1
231	и тут	1	1
232	возможен лишь	1	1
233	как у	3	1
234	со стороны	1	1
235	не принять	1	1
236	он должен	2	1
237	в науке	1	1
238	его всегда	1	1
239	и кто	1	1
240	и что	9	1
241	всего для	1	1
242	на самом	7	1
243	народ в	4	1
244	у нас	3	1
245	в отношении	1	1
246	можно было	1	1
247	людей и	1	1
248	оказывается что	5	1
249	не потому	2	1
250	же не	3	1
251	заключает в	2	1
252	и это	3	1
253	ее с	1	1
254	у многих	1	1
255	это есть	4	1
256	смысле этого	1	1
257	и до	3	1
258	этими двумя	2	1
259	не вполне	3	1
260	проникнуть в	1	1
261	европе и	1	1
262	которые будут	2	1
263	этого нужно	1	1
264	по своей	7	1
265	от того	3	1
266	существование в	2	1
267	в них	2	1
268	же всегда	1	1
269	в силе	1	1
270	и всех	1	1
271	не случайно	1	1
272	и даже	1	1
273	в чистом	1	1
274	психологии и	1	1
275	все та	1	1
276	в борьбе	1	1
277	отрешиться от	1	1
278	всего что	1	1
279	всегда и	1	1
280	подошел к	1	1
281	если бы	8	1
282	самом деле	12	1
283	от всех	1	1
284	исходит от	1	1
285	ее динамика	1	1
286	и более	2	1
287	с ними	2	1
288	была бы	1	1
289	истории и	1	1
290	и сам	2	1
291	к удовлетворению	1	1
292	всегда в	1	1
293	или лучше	1	1
294	его природы	1	1
295	может ли	1	1
296	будто бы	1	1
297	в виду	2	1
298	в силу	7	1
299	их взаимоотношения	1	1
300	дело в	1	1
301	когда дело	1	1
302	которого они	1	1
303	есть неизбежный	1	1
304	из самых	1	1
305	раз навсегда	1	1
306	и эта	1	1
307	к каким	1	1
308	отношения к	1	1
309	тем же	2	1
310	заключается в	3	1
311	начиная с	1	1
312	бы он	1	1
313	в конце	4	1
314	в процессе	2	1
315	например в	1	1
316	в жизни	3	1
317	между этими	2	1
318	из какого-то	1	1
319	находится в	1	1
320	в глазах	2	1
321	в корне	1	1
322	их было	1	1
323	и без	5	1
324	как от	1	1
325	лишь на	1	1
326	и как	1	1
327	то в	2	1
328	лишь с	1	1
329	в голову	1	1
330	всех тех	2	1
331	к его	1	1
332	есть не	1	1
333	в сознании	7	1
334	что она	2	1
335	а именно	1	1
336	чтобы все	3	1
337	жизни и	2	1
338	одна из	2	1
339	для своих	1	1
340	в мире	6	1
341	свои силы	2	1
342	в разных	3	1
343	состоит из	4	1
344	в одно	2	1
345	жизни ее	1	1
346	как в	1	1
347	него идет	1	1
348	этого слова	2	1
349	другом месте	1	1
350	как будто	5	1
351	в совершенно	3	1
352	на то	9	1
353	в уме	1	1
354	не стоит	2	1
355	от этого	1	1
356	более всех	1	1
357	и открытий	1	1
358	и я	1	1
359	отличается от	6	1
360	что во	1	1
361	да и	1	1
362	друг с	9	1
363	у одного	1	1
364	возможности для	1	1
365	сравнению с	5	1
366	кто знает	1	1
367	в эти	3	1
368	из него	2	1
369	себе и	1	1
370	с другом	9	1
371	на своем	1	1
372	пути пройденного	1	1
373	она и	1	1
374	к которой	3	1
375	из них	5	1
376	что их	3	1
377	вовсе не	2	1
378	у обоих	3	1
379	что как	4	1
380	уже не	1	1
381	это была	1	1
382	мира в	1	1
383	бы ни	1	1
384	бы в	3	1
