N	2gram	Losev_Prob	Komedia
1	и в	48	77
2	и не	29	47
3	iv в	4	45
4	в том	25	44
5	том что	29	42
6	в афинах	1	37
7	о том	17	33
8	в г	1	33
9	едва ли	13	32
10	но и	21	32
11	может быть	11	30
12	из них	4	29
13	таким образом	20	29
14	в то	6	28
15	v в	5	28
16	и его	11	28
17	в этом	31	27
18	потому что	21	27
19	что он	12	26
20	к тому	7	26
21	тому же	5	25
22	не только	28	25
23	вместе с	15	25
24	так как	10	24
25	как и	10	23
26	ни в	17	23
27	в доме	1	23
28	что в	12	23
29	в самом	7	22
30	что и	8	22
31	если бы	2	22
32	то же	6	21
33	ясно что	11	21
34	в конце	10	21
35	так и	15	21
36	а в	8	21
37	в его	19	20
38	к этому	2	19
39	со стороны	1	19
40	в этой	14	18
41	тем что	2	17
42	же время	1	17
43	в нем	8	17
44	и здесь	1	17
45	и т	2	17
46	еще не	4	17
47	при этом	6	16
48	все же	12	16
49	не менее	8	16
50	у него	13	16
51	сих пор	3	16
52	до нас	7	16
53	он не	4	16
54	и сам	5	16
55	до сих	3	16
56	тот же	6	16
57	не в	16	15
58	в своем	16	15
59	точки зрения	17	15
60	его в	9	15
61	в которой	7	15
62	на себя	2	15
63	между тем	2	15
64	один из	2	15
65	и на	9	15
66	было бы	12	15
67	прежде всего	15	15
68	и с	10	14
69	столь же	1	14
70	к нему	3	14
71	iii в	4	14
72	в свою	4	14
73	все это	8	14
74	ли не	2	14
75	об этом	11	14
76	только что	2	13
77	самом деле	3	13
78	о чем	2	13
79	в них	5	13
80	в одном	6	13
81	что она	2	13
82	того же	7	13
83	как раз	7	13
84	мы можем	5	13
85	в двух	1	13
86	так что	18	13
87	то что	26	13
88	того чтобы	3	13
89	но в	17	13
90	в котором	5	12
91	для того	4	12
92	так же	7	12
93	с другой	8	12
94	н э	18	12
95	несмотря на	7	12
96	хотя и	10	12
97	в качестве	9	12
98	как это	5	12
99	т п	1	12
100	из которых	2	12
101	как в	3	12
102	уже в	4	12
103	в истории	1	12
104	не по	1	12
105	нового времени	4	12
106	в начале	6	12
107	не может	6	12
108	но не	12	12
109	и даже	24	11
110	с тем	7	11
111	по отношению	2	11
112	наряду с	2	11
113	что его	4	11
114	по имени	1	11
115	с ним	4	11
116	то время	4	11
117	как мы	5	11
118	и для	11	11
119	в их	4	11
120	в частности	5	11
121	к ней	2	11
122	одного из	1	11
123	с этим	3	10
124	он был	5	10
125	свою очередь	2	10
126	на него	3	10
127	тут же	7	10
128	с одной	5	10
129	к себе	1	10
130	в чем	3	10
131	как бы	10	10
132	и что	9	10
133	в отношении	8	10
134	и все	12	10
135	одной из	5	10
136	в глазах	1	10
137	с его	3	10
138	ничего не	3	10
139	мы не	7	10
140	г и	1	10
141	на его	4	10
142	тем более	2	10
143	что касается	5	10
144	еще в	6	10
145	отношение к	3	10
146	же в	4	10
147	все что	2	9
148	но все	6	9
149	в своей	29	9
150	больше чем	2	9
151	одной стороны	5	9
152	тому что	2	9
153	время как	4	9
154	только в	21	9
155	друг друга	1	9
156	в тех	2	9
157	даже не	1	9
158	и по	2	9
159	из его	1	9
160	в образе	2	9
161	однако в	4	9
162	того как	5	9
163	а также	8	9
164	вовсе не	18	9
165	в ней	4	9
166	отношению к	2	9
167	с этой	4	8
168	а затем	1	8
169	другой стороны	8	8
170	что ни	1	8
171	в прологе	1	8
172	г в	1	8
173	то это	1	8
174	по поводу	2	8
175	что у	6	8
176	такого рода	4	8
177	не было	4	8
178	бы в	2	8
179	во всех	2	8
180	в облаках	1	8
181	то ни	4	8
182	можно было	4	8
183	что для	2	8
184	первую очередь	1	8
185	в iv	1	8
186	если не	6	8
187	да и	5	8
188	тех пор	1	8
189	связи с	11	8
190	по содержанию	2	8
191	меньше всего	2	8
192	по своему	3	8
193	и других	1	8
194	с самого	3	8
195	дошедших до	1	8
196	как он	2	8
197	при всем	3	8
198	и ее	2	8
199	и к	9	7
200	дело с	1	7
201	в результате	11	7
202	cgf i	1	7
203	в этих	3	7
204	равно как	2	7
205	если в	2	7
206	себе в	2	7
207	во всяком	7	7
208	в первую	1	7
209	вопрос о	2	7
210	хотя бы	11	7
211	в другом	6	7
212	ii в	2	7
213	самого начала	3	7
214	бы то	4	7
215	что они	4	7
216	в н	12	7
217	ни было	2	7
218	в связи	11	7
219	и это	3	7
220	в других	5	7
221	так или	3	7
222	и хотя	2	7
223	перед лицом	1	7
224	в себе	7	7
225	и у	8	7
226	к его	5	7
227	это время	3	7
228	не имеет	3	7
229	не является	2	7
230	из этих	2	7
231	и поэтому	2	7
232	и во	2	7
233	до конца	4	7
234	всяком случае	6	7
235	и вот	1	7
236	для нас	14	7
237	со своим	1	7
238	должен был	2	7
239	или иначе	3	7
240	само собой	3	7
241	отнюдь не	14	7
242	у того	2	7
243	тех же	1	7
244	и о	9	7
245	конце концов	7	7
246	говоря уже	2	6
247	по всему	2	6
248	еще более	4	6
249	даже в	2	6
250	в виду	3	6
251	в своих	3	6
252	там же	2	6
253	среди которых	1	6
254	в дальнейшем	7	6
255	до того	3	6
256	представляет собой	1	6
257	уже о	2	6
258	не мог	5	6
259	не зная	1	6
260	и он	5	6
261	после того	3	6
262	с точки	13	6
263	за то	4	6
264	как видно	1	6
265	что не	3	6
266	о которых	2	6
267	больше всего	1	6
268	в греции	1	6
269	на этом	1	6
270	и тем	4	6
271	могут быть	2	6
272	в силу	6	6
273	всего в	1	6
274	мы встречаем	1	6
275	в сущности	1	6
276	в другой	1	6
277	никто не	1	6
278	в древней	1	6
279	как из	1	6
280	в середине	2	6
281	а не	7	6
282	нет и	3	6
283	в и	1	6
284	главным образом	1	6
285	в области	3	6
286	тем не	8	6
287	том числе	2	6
288	и новой	1	6
289	здесь в	7	6
290	когда же	1	6
291	или в	7	6
292	что к	1	6
293	в какой	5	6
294	и как	10	6
295	на то	2	6
296	это было	2	6
297	не говоря	2	6
298	на которые	1	6
299	человека в	3	6
300	когда он	3	6
301	а по	1	6
302	на это	2	6
303	как будто	9	6
304	надо было	1	6
305	для всех	2	5
306	из всех	2	5
307	из двух	1	5
308	за ним	1	5
309	именно в	11	5
310	его на	3	5
311	что по	1	5
312	в это	3	5
313	со своей	1	5
314	в действительности	1	5
315	восходит к	1	5
316	с помощью	2	5
317	любовь к	1	5
318	любви к	2	5
319	а на	1	5
320	к ним	3	5
321	сказать что	13	5
322	vi в	1	5
323	под названием	5	5
324	все время	5	5
325	который в	10	5
326	от них	2	5
327	тем же	4	5
328	ни малейшего	1	5
329	никогда не	7	5
330	и мы	1	5
331	еще больше	2	5
332	в ее	6	5
333	после этого	1	5
334	чем в	1	5
335	но он	5	5
336	одним из	1	5
337	можно судить	1	5
338	в мире	1	5
339	одном из	1	5
340	в до	3	5
341	что их	1	5
342	в каждом	2	5
343	т д	1	5
344	действия в	1	5
345	друг другу	1	5
346	даже если	2	5
347	в первой	2	5
348	и от	7	5
349	в ответ	1	5
350	от нее	2	5
351	не так	4	5
352	представление о	2	5
353	что это	4	5
354	здесь нет	4	5
355	за пределы	1	5
356	обращается к	1	5
357	ему и	1	5
358	том как	2	5
359	конечно не	2	5
360	да еще	1	5
361	и если	2	5
362	у меня	2	5
363	только один	2	5
364	вслед за	2	5
365	в обоих	2	5
366	же самое	2	5
367	золотого века	1	5
368	что я	1	5
369	в сознании	3	5
370	этом отношении	4	5
371	и после	4	5
372	это не	8	5
373	мы имеем	3	5
374	он и	5	5
375	же не	4	5
376	по существу	2	5
377	и без	5	5
378	к своему	3	5
379	в следующем	1	5
380	и я	1	5
381	участие в	2	5
382	раз в	2	5
383	речи о	2	5
384	от того	1	5
385	что из	1	5
386	жизни и	7	5
387	в период	4	5
388	чаще всего	1	5
389	для этого	2	5
390	что на	1	5
391	мира в	3	5
392	в той	5	4
393	каждой из	1	4
394	следует что	1	4
395	тем как	2	4
396	нас в	5	4
397	требует от	1	4
398	не столько	1	4
399	собой разумеется	2	4
400	чтобы в	1	4
401	в духе	4	4
402	новое время	3	4
403	из самых	1	4
404	например в	1	4
405	видно из	1	4
406	либо в	2	4
407	правда в	3	4
408	их в	1	4
409	дома и	1	4
410	всякого рода	2	4
411	времени в	1	4
412	не всегда	5	4
413	из себя	1	4
414	в риме	1	4
415	перед ним	1	4
416	в глаза	3	4
417	с большим	1	4
418	его не	3	4
419	под именем	1	4
420	к этим	1	4
421	все его	1	4
422	том чтобы	3	4
423	это обстоятельство	1	4
424	аналогии с	1	4
425	и этим	1	4
426	одно из	2	4
427	это слово	1	4
428	не о	2	4
429	прежде чем	2	4
430	как его	1	4
431	силу этого	1	4
432	я не	3	4
433	на площади	1	4
434	для ее	1	4
435	именно потому	1	4
436	и речи	2	4
437	здесь мы	2	4
438	в городе	1	4
439	что эта	3	4
440	по своей	3	4
441	с которым	2	4
442	в ст	2	4
443	из этого	6	4
