N	3gram	Losev_Prob	Morfolog
1	и т д	1	60
2	не может быть	2	9
3	в связи с	11	9
4	таким образом мы	1	7
5	по отношению к	2	7
6	мы увидим ниже	1	6
7	с точки зрения	13	6
8	тем не менее	8	6
9	связи с этим	1	5
10	то перед нами	2	5
11	как мы увидим	1	5
12	с другой стороны	7	5
13	а также и	3	5
14	в том что	13	4
15	на самом деле	2	4
16	к тому что	1	4
17	но все же	2	4
18	на то что	2	3
19	в большинстве случаев	1	3
20	о том что	14	3
21	для того чтобы	3	3
22	не значит что	1	3
23	в настоящее время	7	3
24	в то время	4	3
25	бы то ни	4	3
26	состоит в том	1	3
27	далеко не все	1	3
28	на первый взгляд	1	3
29	то время как	4	3
30	и тем не	1	2
31	это не значит	1	2
32	о том как	1	2
33	то что в	2	2
34	потому что его	1	2
35	более или менее	1	2
36	друг на друга	1	2
37	хотя и не	3	2
38	не что иное	3	2
39	это и не	2	2
40	можно было бы	2	2
41	точно так же	4	2
42	мы уже видели	1	2
43	и таким образом	1	2
44	в данном случае	5	2
45	но так как	1	2
46	то ни было	2	2
47	не входит в	1	2
48	а вовсе не	1	2
49	во всяком случае	6	2
50	что иное как	3	2
51	с одной стороны	5	2
52	в этом отношении	4	2
53	мы не будем	3	2
54	вопрос о том	1	2
55	отсюда видно что	1	2
56	друг к другу	1	2
57	о которых говорилось	1	1
58	что это и	1	1
59	тому что в	1	1
60	имеет ничего общего	2	1
61	в свою очередь	2	1
62	а не от	1	1
63	или духа в	1	1
64	чем перейти к	1	1
65	мы прежде всего	1	1
66	построения таким образом	1	1
67	могли бы составить	1	1
68	не думает о	1	1
69	том или другом	1	1
70	они все же	1	1
71	точном смысле слова	1	1
72	здесь перед нами	6	1
73	могут рассматриваться как	1	1
74	здесь как и	1	1
75	ни в каких	3	1
76	с этой точки	2	1
77	в нее влюбляется	1	1
78	в результате победы	1	1
79	в коем случае	3	1
80	она в этих	1	1
81	что они должны	1	1
82	можно сказать что	4	1
83	в какой степени	1	1
84	только в том	2	1
85	во что бы	1	1
86	далеко не всегда	3	1
87	здесь мы имеем	1	1
88	более и более	1	1
89	в то же	2	1
90	тех или иных	2	1
91	со всеми другими	1	1
92	в этих условиях	1	1
93	и ни к	1	1
94	как мы уже	1	1
95	в таком случае	2	1
96	прежде чем перейти	1	1
97	и как будто	1	1
98	эти и подобные	1	1
99	в частности как	1	1
100	другой стороны так	1	1
101	что бы то	1	1
102	на друга что	1	1
103	до сих пор	3	1
104	совершенно ясно что	1	1
105	все же в	1	1
106	не потому что	1	1
107	все более и	1	1
108	ясно что это	1	1
109	а если мы	1	1
110	по всему миру	1	1
111	ни в коем	3	1
112	той или иной	4	1
113	и дает ему	1	1
114	бросается в глаза	2	1
115	это нисколько не	1	1
116	в этой области	1	1
117	если бы мы	1	1
118	это уже не	2	1
119	похожи друг на	1	1
120	в том или	3	1
121	нет не только	1	1
122	в который в	1	1
123	которых говорилось выше	1	1
124	с самого начала	3	1
125	превратился бы в	1	1
126	и другое что	1	1
127	том что он	3	1
128	настоящее время уже	2	1
129	не имеет ничего	2	1
130	по существу и	1	1
131	теми или другими	1	1
132	этой точки зрения	2	1
133	можно сказать о	1	1
134	с тех пор	1	1
135	и вслед за	1	1
136	это значит что	2	1
137	то же время	1	1
138	то это значит	1	1
139	является одним из	1	1
140	не то что	1	1
141	но это не	1	1
142	после того как	3	1
143	что несмотря на	1	1
144	можно установить что	1	1
145	его самого в	1	1
146	коем случае не	1	1
147	потому что они	2	1
148	то ни стало	1	1
