N	2gram	Vinokur_Vv	DiskursI
1	в качестве	8	72
2	а не	5	60
3	может быть	30	56
4	не только	26	49
5	и в	35	49
6	как и	7	47
7	тогда как	2	47
8	при этом	3	46
9	и не	13	44
10	в том	38	44
11	представляет собой	14	41
12	том что	30	40
13	в этом	35	38
14	в себе	4	37
15	состоит в	2	37
16	в частности	3	36
17	но и	7	35
18	и т.п	1	32
19	своего рода	3	32
20	но не	9	31
21	отличие от	4	28
22	со стороны	16	28
23	но в	10	28
24	так и	2	28
25	в отличие	4	27
26	не может	19	27
27	как в	3	25
28	такого рода	3	24
29	еще не	4	23
30	а также	3	20
31	в своей	4	19
32	все же	9	19
33	в нем	13	19
34	прежде всего	10	19
35	далеко не	1	18
36	то же	11	17
37	в данном	11	17
38	с другой	8	17
39	по отношению	4	17
40	отношению к	4	17
41	точки зрения	12	16
42	только в	16	16
43	о том	16	15
44	то что	19	15
45	в его	12	15
46	не менее	9	14
47	можно сказать	4	14
48	одной стороны	4	14
49	с одной	4	14
50	не в	10	14
51	ни к	2	14
52	это не	8	14
53	или иной	3	14
54	как бы	7	13
55	для него	1	13
56	в целом	5	13
57	в своих	2	12
58	при всей	2	12
59	в своем	3	12
60	того же	3	12
61	и на	3	12
62	и все	1	12
63	данном случае	5	12
64	не было	2	11
65	что в	13	11
66	и как	9	11
67	в тексте	4	11
68	не столько	2	10
69	той или	3	10
70	а с	2	10
71	для себя	1	10
72	вследствие этого	1	10
73	а в	6	10
74	же время	6	10
75	также и	20	10
76	и т.д	5	10
77	в них	5	9
78	уже не	6	9
79	себя в	2	9
80	внимание на	5	9
81	между тем	10	9
82	в силу	3	9
83	в то	6	9
84	еще в	1	9
85	в этих	3	8
86	и даже	6	8
87	в соответствии	2	8
88	к тому	4	8
89	в котором	4	8
90	в одном	4	8
91	из них	4	8
92	хотя и	5	8
93	в себя	1	8
94	не на	1	8
95	не следует	3	8
96	потому что	18	8
97	соответствии с	2	8
98	этом отношении	4	8
99	человека в	1	8
100	как уже	5	8
101	не с	3	8
102	и о	1	8
103	о чем	4	7
104	другой стороны	5	7
105	с позиций	1	7
106	таким образом	21	7
107	иначе говоря	1	7
108	одной из	4	7
109	что и	5	7
110	тому же	1	7
111	его в	6	7
112	к этому	3	7
113	в этой	3	7
114	могут быть	6	7
115	например в	2	7
116	в составе	1	7
117	той же	4	7
118	но это	2	7
119	и для	4	7
120	лишь в	1	7
121	в ходе	1	7
122	и ее	4	7
123	и его	6	7
124	мира в	1	7
125	не как	3	6
126	одно из	5	6
127	в строгом	3	6
128	именно в	8	6
129	и того	3	6
130	в противовес	1	6
131	времени в	3	6
132	одна из	3	6
133	крайней мере	4	6
134	никогда не	3	6
135	то в	1	6
136	в принципе	3	6
137	с точки	4	6
138	в ее	11	6
139	в конечном	3	6
140	во всех	2	6
141	однако в	3	6
142	в особенности	4	6
143	в сущности	3	6
144	и то	7	6
145	разумеется не	1	6
146	значении этого	2	6
147	что он	5	6
148	в которых	6	6
149	по крайней	4	6
150	в истории	9	6
151	что же	3	6
152	здесь не	3	6
153	одновременно и	3	6
154	дело в	5	6
155	в эпоху	1	6
156	времени и	4	6
157	в одной	1	6
158	тому как	2	6
159	отношение к	3	6
160	одного из	1	6
161	в той	10	5
162	можно говорить	3	5
163	зрения на	1	5
164	может служить	3	5
165	в виду	5	5
166	из двух	4	5
167	в ряду	2	5
168	своей природе	3	5
169	в другом	3	5
170	не всегда	1	5
171	говорить о	5	5
172	значительной степени	1	5
173	не вполне	4	5
174	свою очередь	2	5
175	в прошлом	2	5
176	к ним	1	5
177	сказать что	6	5
178	на протяжении	2	5
179	несмотря на	2	5
180	как раз	4	5
181	я и	1	5
182	так сказать	1	5
183	же касается	2	5
184	в сторону	1	5
185	на этом	3	5
186	подход к	1	5
187	тем что	6	5
188	одного и	2	5
189	во второй	3	5
190	во втором	2	5
191	один из	6	5
192	представляют собой	9	5
193	по слову	1	5
194	подобно тому	2	5
195	себе не	1	5
196	за пределы	1	5
197	оно не	1	5
198	в свою	2	5
199	в значительной	3	5
200	известного рода	1	5
201	ничего не	2	5
202	того что	12	5
203	в литературе	1	5
204	общения в	1	5
205	того как	3	5
206	здесь в	1	5
207	по словам	1	5
208	в ней	3	5
209	не предполагает	1	5
210	в их	12	5
211	и потому	2	5
212	из этих	9	5
213	стороны и	3	5
214	же самое	3	5
215	становления и	1	5
216	как будто	3	5
217	не к	2	5
218	в самом	13	4
219	и к	3	4
220	и составляет	1	4
221	говорит о	3	4
222	общения и	1	4
223	в результате	4	4
224	по мере	4	4
225	в первом	5	4
226	ни одна	2	4
227	и до	2	4
228	в жизни	1	4
229	отличается от	1	4
230	во всяком	5	4
231	между двумя	1	4
232	только на	3	4
233	что они	2	4
234	тем не	9	4
235	связи с	3	4
236	будто бы	2	4
237	одним из	5	4
238	что не	5	4
239	который по	2	4
240	не есть	5	4
241	по себе	11	4
242	в исторической	1	4
243	и это	6	4
244	и тем	5	4
245	как это	5	4
246	должны быть	1	4
247	хотя в	2	4
248	это в	2	4
249	и есть	3	4
250	или иного	1	4
251	в культуре	1	4
252	однако и	1	4
253	жизни а	1	4
254	с ним	1	4
255	не ограничивается	1	4
256	из того	2	4
257	не могут	6	4
258	особого рода	4	4
259	с ней	2	4
260	можно назвать	1	4
261	произведение в	1	4
262	свое время	3	4
263	претендовать на	1	4
264	до конца	3	4
265	у них	2	4
266	этом случае	6	4
267	в свое	3	4
268	зависит от	3	4
269	мы имеем	4	4
270	в основании	3	4
271	есть в	1	4
272	и др	2	4
273	слова не	1	4
274	или в	1	4
275	с той	1	4
276	в какой	6	4
277	по своему	5	4
278	но уже	2	4
279	на его	1	4
280	того или	1	4
281	а к	1	4
282	в полной	1	4
283	одну из	1	4
284	к данному	1	4
285	частности в	1	4
286	и прежде	1	4
287	может и	1	4
288	более того	1	4
289	говоря уже	2	3
290	таковы например	1	3
291	в момент	1	3
292	которая в	1	3
293	о животных	1	3
294	дело с	9	3
295	к числу	2	3
296	ее становления	1	3
297	не бывает	2	3
298	более или	1	3
299	но все	4	3
300	и сам	3	3
301	в одно	1	3
302	с этим	3	3
303	в действительности	1	3
304	вопрос о	10	3
305	входит в	3	3
306	имея в	1	3
307	различия между	1	3
308	на рубеже	2	3
309	как на	12	3
310	имеем дело	1	3
311	момент в	1	3
312	речь о	1	3
313	это прежде	1	3
314	о ней	1	3
315	ближе к	2	3
316	на почве	5	3
317	к которому	1	3
318	или не	1	3
319	в которой	1	3
320	из важнейших	1	3
321	в области	4	3
322	между собой	1	3
323	русский язык	3	3
324	здесь как	1	3
325	но как	2	3
326	своего времени	1	3
327	одно и	2	3
328	и что	6	3
329	в тех	2	3
330	в форме	2	3
331	не просто	5	3
332	то ни	1	3
333	было бы	7	3
334	и от	1	3
335	имеет дело	5	3
336	этого термина	3	3
337	из возможных	1	3
338	них в	1	3
339	в специальном	1	3
340	исторического бытия	1	3
341	должна быть	2	3
342	гораздо менее	1	3
343	но также	16	3
344	различного рода	1	3
345	истории в	2	3
346	текста и	3	3
347	заключается в	4	3
348	обоих случаях	1	3
349	отношения к	1	3
350	как не	1	3
351	вместе с	6	3
352	не имеет	4	3
353	да и	4	3
354	о котором	8	3
355	он мог	3	3
356	уже говорилось	1	3
357	это и	1	3
358	и более	1	3
359	языка и	15	3
360	это понятие	2	3
361	этой традиции	2	3
362	но здесь	1	3
363	на том	3	3
364	автора и	1	3
365	слова и	1	3
366	на основании	5	3
367	в обоих	2	3
368	заметить что	1	3
369	речи в	1	3
370	как мы	11	3
371	может оказаться	3	3
372	то она	2	3
373	всяком случае	5	3
374	воззрения на	2	3
375	на языке	2	3
376	они не	1	3
377	различие между	1	3
378	том числе	1	3
379	уже в	5	3
380	мы не	2	3
381	еще и	4	3
382	в формах	2	3
383	с их	5	3
384	место в	1	3
385	качестве примера	1	3
386	однако не	4	3
387	что ни	1	3
388	этого рода	9	3
389	и без	2	3
390	все эти	3	3
391	или даже	1	3
392	в новом	1	3
393	в каждой	2	3
394	об этом	6	3
395	или менее	1	3
396	мере в	6	3
397	не говоря	2	3
398	хотя бы	6	3
399	дело не	5	3
400	обнаруживаются в	1	3
401	в начале	3	3
402	имеет свою	2	3
403	рассказа в	1	3
404	слова в	1	3
405	жизни и	2	3
406	уже о	1	3
407	себе самому	1	3
408	для этого	3	3
409	героического эпоса	1	3
410	что на	1	3
411	котором он	2	3
412	что было	1	2
413	во всем	2	2
414	мы можем	2	2
415	в настоящем	1	2
416	из сторон	1	2
417	с этой	5	2
418	или по	1	2
419	именно о	1	2
420	еще более	1	2
421	о них	2	2
422	мысли и	2	2
423	в некоторых	1	2
424	требует от	1	2
425	следует понимать	2	2
426	и с	2	2
427	жизнь в	1	2
428	за ним	1	2
429	в построении	1	2
430	и требует	2	2
431	представление о	1	2
432	свой текст	1	2
433	в собственном	3	2
434	собой не	1	2
435	это бывает	1	2
436	большей или	3	2
437	тем или	2	2
438	речь идет	2	2
439	так например	6	2
440	до уровня	1	2
441	большей части	2	2
442	культуры не	3	2
443	в центр	1	2
444	не могли	2	2
445	этого понятия	5	2
446	же автора	1	2
447	отсюда и	2	2
448	о которых	2	2
449	для того	23	2
450	в определенной	2	2
451	и другой	1	2
452	что представляет	3	2
453	которых не	3	2
454	одной и	2	2
455	с помощью	2	2
456	в различных	5	2
457	а между	2	2
458	внимания к	2	2
459	о литературе	3	2
460	самого начала	1	2
461	в чистом	1	2
462	было сказано	3	2
463	обратим внимание	2	2
464	исторические корни	1	2
465	жизни как	2	2
466	том чтобы	6	2
467	все то	1	2
468	установка на	1	2
469	слово не	1	2
470	науке о	1	2
471	текст и	3	2
472	он сам	3	2
473	по поводу	1	2
474	у этих	1	2
475	что даже	3	2
476	общих чертах	1	2
477	к языку	2	2
478	не то	1	2
479	к нему	3	2
480	или иным	2	2
481	всего в	1	2
482	бы то	1	2
483	к общему	1	2
484	той мере	6	2
485	этих двух	2	2
486	в научной	2	2
487	из цикла	1	2
488	мышления и	1	2
489	на язык	1	2
490	должно быть	2	2
491	время в	2	2
492	обратить внимание	2	2
493	ни было	1	2
494	бытия и	1	2
495	с другими	1	2
496	не от	1	2
497	иного рода	1	2
498	у него	1	2
499	и развития	2	2
500	отношения между	1	2
501	что она	3	2
502	всем что	1	2
503	но для	1	2
504	его характер	1	2
505	очевидно что	1	2
506	человек в	1	2
507	же как	3	2
508	во главе	1	2
509	должно было	1	2
510	себе и	2	2
511	к мысли	1	2
512	а только	8	2
513	в чем	4	2
514	не нужно	2	2
515	это тоже	1	2
516	и понимание	1	2
517	кто из	1	2
518	вопроса о	1	2
519	в каждом	4	2
520	вообще в	2	2
521	не одного	1	2
522	до нас	3	2
523	и собственно	2	2
524	но зато	2	2
525	не приходится	1	2
526	также не	1	2
527	в историческом	1	2
528	не совпадает	2	2
529	или меньшей	3	2
530	только с	4	2
531	оба они	1	2
532	теоретической мысли	1	2
533	что может	3	2
534	в первой	1	2
535	теми же	1	2
536	историю не	1	2
537	его к	2	2
538	а как	5	2
539	мы видели	3	2
540	утверждать что	1	2
541	на деле	1	2
542	а потому	5	2
543	к лицу	1	2
544	во множестве	1	2
545	как с	1	2
546	его из	1	2
547	как к	1	2
548	в языке	2	2
549	и при	2	2
550	и должно	2	2
551	xix столетия	1	2
552	нашего времени	2	2
553	из которых	3	2
554	интерес к	1	2
555	разного рода	1	2
556	в отношении	3	2
557	о природе	7	2
558	т.д в	2	2
559	если бы	3	2
560	самом деле	7	2
561	как писал	1	2
562	от своего	1	2
563	в россии	1	2
564	что могло	4	2
565	от его	1	2
566	в xix	1	2
567	теории как	1	2
568	если можно	1	2
569	как произведение	1	2
570	непосредственно и	1	2
571	к устному	1	2
572	время и	1	2
573	тех же	1	2
574	в круг	1	2
575	мы его	1	2
576	стадии развития	1	2
577	не должно	1	2
578	в значении	1	2
579	народа и	1	2
580	себя не	1	2
581	со всей	3	2
582	отношении к	2	2
583	он есть	1	2
584	каждый из	2	2
585	литературы в	3	2
586	и той	3	2
587	автора в	1	2
588	из наиболее	4	2
589	целое в	1	2
590	имеет своим	1	2
591	на этот	6	2
592	этого слова	2	2
593	каждой области	1	2
594	к предмету	1	2
595	в и	4	2
596	в самой	1	2
597	только о	2	2
598	ответ на	4	2
599	но на	1	2
600	это делает	2	2
601	значение в	2	2
602	может не	1	2
603	ни с	2	2
604	все это	6	2
605	что так	1	2
606	что с	3	2
607	ее в	1	2
608	видеть в	1	2
609	что собственно	3	2
610	истории с	1	2
611	лицом к	1	2
612	в широком	7	2
613	возможно только	1	2
614	как нечто	8	2
615	в г	5	2
616	просто как	1	2
617	наших дней	2	2
618	что будет	1	2
619	это еще	2	2
620	по существу	2	2
621	понимать как	1	2
622	впрочем не	1	2
623	перед собой	1	2
624	к концу	1	2
625	к своему	2	2
626	по его	2	2
627	исторического знания	3	2
628	это было	1	2
629	путь к	1	2
630	говорит об	1	2
631	вовсе не	6	2
632	и вообще	3	2
633	тем более	2	2
634	и другого	1	2
635	быть вполне	1	2
636	ему не	1	2
637	и тех	1	2
638	с самого	1	2
639	как иногда	1	2
640	не по	1	2
641	нельзя не	6	2
642	мы должны	2	2
643	быть и	2	2
644	в науке	1	2
645	к области	1	2
646	заключает в	1	2
647	только то	1	2
648	чтобы не	1	2
649	с понятием	3	2
650	как их	1	2
651	однако для	1	2
652	служит одновременно	1	2
653	языка с	2	2
654	на то	2	2
655	включает в	1	2
656	заявляет что	2	2
657	же это	2	2
658	уже было	2	2
659	не могло	1	2
660	текста на	1	2
661	есть не	5	2
662	можно указать	1	2
663	науки о	9	1
664	с которыми	2	1
665	практически не	1	1
666	нельзя признать	2	1
667	без чего	1	1
668	новое и	1	1
669	и другие	2	1
670	данном отношении	2	1
671	с которого	1	1
672	главе с	1	1
673	котором они	1	1
674	для нее	2	1
675	что если	2	1
676	фактической истории	1	1
677	человека можно	1	1
678	и имеет	1	1
679	в применении	7	1
680	которых возникает	1	1
681	культуры это	2	1
682	рассуждения с	1	1
683	тому что	2	1
684	в разных	7	1
685	и был	2	1
686	кроме того	1	1
687	в большей	7	1
688	к помощи	1	1
689	по праву	1	1
690	язык как	5	1
691	за ее	1	1
692	иначе но	2	1
693	его от	1	1
694	что русский	1	1
695	как она	4	1
696	к тексту	2	1
697	этом качестве	1	1
698	художественной литературы	2	1
699	быть названа	1	1
700	стоит в	2	1
701	на свой	1	1
702	историческом и	1	1
703	иных отношениях	1	1
704	не выходя	1	1
705	по их	2	1
706	особое отношение	1	1
707	том или	2	1
708	литературного рассказа	1	1
709	места и	1	1
710	о теории	1	1
711	с тем	6	1
712	в наиболее	2	1
713	на определенной	1	1
714	целое и	2	1
715	этого типа	1	1
716	в цепи	1	1
717	а именно	6	1
718	речевых актов	1	1
719	народа в	1	1
720	конфликт между	4	1
721	или ином	2	1
722	в природе	1	1
723	другое дело	3	1
724	действий в	1	1
725	есть то	1	1
726	при помощи	3	1
727	xix-xx вв	1	1
728	культуры в	5	1
729	поскольку мы	1	1
730	представляла собой	1	1
731	действительности в	2	1
732	уклонением от	1	1
733	в такой	1	1
734	оно имеет	1	1
735	совпадающем с	1	1
736	которые не	2	1
737	не существует	2	1
738	осуществляется в	1	1
739	с конца	2	1
740	в исследование	1	1
741	то это	3	1
742	можно считать	2	1
743	о чем-то	1	1
744	по тем	2	1
745	были с	1	1
746	применении к	6	1
747	от целого	1	1
748	об ее	1	1
749	наука не	2	1
750	одно целое	2	1
751	он был	1	1
752	духовной жизни	3	1
753	текста это	1	1
754	даже и	4	1
