N	3gram	Tiupa_Vved	EvropaiE
1	в то же	5	15
2	то же время	4	14
3	и в то	1	8
4	с одной стороны	9	8
5	в том что	10	6
6	одной стороны и	3	6
7	так же как	1	5
8	для того чтобы	1	5
9	того или иного	1	4
10	той или иной	4	4
11	само по себе	1	4
12	не только в	3	4
13	и в этом	1	4
14	в той или	1	3
15	в последние годы	1	3
16	можно было бы	2	3
17	в этом смысле	1	3
18	же как и	1	3
19	заключает в себе	4	3
20	во всяком случае	3	3
21	можно сказать что	1	3
22	и прежде всего	1	3
23	в известном смысле	1	3
24	в этом отношении	7	3
25	но не только	1	2
26	в одном из	1	2
27	прежде всего к	1	2
28	как мы видели	3	2
29	но в то	1	2
30	не может быть	6	2
31	на то что	2	2
32	в данном случае	15	2
33	прежде всего в	1	2
34	по сравнению с	1	2
35	тем самым в	1	2
36	и со стороны	1	2
37	к тому чтобы	1	2
38	иначе обстоит дело	1	2
39	имеет место в	1	2
40	друг от друга	2	2
41	выпадает на долю	1	2
42	в свою очередь	5	2
43	с другой стороны	2	2
44	из того что	1	2
45	тому или иному	2	2
46	в частности в	2	2
47	быть сведена к	1	1
48	хотя и не	2	1
49	в европейской культуре	1	1
50	в ряде случаев	1	1
51	в противном случае	2	1
52	что для него	1	1
53	мы видели в	1	1
54	ли это что	1	1
55	можно представить себе	1	1
56	к которой принадлежит	1	1
57	другой стороны в	1	1
58	не означает что	1	1
59	качестве одной из	1	1
60	и та же	1	1
61	то есть в	1	1
62	дело в том	1	1
63	большей или меньшей	1	1
64	к тому или	1	1
65	так и по	1	1
66	речь идет о	3	1
67	не сводится к	6	1
68	то или иное	1	1
69	можно ли признать	1	1
70	мы не можем	1	1
71	может быть сведена	1	1
72	вместо того чтобы	1	1
73	а не к	1	1
74	к тому что	1	1
75	или иной степени	1	1
76	но и в	3	1
77	том смысле что	1	1
78	том числе и	1	1
79	в полной мере	1	1
80	и не сразу	1	1
81	отнюдь не означает	1	1
82	можно развернуть в	1	1
83	в качестве одной	1	1
84	значение только в	1	1
85	в этом мире	1	1
86	и тем более	1	1
87	и тем самым	2	1
88	в соответствии с	8	1
89	в том смысле	1	1
90	в отличие от	11	1
91	в себе не	1	1
92	но не в	1	1
93	и того же	1	1
94	прошлом и настоящем	1	1
95	один и тот	1	1
96	по большей части	4	1
97	оставляя открытым вопрос	1	1
98	что же касается	2	1
99	на то чтобы	1	1
100	в связи с	1	1
101	в том же	1	1
102	и тот же	1	1
103	в пределах одного	1	1
104	с другой в	2	1
105	а также в	1	1
106	в том числе	1	1
107	он мог бы	1	1
108	несмотря на его	1	1
109	существенное значение в	1	1
110	что в области	1	1
111	более или менее	2	1
112	принадлежат к числу	1	1
113	в значительной степени	2	1
114	на этот раз	2	1
115	к тому же	6	1
116	находятся в отношении	1	1
117	не исключает возможности	1	1
118	одна и та	1	1
119	одного и того	1	1
120	а также и	2	1
