N	3gram	Potebnia_M	PoTuStor
1	с точки зрения	2	6
2	на самом деле	4	4
3	до сих пор	4	3
4	не может быть	7	3
5	в большинстве случаев	2	3
6	в чем не	1	3
7	по крайней мере	8	3
8	в этом смысле	2	3
9	во всяком случае	3	3
10	можно сказать что	3	3
11	все то что	2	2
12	а потому и	1	2
13	и может быть	2	2
14	о том что	5	2
15	не могут быть	3	2
16	в сознание и	3	2
17	в переводе на	1	2
18	в самом деле	1	2
19	и в этом	1	2
20	нам кажется что	3	2
21	со всех сторон	3	1
22	он может быть	1	1
23	каждое из этих	1	1
24	быть не может	2	1
25	другими словами мы	1	1
26	а потом и	1	1
27	так и в	2	1
28	те же что	1	1
29	в сознание или	1	1
30	в том что	22	1
31	представлений и слов	1	1
32	друг с другом	1	1
33	довести до сознания	1	1
34	даже тогда когда	2	1
35	на чем держится	1	1
36	не имеет места	1	1
37	увидим что оно	1	1
38	а может быть	2	1
39	мы не можем	5	1
40	и столь же	1	1
41	не что иное	1	1
42	рано или поздно	2	1
43	и быть не	1	1
44	и та же	2	1
45	что иное как	1	1
46	частей тела и	1	1
47	дело в том	1	1
48	вместе с тем	5	1
49	вместе с ним	1	1
50	и говорить о	1	1
51	но вместе с	2	1
52	подобно тому как	3	1
53	самом деле есть	1	1
54	во многих случаях	1	1
55	можем сказать что	1	1
56	прежде всего на	1	1
57	каждого из этих	1	1
58	а вместе с	1	1
59	и таким образом	1	1
60	в данном случае	3	1
61	в этой работе	1	1
62	в том смысле	6	1
63	могут быть объяснены	1	1
64	если б не	1	1
65	же что и	1	1
66	есть прежде всего	2	1
67	самом деле в	1	1
68	человека и все	2	1
69	то ни было	1	1
70	которое достаточно для	1	1
71	и того же	2	1
72	нам в голову	1	1
73	один из моментов	1	1
74	в свое время	1	1
75	одна и та	2	1
76	на первый взгляд	1	1
77	есть в сознании	2	1
78	его отношение к	1	1
79	то же самое	3	1
80	форма и содержание	1	1
81	как один из	1	1
82	для того чтобы	5	1
83	и потому мы	1	1
84	с одной стороны	4	1
85	то что я	2	1
86	еще не имеет	1	1
87	именно то что	2	1
88	следует заметить что	1	1
89	ребенок еще не	1	1
90	в этом отношении	2	1
91	еще не знает	1	1
92	тому как мы	1	1
93	от того насколько	2	1
94	бы оно ни	1	1
95	таким образом и	1	1
96	со стороны формы	2	1
97	на наших глазах	1	1
98	сих пор еще	1	1
99	бы то ни	1	1
100	в следующем в	1	1
101	не существует для	2	1
102	зависит от того	2	1
103	к тому с	1	1
104	одного и того	2	1
105	годятся только для	1	1
106	между собою в	1	1
107	может быть только	4	1
