N	4gram	Trubetskoy	Komedia
1	в то же время	10	16
2	бы то ни было	1	7
3	как бы то ни	1	3
4	в том числе и	1	3
5	само собой разумеется что	1	3
6	только для того чтобы	1	2
7	друг с другом и	2	1
8	и в этом случае	1	1
9	и во всяком случае	1	1
10	только в том случае	2	1
11	в основе его лежит	1	1
12	состоит в том чтобы	1	1
13	они принадлежат к одному	1	1
14	несмотря на то что	1	1
15	одного и того же	1	1
16	сводится к тому что	1	1
17	в том случае если	3	1
18	о которых идет речь	1	1
19	в том виде как	1	1
