N	2gram	Medvedev_V	Analitik
1	и в	2	66
2	в том	2	52
3	в этом	1	51
4	в частности	1	51
5	и не	1	48
6	том что	2	40
7	и его	1	27
8	в самом	1	19
9	то же	1	19
10	только в	1	17
11	в их	1	15
12	столь же	1	14
13	далеко не	1	14
14	сводится к	1	12
15	именно в	1	10
16	в конце	2	10
17	по поводу	1	9
18	крайней мере	1	9
19	по крайней	1	9
20	в другом	1	7
21	все это	1	7
22	и т.д	1	7
23	хотя бы	1	6
24	более чем	1	6
25	и то	1	6
26	тем более	1	6
27	к этому	1	5
28	я не	1	5
29	самом деле	1	5
30	да и	1	5
31	так в	1	4
32	значительной степени	1	4
33	в устах	1	4
34	потому что	1	4
35	но это	1	4
36	в значительной	1	4
37	и составляет	1	3
38	гораздо более	1	3
39	речи и	1	3
40	ни к	1	3
41	и заключается	1	3
42	так как	1	3
43	дело в	1	3
44	ведь это	1	3
45	говоря о	1	3
46	без учета	1	2
47	другое дело	1	2
48	том же	1	2
49	к чему	1	2
50	а только	1	2
51	одно и	1	2
52	даже не	1	2
53	время в	1	2
54	от других	1	2
55	не будем	1	2
56	по существу	1	2
57	и только	1	2
58	это далеко	1	1
59	книге в	2	1
60	здесь достаточно	1	1
61	заключается что	1	1
62	ново в	1	1
63	хотел сказать	1	1
64	прозы в	1	1
65	деле как	1	1
66	сколь и	1	1
67	все время	1	1
68	и мало	1	1
69	предлагает нам	1	1
70	существенной роли	1	1
71	бы уже	1	1
72	собственно и	1	1
73	поэтического творчества	1	1
74	говоря иначе	1	1
75	их как	1	1
76	для них	1	1
77	в которых	1	1
78	то я	1	1
79	теории литературы	1	1
80	уже известно	1	1
81	за свою	1	1
82	и способами	1	1
83	имеется в	1	1
84	году о	1	1
85	жизнь их	1	1
86	в книге	3	1
87	этом и	1	1
88	юноши в	1	1
89	конце концов	2	1
