N	4gram	Bakhtin_Pr	EvropaiE
1	в то же время	10	14
2	и в то же	3	8
3	с этой точки зрения	1	5
4	бы то ни было	2	4
5	так же как и	3	3
6	в той или иной	2	3
7	можно сказать что в	1	2
8	само по себе не	1	2
9	заключается в том что	1	2
10	но в то же	5	2
11	и в этом смысле	2	2
12	то же время не	3	1
13	дело в том что	1	1
14	в том числе и	1	1
15	той или иной степени	2	1
16	не кто иной как	1	1
17	котором мы говорили в	1	1
18	но не только в	1	1
19	в то время как	2	1
20	так и со стороны	1	1
21	мы можем сказать что	2	1
22	одного и того же	1	1
23	о котором мы говорили	1	1
