N	4gram	Voloshinov	Stilisti
1	в то же время	1	7
2	одно и то же	2	5
3	не что иное как	2	2
4	в каждом слове в	1	2
5	и то же слово	2	2
6	в тех случаях когда	1	2
7	но в то же	1	2
8	есть не что иное	2	2
9	и не мог протекать	1	1
10	и является нашей задачей	1	1
11	представим себе что мы	1	1
12	и к тому что	1	1
13	иметь в виду что	1	1
14	мог протекать ни один	1	1
15	никакого отношения не имеют	1	1
16	распадаются на две группы	1	1
17	и т.д и т.д	1	1
18	не мог протекать ни	1	1
19	и есть не что	1	1
20	то же слово в	2	1
21	подойти и к тому	1	1
22	и не может быть	1	1
23	должны перейти теперь к	1	1
24	не протекал и не	1	1
25	ведь в самом деле	1	1
26	в том что язык	1	1
27	вне материального выражения нет	1	1
28	нет и не может	1	1
29	протекал и не мог	1	1
30	живых организующих сил которые	1	1
31	мы должны перейти теперь	1	1
32	в собственном смысле слова	1	1
33	каждом слове в каждом	1	1
