N	2gram	Propp_Isto	Problemy
1	и в	40	106
2	и не	19	90
3	как бы	6	70
4	может быть	37	66
5	т е	30	59
6	в его	10	56
7	в этом	13	52
8	в нем	8	51
9	не может	19	49
10	как и	5	44
11	что он	32	44
12	но и	21	40
13	для него	2	39
14	и его	5	39
15	а не	18	38
16	то же	21	36
17	не только	28	36
18	в пределах	4	35
19	то что	17	33
20	но в	13	33
21	прежде всего	15	32
22	он не	10	29
23	в то	4	29
24	все это	6	29
25	и все	1	28
26	в одном	8	27
27	не в	11	27
28	к себе	2	26
29	и с	5	25
30	к нему	3	25
31	в сущности	2	25
32	и т	39	25
33	не как	3	24
34	вовсе не	3	24
35	самом деле	2	24
36	и на	6	23
37	по себе	4	22
38	таким образом	13	22
39	там где	5	21
40	как мы	3	21
41	все же	17	20
42	никогда не	25	20
43	только в	16	20
44	потому что	12	20
45	что же	4	19
46	что в	19	19
47	отношению к	6	19
48	слова в	2	19
49	уже не	3	18
50	по отношению	6	18
51	т п	1	18
52	в себе	6	18
53	еще не	14	18
54	о нем	5	18
55	на самом	3	18
56	но не	7	18
57	все эти	6	18
58	и к	1	17
59	с ним	3	17
60	а в	15	17
61	в том	12	17
62	это не	8	17
63	так и	13	17
64	так же	18	16
65	если бы	8	16
66	в своей	2	16
67	этом смысле	1	16
68	в другом	6	16
69	у него	5	15
70	до конца	1	15
71	и для	5	15
72	и наконец	5	15
73	в своем	5	14
74	как раз	2	14
75	в конце	1	14
76	а как	2	14
77	другого человека	1	14
78	в отношении	1	14
79	так как	20	14
80	я не	5	14
81	он и	3	14
82	но все	9	13
83	на него	7	13
84	точка зрения	2	13
85	с другими	2	13
86	его в	15	13
87	большинстве случаев	4	13
88	и это	2	13
89	героя в	6	13
90	себя и	2	13
91	перед нами	5	13
92	в большинстве	4	13
93	в целом	3	13
94	при этом	6	12
95	даже в	5	12
96	и как	3	12
97	и даже	4	12
98	к тому	6	12
99	во всяком	1	12
100	в котором	5	12
101	что и	9	12
102	не знает	7	12
103	так сказать	3	12
104	так что	9	12
105	и что	14	12
106	было бы	11	12
107	между тем	2	12
108	как в	7	12
109	том что	11	12
110	у меня	4	12
111	но это	8	12
112	ничего не	6	12
113	в одной	3	12
114	тем что	7	11
115	их в	7	11
116	входит в	1	11
117	с другой	8	11
118	он сам	1	11
119	должно быть	2	11
120	слово и	1	11
121	бы в	2	11
122	мы уже	7	11
123	в форме	3	11
124	не могут	3	11
125	дело идет	1	11
126	так чтобы	3	11
127	этого слова	1	11
128	она не	6	11
129	как будто	7	11
130	самого начала	4	10
131	говорит он	1	10
132	что не	2	10
133	сих пор	12	10
134	в него	2	10
135	до сих	11	10
136	приводит к	3	10
137	той же	1	10
138	в самой	1	10
139	далеко не	1	10
140	ведь и	1	10
141	в той	1	9
142	другой стороны	7	9
143	в них	2	9
144	хотя бы	5	9
145	друг с	4	9
146	что у	3	9
147	хотя и	1	9
148	но он	5	9
149	с самого	4	9
150	могут быть	5	9
151	ни в	2	9
152	да и	3	9
153	или в	6	9
154	раз и	3	9
155	и потому	3	9
156	человека в	1	9
157	же и	3	8
158	в результате	2	8
159	о том	12	8
160	а что	1	8
161	мы увидим	17	8
162	из них	5	8
163	и он	4	8
164	несмотря на	1	8
165	ни было	2	8
166	но как	2	8
167	одним из	2	8
168	здесь не	5	8
169	и у	1	8
170	и от	2	8
171	мы должны	17	8
172	должна быть	5	8
173	был бы	4	8
174	что это	12	8
175	вот как	2	8
176	никак не	1	8
177	не на	2	8
178	с ними	2	8
179	и так	3	8
180	из его	1	8
181	уже в	2	8
182	того что	6	8
183	это и	1	8
184	же не	3	8
185	с другом	3	8
186	и о	1	8
187	бы он	1	8
188	от него	1	7
189	тем как	1	7
190	в виду	2	7
191	на мир	1	7
192	в жизни	2	7
193	и со	2	7
194	вопрос о	8	7
195	в себя	2	7
196	из своего	2	7
197	только на	2	7
198	сказать что	7	7
199	ее как	1	7
200	что она	10	7
201	от себя	1	7
202	что они	13	7
203	не было	3	7
204	как его	1	7
205	между ними	2	7
206	себя как	1	7
207	в этих	17	7
208	и следовательно	1	7
209	во всех	3	7
210	то ни	2	7
211	кажется что	1	7
212	друг другу	1	7
213	и др	11	7
214	и ее	3	7
215	были бы	2	7
216	бы то	2	7
217	его с	1	7
218	например в	7	7
219	в процессе	1	7
220	его и	6	7
221	он в	5	7
222	на этот	2	7
223	т д	35	7
224	точку зрения	3	7
225	тот же	3	7
226	но на	1	7
227	в их	6	7
228	в виде	2	7
229	но эта	1	7
230	мира и	1	7
231	к своему	3	7
232	и их	4	7
233	он с	1	7
234	такой же	2	7
235	во всем	3	6
236	кроме того	3	6
237	не менее	7	6
238	с этим	5	6
239	должна была	1	6
240	превращается в	4	6
241	конечно не	2	6
242	среди них	1	6
243	одна из	4	6
244	не мог	4	6
245	здесь с	1	6
246	и этим	3	6
247	но ведь	1	6
248	на этом	3	6
249	а с	4	6
250	можно было	8	6
251	этот вопрос	7	6
252	в этой	9	6
253	себя в	2	6
254	герой из	1	6
255	во время	5	6
256	и здесь	15	6
257	за ним	1	6
258	в другой	4	6
259	отношения к	2	6
260	в которых	2	6
261	зависимости от	3	6
262	знает что	1	6
263	в основе	4	6
264	и вот	2	6
265	героя а	1	6
266	в отличие	3	6
267	и во	1	6
268	он может	2	6
269	друг друга	2	6
270	я вас	1	6
271	которым он	1	6
