N	3gram	Propp_Isto	TeoriaLi
1	в том что	8	10
2	по отношению к	2	10
3	с другой стороны	10	6
4	состоит в том	2	6
5	не может быть	4	5
6	так или иначе	1	5
7	в данном случае	6	5
8	в свою очередь	1	3
9	с точки зрения	1	3
10	в виду не	1	3
11	в том числе	1	3
12	тем не менее	6	3
13	можно сказать что	2	3
14	подобно тому как	3	3
15	мы имеем в	4	3
16	в связи с	5	3
17	с одной стороны	2	3
18	но он не	1	2
19	этой точки зрения	1	2
20	с этой точки	1	2
21	как и в	2	2
22	в таком случае	1	2
23	и в форме	1	2
24	в соответствии с	1	2
25	не только не	2	2
26	что они хотят	1	2
27	мы имеем дело	1	2
28	к тому что	1	2
29	тогда как в	1	2
30	то что они	1	2
31	может быть и	1	2
32	что он не	1	1
33	в этих случаях	13	1
34	не что иное	6	1
35	при этом они	1	1
36	между ним и	1	1
37	и др в	1	1
38	но прежде всего	1	1
39	в последней главе	1	1
40	иметь в виду	1	1
41	значении в каком	1	1
42	и прежде всего	1	1
43	а не с	1	1
44	на задний план	1	1
45	в большинстве случаев	2	1
46	мы видим в	3	1
47	заключается в том	1	1
48	в себя и	1	1
49	не в состоянии	1	1
50	о том что	3	1
51	случае мы имеем	1	1
52	его с собой	1	1
53	дело не в	1	1
54	он не будет	1	1
55	а в другом	2	1
56	это и есть	2	1
57	имеются и в	1	1
58	перед тем как	1	1
59	из этих двух	1	1
60	но в таком	1	1
61	таким же образом	1	1
62	не говорит что	1	1
63	связи с этим	1	1
64	друг от друга	1	1
65	здесь мы имеем	3	1
66	друг другу и	1	1
67	это происходит в	1	1
68	к своему собственному	1	1
69	как это происходит	1	1
70	в чем состоит	2	1
71	а после того	1	1
72	об этом так	1	1
73	существенно отличается от	1	1
74	так что она	2	1
75	указывает на его	1	1
76	и здесь мы	2	1
77	в то время	2	1
78	между собой и	1	1
79	содержит в себе	2	1
80	в зависимости от	1	1
81	из того что	1	1
82	точно так же	8	1
83	так же как	7	1
84	это особого рода	1	1
85	в этом случае	8	1
86	к тому же	4	1
87	не только на	1	1
88	есть не что	2	1
89	том что в	2	1
90	случаи когда герой	4	1
91	в своей жизни	1	1
92	и вот он	1	1
93	языка не может	1	1
94	то же самое	1	1
95	при всей своей	1	1
96	что иное как	6	1
97	именно эта сторона	1	1
98	только то что	1	1
99	в таких случаях	2	1
100	а в его	1	1
101	в одном случае	5	1
102	в следующей главе	1	1
103	таким образом и	2	1
104	мы имеем не	2	1
105	имеем дело с	1	1
