N	2gram	Voloshinov	Problemy
1	и в	42	106
2	и не	14	90
3	как бы	30	70
4	может быть	13	66
5	в его	6	56
6	в этом	10	52
7	в нем	6	51
8	чужое слово	1	49
9	не может	13	49
10	как и	12	44
11	что он	2	44
12	у достоевского	1	43
13	точки зрения	11	40
14	но и	16	40
15	для него	3	39
16	и его	7	39
17	а не	7	38
18	то же	16	36
19	не только	28	36
20	в пределах	2	35
21	то что	9	33
22	но в	5	33
23	прежде всего	22	32
24	он не	2	29
25	в то	9	29
26	все это	4	29
27	и все	4	28
28	в одном	4	27
29	не в	6	27
30	же время	7	26
31	в самом	5	25
32	и с	5	25
33	к нему	2	25
34	с точки	5	25
35	в сущности	1	25
36	с самим	2	24
37	не как	1	24
38	вовсе не	2	24
39	самом деле	5	24
40	и на	7	23
41	слова и	5	23
42	по себе	1	22
43	в каждом	4	22
44	что я	1	22
45	таким образом	8	22
46	там где	1	21
47	как мы	10	21
48	все же	9	20
49	никогда не	7	20
50	только в	7	20
51	потому что	7	20
52	что же	8	19
53	что в	1	19
54	с его	8	19
55	отношению к	2	19
56	слова в	6	19
57	уже не	4	18
58	по отношению	2	18
59	в себе	10	18
60	еще не	3	18
61	о нем	1	18
62	на самом	3	18
63	но не	2	18
64	все эти	3	18
65	и к	4	17
66	второй голос	1	17
67	с ним	2	17
68	а в	5	17
69	в том	3	17
70	это не	3	17
71	так и	7	17
72	так же	4	16
73	если бы	4	16
74	в своей	2	16
75	в другом	1	16
76	у него	1	15
77	до конца	2	15
78	и для	3	15
79	и наконец	5	15
80	и сам	2	14
81	в своем	1	14
82	как раз	1	14
83	в конце	6	14
84	другого человека	2	14
85	в отношении	2	14
86	так как	8	14
87	я не	1	14
88	лишь в	4	14
89	но все	5	13
90	на него	4	13
91	точка зрения	4	13
92	с другими	2	13
93	его в	4	13
94	большинстве случаев	1	13
95	в мире	2	13
96	и это	8	13
97	в романе	1	13
98	перед нами	3	13
99	в большинстве	1	13
100	в целом	4	13
101	при этом	9	12
102	даже в	1	12
103	и как	10	12
104	и даже	3	12
105	и слово	3	12
106	к тому	4	12
107	в котором	3	12
108	что и	3	12
109	не знает	3	12
110	так сказать	4	12
111	себе и	2	12
112	так что	1	12
113	и что	1	12
114	за пределы	1	12
115	было бы	7	12
116	между тем	3	12
117	как в	3	12
118	том что	3	12
119	но это	2	12
120	ничего не	8	12
121	слово в	2	12
122	в одной	1	12
123	пределах одного	1	11
124	тем что	2	11
125	их в	3	11
126	с другой	1	11
127	должно быть	2	11
128	это слово	2	11
129	слово и	3	11
130	бы в	6	11
131	мы уже	11	11
132	в форме	6	11
133	не могут	1	11
134	бы и	2	11
135	сливается с	1	11
136	так чтобы	1	11
137	слово с	1	11
138	этого слова	3	11
139	сознания и	1	11
140	она не	1	11
141	или как	6	11
142	как будто	1	11
143	конце концов	3	11
144	самого начала	4	10
145	слово не	4	10
146	в произведении	1	10
147	говорит он	1	10
148	сих пор	2	10
149	в него	2	10
150	до сих	1	10
151	в слове	4	10
152	той же	7	10
153	в самой	1	10
154	к одному	1	10
155	как не	2	10
156	отношение к	2	10
157	ведь и	2	10
158	в той	5	9
159	зрения на	3	9
160	другой стороны	1	9
161	хотя бы	18	9
162	что у	3	9
163	хотя и	3	9
164	с самого	4	9
165	точек зрения	5	9
166	из одного	1	9
167	ни в	1	9
168	да и	4	9
169	героев достоевского	1	9
170	или в	2	9
171	раз и	1	9
172	и потому	2	9
173	человека в	2	9
174	же и	1	8
175	в результате	1	8
176	и до	1	8
177	о том	4	8
178	мы увидим	5	8
