N	3gram	Savitsky_P	NovoeSre
1	не может быть	1	4
2	вместе с тем	1	2
3	так же как	1	2
4	в этом смысле	1	2
5	с одной стороны	3	2
6	с другой стороны	1	2
7	сами по себе	3	1
8	в том что	4	1
9	не в том	1	1
10	философской мысли но	1	1
11	в извращенной форме	1	1
12	в эту эпоху	1	1
13	в последние годы	1	1
14	в жизни народа	1	1
15	том числе и	1	1
16	и в формах	1	1
17	в россии и	1	1
18	и не менее	1	1
19	не только в	4	1
20	но и в	2	1
21	в большинстве случаев	1	1
22	в отличие от	1	1
23	есть прежде всего	1	1
24	коммунистической партии в	1	1
25	что в этом	1	1
26	и пр в	1	1
27	заключает в себе	2	1
28	нужно помнить что	2	1
29	во всяком случае	1	1
30	та или иная	1	1
31	в том числе	2	1
32	или иная форма	1	1
33	россию от европы	1	1
34	в известном смысле	1	1
35	и не может	1	1
