N	2gram	Tiupa_Vved	Marksizm
1	прямой речи	1	77
2	точки зрения	1	69
3	может быть	25	64
4	и в	23	63
5	и не	24	55
6	как бы	8	53
7	косвенной речи	1	51
8	прямая речь	1	49
9	не может	14	47
10	и его	9	41
11	в этом	27	39
12	таким образом	6	38
13	в процессе	1	33
14	как мы	5	32
15	в пределах	3	31
16	лишь в	4	30
17	не только	32	29
18	то же	8	28
19	в нем	9	28
20	языка как	1	27
21	но и	31	27
22	связи с	2	25
23	речи и	1	25
24	самом деле	6	25
25	в самом	6	24
26	как и	21	24
27	прежде всего	11	24
28	только в	9	23
29	так и	14	23
30	и т.п	14	23
31	в том	21	22
32	то что	9	22
33	а не	31	22
34	при этом	43	20
35	так сказать	2	20
36	для него	5	20
37	если мы	1	20
38	на почве	1	19
39	не в	12	19
40	если бы	10	19
41	том что	16	19
42	в его	9	19
43	в ее	1	18
44	внутренней речи	1	18
45	в слове	4	18
46	чужого слова	3	18
47	и для	8	18
48	но в	14	18
49	вовсе не	1	18
50	все же	10	17
51	в сущности	3	17
52	по отношению	11	16
53	слова и	3	16
54	и как	2	16
55	в то	5	16
56	с помощью	1	15
57	во всех	2	15
58	в связи	1	15
59	отнюдь не	14	15
60	что он	2	15
61	же время	4	15
62	отношению к	11	15
63	язык как	2	14
64	в данном	22	14
65	хотя бы	2	14
66	в контексте	4	14
67	в своей	10	13
68	так же	2	13
69	в направлении	2	13
70	что в	6	13
71	и здесь	2	13
72	не является	7	13
73	того чтобы	2	13
74	было бы	4	13
75	ничего не	3	13
76	мы не	6	13
77	слова в	3	13
78	для того	1	12
79	того же	1	12
80	в результате	5	12
81	между тем	3	12
82	он не	6	12
83	в основе	6	12
84	высшей степени	2	12
85	а в	15	12
86	в высшей	2	12
87	не столько	5	11
88	речевого взаимодействия	1	11
89	на материале	1	11
90	и того	3	11
91	чужое слово	1	11
92	к нему	2	11
93	и что	2	11
94	и от	3	11
95	и на	5	11
96	и все	8	11
97	как в	8	11
98	еще не	8	11
99	друг друга	1	11
100	на самом	5	11
101	все эти	1	11
102	в ней	5	11
103	высказывания в	1	11
104	без исключения	2	10
105	именно в	1	10
106	во всяком	3	10
107	самого начала	1	10
108	с другой	10	10
109	сказать что	1	10
110	к этому	3	10
111	никогда не	6	10
112	в своем	9	10
113	его в	1	10
114	высказывания как	3	10
115	в таком	2	10
116	одна из	5	10
117	здесь мы	2	10
118	совершенно не	2	10
119	в отличие	11	10
120	с его	1	10
121	и потому	2	10
122	с самого	1	10
123	отличие от	11	10
124	бытия в	3	10
125	более того	1	10
126	быть и	2	9
127	к тому	9	9
128	одного и	1	9
129	только на	2	9
130	общения и	1	9
131	в нашем	9	9
132	точка зрения	3	9
133	в себе	15	9
134	и это	2	9
135	а как	1	9
136	мы видели	3	9
137	что это	2	9
138	не имеет	3	9
139	и более	5	9
140	отношении к	1	9
141	это не	7	9
142	как если	1	9
143	в истории	1	9
144	одной из	1	9
145	же самое	2	9
146	не как	2	8
147	другой стороны	3	8
148	и даже	3	8
149	и с	2	8
150	настоящее время	1	8
151	в данной	2	8
152	система языка	1	8
153	что и	6	8
154	у него	8	8
155	не было	5	8
156	что не	2	8
157	тому что	2	8
158	ясно что	2	8
159	мы можем	2	8
160	в форме	1	8
161	столь же	3	8
162	в отношении	1	8
163	сводится к	6	8
164	перед нами	13	8
165	в свою	5	8
166	в настоящее	1	8
167	у нас	4	8
168	в их	2	8
169	и их	1	8
170	в науке	1	8
171	и т.д	6	8
172	и ее	2	8
173	или иной	5	8
174	на то	3	8
175	в этих	5	7
176	не существует	3	7
177	в котором	11	7
178	свою очередь	5	7
179	он сам	1	7
180	те же	2	7
181	как раз	5	7
182	в качестве	18	7
183	бы в	4	7
184	как системы	1	7
185	в этой	2	7
186	могут быть	5	7
187	оно может	1	7
188	там где	1	7
189	с ними	2	7
190	на основе	2	7
191	по себе	2	7
192	той же	3	7
193	до конца	5	7
194	о том	7	7
195	того что	7	7
196	общения в	1	7
197	в формах	1	7
198	в начале	3	7
199	далеко не	5	7
200	бы он	1	7
201	место в	2	7
202	в той	5	6
203	по мере	2	6
204	в корне	1	6
205	уже не	7	6
206	входит в	2	6
207	одной стороны	9	6
208	в другом	2	6
209	в различных	1	6
210	как оно	2	6
211	она может	2	6
212	с одной	9	6
213	с другими	1	6
214	между ними	1	6
215	не есть	2	6
216	из одного	1	6
