N	3gram	Berdyaev_N	Literetu
1	в том что	1	21
2	с одной стороны	2	12
3	не может быть	4	11
4	в отличие от	1	11
5	о том что	1	10
6	с другой стороны	2	7
7	в том числе	1	6
8	подобно тому как	3	6
9	не только в	1	6
10	в том чтобы	1	5
11	быть не может	1	3
12	в зависимость от	1	3
13	во всяком случае	1	3
14	том числе и	1	3
15	в этой системе	1	2
16	в то что	1	2
17	и вместе с	1	2
18	потому что не	1	2
19	в значительной степени	1	2
20	культуры нового времени	2	2
21	вместе с тем	2	2
22	но и в	1	2
23	я не могу	1	2
24	можно было бы	1	2
25	как будто бы	1	1
26	в большинстве случаев	1	1
27	не менее чем	1	1
28	общественной жизни не	1	1
29	то что в	1	1
30	я условно называю	1	1
31	не в том	1	1
32	не знает что	1	1
33	до сих пор	1	1
34	в такой же	1	1
35	в зависимости от	1	1
36	в одну из	1	1
37	во внешнюю жизнь	1	1
38	и того же	1	1
39	в высшей степени	6	1
40	в наше время	3	1
41	а не с	1	1
42	не в силах	1	1
43	одного и того	1	1
44	xix и xx	4	1
45	имея в виду	1	1
46	а не в	1	1
47	такой же мере	1	1
48	может быть только	1	1
49	во имя свободы	3	1
50	по существу своему	1	1
51	в мире а	1	1
52	как это было	1	1
53	последних вопросов бытия	1	1
54	он не может	2	1
55	тому как в	1	1
56	и не менее	1	1
57	есть бог и	1	1
58	только потому что	1	1
59	не могут быть	1	1
60	он нуждается в	1	1
61	и не может	1	1
62	вопрос о том	2	1
63	это и есть	1	1
