N	2gram	Propp_Russ	Sovremen
1	не может	6	17
2	может быть	14	12
3	точки зрения	3	12
4	таким образом	10	11
5	мы не	11	9
6	в каждом	2	8
7	в этом	18	7
8	и в	59	7
9	не можем	5	7
10	мы можем	2	6
11	только одна	1	6
12	как и	19	6
13	ничего не	4	6
14	и не	6	6
15	с точки	3	5
16	прежде всего	2	5
17	все эти	5	5
18	и наконец	2	5
19	в дальнейшем	2	4
20	а в	16	4
21	так как	25	4
22	вопрос о	4	4
23	это не	14	4
24	не только	28	4
25	мы должны	3	4
26	в развитии	1	4
27	как бы	18	4
28	нет и	1	4
29	их в	7	4
30	жизни и	1	4
31	вместе с	16	4
32	в целом	2	4
33	в том	33	4
34	зависимости от	1	4
35	из них	12	4
36	точку зрения	1	4
37	мы видели	3	4
38	и к	3	3
39	и потому	3	3
40	видели что	1	3
41	на этой	3	3
42	и мы	1	3
43	когда мы	2	3
44	уже в	2	3
45	то же	6	3
46	при этом	11	3
47	поэтому мы	1	3
48	не в	2	3
49	а не	3	3
50	для нас	12	3
51	все это	12	3
52	как он	2	3
53	в одном	4	3
54	у нас	11	3
55	в конце	1	3
56	так называемых	1	3
57	было бы	3	3
58	в первом	1	3
59	ли мы	1	3
60	в этой	4	3
61	он в	1	3
62	и все	4	3
63	на две	3	3
64	в себе	1	3
65	следующим образом	9	3
66	что она	4	3
67	одна из	12	3
68	все же	7	3
69	при таком	1	3
70	в области	3	3
71	может не	1	3
72	между собой	4	3
73	отнюдь не	3	3
74	в нем	3	3
75	но мы	1	3
76	но в	5	3
77	еще не	7	3
78	с этим	4	2
79	что в	35	2
80	тем не	3	2
81	пойти в	1	2
82	мы видим	2	2
83	значение в	2	2
84	и что	8	2
85	отличие от	4	2
86	такие же	4	2
87	друг с	1	2
88	которой он	1	2
89	наблюдения и	1	2
90	ее на	3	2
91	и пр	4	2
92	то и	4	2
93	с одной	1	2
94	в отличие	4	2
95	в свою	3	2
96	из этих	6	2
97	в его	3	2
98	во всяком	1	2
99	не будем	5	2
100	мы знаем	1	2
101	не дает	1	2
102	можно назвать	1	2
103	только так	1	2
104	таком методе	1	2
105	с совершенно	1	2
106	что это	4	2
107	или же	2	2
108	что при	2	2
109	быть и	3	2
110	в некоторых	11	2
111	только одну	2	2
112	из которых	2	2
113	если же	1	2
114	говорить о	2	2
115	представлять себе	1	2
116	в третьем	1	2
117	у него	2	2
118	не могут	1	2
119	в виде	10	2
120	а на	8	2
121	свою очередь	2	2
122	первые два	1	2
123	и даже	1	2
124	как известно	2	2
125	самом деле	1	2
126	в которой	3	2
127	но все	3	2
128	некоторое время	2	2
129	ни одна	2	2
130	который как	1	2
131	как мы	11	2
132	настоящее время	3	2
133	она может	1	2
134	тем же	1	2
135	научное объяснение	1	2
136	и во	2	2
137	могут быть	3	2
138	в таком	5	2
139	развития но	1	2
140	в нашем	2	2
141	уже не	9	2
142	и есть	1	2
143	что все	2	2
144	на этот	3	2
145	такой же	3	2
146	говорить об	1	2
147	на этом	6	2
148	не менее	3	2
149	приводит к	4	2
150	и по	10	2
151	может дать	1	2
152	в и	19	2
153	с другом	1	2
154	из одного	1	2
155	в настоящее	3	2
156	в один	2	2
157	каждого из	1	2
158	тот же	2	2
159	носит название	2	2
160	всяком случае	1	2
161	он должен	2	2
162	во всех	6	1
163	существу не	1	1
164	только одно	2	1
165	которую можно	1	1
166	которые в	2	1
167	к которому	1	1
168	что один	2	1
169	это и	1	1
170	затем идет	1	1
171	его и	2	1
172	этом случае	9	1
173	и проследим	1	1
174	объяснение этого	1	1
175	но можно	2	1
176	во втором	1	1
177	к различным	1	1
178	но вопрос	1	1
179	то они	1	1
180	только из	1	1
181	не является	2	1
182	в данном	7	1
183	бы к	1	1
184	он уже	1	1
185	и более	3	1
186	то этим	1	1
187	та же	4	1
188	по преимуществу	1	1
189	вытекает из	1	1
190	и иначе	1	1
191	в объяснении	1	1
192	указывалось на	1	1
193	его мнению	1	1
194	что иное	3	1
195	предыдущей главе	1	1
196	видим что	1	1
197	данном случае	8	1
198	в очень	1	1
199	в какой-нибудь	1	1
200	к вечеру	2	1
201	не имеют	1	1
202	связи с	6	1
203	здесь нет	1	1
204	в самый	2	1
205	если в	3	1
206	и эту	1	1
207	вопрос необходимо	1	1
208	должно быть	2	1
209	три направления	1	1
210	мы уже	2	1
211	это как	1	1
212	такую же	2	1
213	заключение нужно	1	1
214	с и	1	1
215	где это	1	1
216	в о	1	1
217	в первый	5	1
218	его с	4	1
219	она не	4	1
220	наших целей	2	1
221	в течение	7	1
222	она в	4	1
223	выбор и	1	1
224	одной стороны	1	1
225	все свои	1	1
226	на другой	2	1
227	одна и	1	1
228	мы имеем	7	1
229	и у	5	1
230	для наших	2	1
231	в другом	1	1
232	а из	1	1
233	от конца	1	1
234	в древней	3	1
235	совсем не	1	1
236	несмотря на	4	1
237	это только	1	1
238	в ней	3	1
239	из всех	1	1
240	на ней	1	1
241	уже к	1	1
242	что эта	1	1
243	этот был	1	1
244	а может	1	1
245	хотя и	3	1
246	человек с	1	1
247	он называет	1	1
248	с другой	1	1
249	в этот	19	1
250	с ним	2	1
251	на которых	2	1
252	он не	1	1
253	кроме того	3	1
254	и из	3	1
255	имеет с	1	1
256	не соответствует	1	1
257	но тем	2	1
258	они короче	1	1
259	не будет	1	1
260	что с	2	1
261	те же	1	1
262	между двумя	2	1
263	те или	1	1
264	аналогии с	1	1
265	что дело	1	1
266	ей не	1	1
267	а затем	5	1
268	в область	1	1
269	как у	2	1
270	увидим что	2	1
271	совпадают с	3	1
272	только на	4	1
273	но они	4	1
274	и их	4	1
275	на некотором	2	1
276	и всегда	1	1
277	них извне	1	1
278	от общего	1	1
279	такого объяснения	1	1
280	все что	2	1
281	не приходится	1	1
282	и та	1	1
283	xix в	16	1
284	для объяснения	1	1
285	и при	2	1
286	на самом	3	1
287	здесь в	1	1
288	на которой	2	1
289	образом из	1	1
290	что каждый	2	1
291	для них	5	1
292	можно было	3	1
293	ни в	1	1
294	от другого	2	1
295	случае он	1	1
296	и от	2	1
297	в начале	1	1
298	по отношению	1	1
299	еще в	6	1
300	кто же	1	1
301	именно эти	1	1
302	более как	1	1
303	утверждает что	1	1
304	стороны и	1	1
305	весь мир	1	1
306	а далее	1	1
307	но что	2	1
308	и те	3	1
309	только в	4	1
310	объяснения и	2	1
311	в совершенно	1	1
312	этот вопрос	4	1
313	не случайно	2	1
314	так же	7	1
315	его в	9	1
316	с понятием	1	1
317	или как	1	1
318	себе в	1	1
319	в большинстве	2	1
320	должен был	3	1
321	чем в	4	1
322	этой группы	1	1
323	в своих	3	1
324	не представляет	1	1
325	не было	3	1
326	в предыдущей	1	1
327	как например	6	1
328	с его	1	1
329	представляет для	1	1
330	один из	10	1
331	в духе	1	1
332	силу и	2	1
333	и всюду	1	1
334	не более	2	1
335	если бы	1	1
336	не знает	1	1
337	или в	7	1
338	на которые	1	1
339	в западной	2	1
340	из одной	1	1
341	можно говорить	2	1
342	много и	3	1
343	ничего общего	3	1
344	из приведенных	3	1
345	ни о	1	1
346	их по	3	1
347	и еще	2	1
348	их и	3	1
349	что его	1	1
350	в гости	1	1
351	другой день	2	1
352	в эту	3	1
353	на такой	1	1
354	так называемый	2	1
355	но эта	2	1
356	для каждого	1	1
357	дело в	1	1
358	природы и	3	1
359	же как	5	1
360	по существу	7	1
361	сказать что	1	1
362	носят название	2	1
363	и им	1	1
364	это пока	1	1
365	в ту	1	1
366	почему и	1	1
367	жизни как	1	1
368	но для	1	1
369	таких случаев	1	1
370	так называемое	2	1
371	любом месте	1	1
372	и начало	2	1
373	именно в	3	1
374	уже на	1	1
375	что наш	1	1
376	и действительно	2	1
377	такое же	2	1
378	и до	3	1
379	представление о	5	1
380	использовать и	1	1
381	на какое-нибудь	1	1
382	отношению к	1	1
383	как нет	1	1
384	при исследовании	1	1
385	случае не	1	1
386	в своем	3	1
387	общего не	2	1
388	то чем	1	1
389	по аналогии	1	1
390	уже знаем	2	1
391	может признать	1	1
392	что следовательно	1	1
393	на поверхности	1	1
394	в связи	4	1
395	в какой	3	1
396	одни и	1	1
397	между ними	1	1
398	необходимо для	1	1
399	во всей	2	1
400	цель и	1	1
401	в деталях	1	1
402	же в	5	1
403	произойти в	1	1
404	том что	33	1
405	характерное для	1	1
406	рядом с	1	1
407	на эту	1	1
408	дома и	1	1
409	но не	7	1
410	так в	5	1
411	должны признать	1	1
412	объяснение их	1	1
413	но если	2	1
414	здесь и	1	1
415	они не	1	1
416	направление в	1	1
417	не имеет	9	1
418	и путем	1	1
419	в природе	2	1
420	их на	5	1
421	и могут	1	1
422	к этому	7	1
423	в такой	1	1
424	там где	3	1
425	объяснений в	1	1
426	вся эта	2	1
427	в то	3	1
428	значит что	2	1
429	от старого	1	1
430	по его	2	1
431	за все	2	1
432	ли он	1	1
433	в отдельных	1	1
434	всецело и	1	1
435	и следовательно	2	1
436	или нет	1	1
437	нет никаких	1	1
438	но это	5	1
439	для чего	1	1
440	независимо от	3	1
441	оно имеет	1	1
442	и для	3	1
443	нас на	1	1
444	постройку в	1	1
445	таким же	4	1
446	не что	3	1
447	и это	2	1
448	точка зрения	1	1
449	расходятся в	1	1
450	того же	1	1
451	такое объяснение	1	1
452	все время	1	1
453	нет в	2	1
454	только о	1	1
455	должен быть	2	1
456	западной европе	2	1
457	на части	9	1
458	и его	2	1
459	и особенно	1	1
460	и становится	1	1
461	о том	14	1
462	в заключение	2	1
463	и вообще	1	1
464	быть поставлен	1	1
465	образом на	1	1
466	иное как	3	1
467	нечто совсем	1	1
468	к другому	2	1
469	человека и	1	1
470	к нему	3	1
471	никогда не	1	1
472	на них	4	1
