N	4gram	Potebnia_M	Literetu
1	в то же время	3	21
2	не говоря уже о	1	6
3	с этой точки зрения	1	5
4	бы то ни было	1	4
5	с одной стороны и	2	3
6	но с другой стороны	2	3
7	только в том что	5	2
8	дело в том что	3	2
9	не только в том	1	2
10	то же время не	1	2
11	если это последнее имеет	1	2
12	не что иное как	2	1
13	лишь в той мере	1	1
14	которые не могут быть	2	1
15	все более и более	2	1
16	в том что при	1	1
17	что не может быть	1	1
18	могли быть устранены из	1	1
19	здесь как и во	1	1
20	с другой стороны он	1	1
21	одного и того же	6	1
22	повторением одного и того	1	1
23	но дело в том	2	1
24	во всех этих и	1	1
25	себя и других в	1	1
26	в том что он	1	1
27	не имеет ничего общего	1	1
28	имеет ничего общего с	1	1
29	не могли быть устранены	1	1
30	место в ряду других	1	1
