N	3gram	Potebnia_M	EvropaiC
1	в том что	18	16
2	до сих пор	5	15
3	по отношению к	13	11
4	с точки зрения	3	8
5	более или менее	6	8
6	а между тем	5	8
7	на то что	3	7
8	для того чтобы	4	7
9	мы знаем что	1	7
10	на самом деле	2	7
11	друг от друга	3	6
12	что касается до	2	6
13	лишь в том	1	5
14	по сравнению с	1	5
15	не может быть	11	4
16	о том что	1	4
17	тем не менее	10	4
18	с другой стороны	7	4
19	о которых мы	1	4
20	в том случае	1	4
21	том случае если	1	4
22	вместе с тем	1	3
23	заключается в том	1	3
24	не в состоянии	2	3
25	таким образом в	3	3
26	все же не	1	3
27	одного и того	6	3
28	так же как	1	3
29	то ни было	1	3
30	как сказано выше	1	3
31	и того же	6	3
32	в связи с	2	3
33	бы то ни	2	3
34	в том и	2	2
35	в свою очередь	8	2
36	о которой мы	2	2
37	том что все	1	2
38	во всяком случае	7	2
39	и может быть	4	2
40	во всех этих	1	2
41	двух или нескольких	1	2
42	каждый из этих	1	2
43	друг на друга	2	2
44	при этом что	1	2
45	не более как	3	2
46	заключает в себе	6	2
47	что же касается	1	2
48	как и в	3	2
49	а следовательно и	1	2
50	таким же образом	1	2
51	в то время	3	2
52	в то же	3	2
53	ничего общего с	1	2
54	между этими двумя	1	2
55	том что он	1	2
56	же касается до	1	2
57	но все же	2	2
58	только то что	1	2
59	с одной стороны	6	2
60	то же время	3	2
61	в том виде	1	2
62	но так как	1	2
63	и в том	3	2
64	что несмотря на	1	2
65	друг к другу	1	2
66	мы видели что	2	1
67	народа выше мы	1	1
68	есть одно из	1	1
69	на каждом шагу	1	1
70	не только по	2	1
71	и в жизни	3	1
72	потому что для	1	1
73	таким образом мы	1	1
74	друг друга и	1	1
75	не совсем в	1	1
76	все то что	2	1
77	которые не могут	2	1
78	то есть в	1	1
79	что и для	1	1
80	бы при этом	1	1
81	это должно быть	1	1
82	это не более	1	1
83	бы не в	1	1
84	мысль о том	1	1
85	и самого себя	1	1
86	на задний план	1	1
87	что так как	1	1
88	что все они	1	1
89	по крайней мере	6	1
90	не есть нечто	2	1
91	это не так	2	1
92	между ними нет	1	1
93	в одно целое	1	1
94	уже и без	1	1
95	зависит не от	1	1
96	этой точки зрения	1	1
97	потому что как	3	1
98	что на такой	1	1
99	нет ничего общего	1	1
100	во всех отношениях	1	1
101	с этой точки	2	1
102	никто не может	1	1
103	точно так же	1	1
104	в общих чертах	1	1
105	не отличается от	1	1
106	только в том	7	1
107	и той же	3	1
108	во внимание что	2	1
109	на другую то	1	1
110	зависят от самого	1	1
111	точке зрения по	1	1
112	том и другом	2	1
113	и все это	1	1
114	не в том	6	1
115	при этом не	2	1
116	тогда как при	1	1
117	но на деле	3	1
118	до тех пор	1	1
119	том виде в	1	1
120	важную роль в	1	1
121	видеть во всех	1	1
122	что у него	1	1
123	говоря уже о	1	1
124	не говоря уже	1	1
125	выйти из этого	1	1
126	в себе никаких	1	1
127	в его сознании	1	1
128	мы видели выше	1	1
129	прямого отношения к	1	1
130	но при этом	1	1
131	указание на то	1	1
132	с одной и	1	1
133	того что в	1	1
134	может быть не	4	1
135	дело в том	3	1
136	смысле этого слова	3	1
137	не во всех	2	1
138	из этого круга	1	1
139	в первое время	1	1
140	как мы видели	1	1
141	не были бы	1	1
142	между тем как	1	1
143	но все они	1	1
144	с тем и	1	1
145	не может вполне	1	1
146	одной и той	3	1
147	мы не знаем	1	1
148	и для самого	2	1
149	можно было бы	1	1
150	потому что при	1	1
151	или лучше сказать	1	1
152	столь же мало	2	1
153	от того будет	1	1
154	и таким образом	1	1
155	выше мы видели	1	1
156	бы в состоянии	1	1
157	что вследствие этого	1	1
158	как бы ни	4	1
159	что в таком	2	1
160	которые могут быть	2	1
161	что с течением	1	1
162	и в нашем	1	1
163	а потому что	2	1
164	не менее в	2	1
165	что они не	1	1
166	так что в	2	1
167	а в том	4	1
168	с самого начала	5	1
169	что во всех	2	1
170	согласно с этим	2	1
171	не только не	2	1
172	если бы при	1	1
173	может быть признана	1	1
174	в его душе	1	1
175	во всех их	1	1
176	понимают друг друга	1	1
177	уже о том	1	1
178	а не в	1	1
179	от того же	1	1
180	психологической точки зрения	1	1
181	и все же	1	1
182	между тем в	2	1
183	том что при	1	1
184	и проч но	2	1
185	а так как	3	1
186	с тех пор	1	1
187	к тому что	2	1
188	того будет ли	1	1
189	том что оно	1	1
190	по его мнению	4	1
191	их отношение к	1	1
192	несмотря на все	1	1
193	что и сам	1	1
194	и с этой	2	1
195	то что мы	2	1
196	имеют между собою	1	1
197	с психологической точки	1	1
198	в жизни народов	1	1
199	это потому что	1	1
200	из того что	2	1
201	во всем этом	1	1
202	что входит в	1	1
203	во-первых потому что	1	1
204	только тогда когда	5	1
205	и при отсутствии	1	1
206	то время как	1	1
207	разница лишь в	1	1
208	вполне отрешиться от	1	1
209	та же история	1	1
210	были бы в	1	1
211	и не может	1	1
212	случаев в которых	1	1
213	но с другой	3	1
214	именно в том	1	1
215	и не имеет	2	1
216	это было бы	2	1
