N	2gram	Losev_Vesc	Freidism
1	таким образом	16	34
2	и не	57	34
3	точки зрения	10	31
4	не может	44	30
5	– это	4	29
6	и пр	10	29
7	в этом	17	28
8	может быть	37	28
9	и в	44	28
10	прежде всего	17	26
11	в его	5	25
12	это –	38	22
13	и его	4	22
14	мы можем	4	20
15	как бы	19	19
16	как мы	6	18
17	то что	47	17
18	– в	13	17
19	вовсе не	11	16
20	с точки	6	15
21	точка зрения	5	15
22	жизни человека	1	15
23	все эти	5	15
24	так как	17	15
25	с ним	8	14
26	в своей	6	14
27	так и	4	14
28	самом деле	7	14
29	и все	6	13
30	как и	15	13
31	но в	8	13
32	во всех	5	13
33	в самом	13	12
34	то же	12	12
35	ни в	11	12
36	что он	7	12
37	том что	13	12
38	для него	8	12
39	все это	7	12
40	– не	11	12
41	и потому	8	12
42	и наконец	1	12
43	мы видели	3	12
44	только в	23	11
45	мы знаем	1	11
46	сказать что	21	11
47	его в	8	11
48	все что	3	10
49	один из	5	10
50	не только	48	10
51	и с	11	10
52	но и	19	10
53	конечно не	2	10
54	что же	17	10
55	тот же	4	10
56	никогда не	5	10
57	в том	15	10
58	мы уже	3	10
59	он не	4	10
60	все те	1	10
61	не в	14	10
62	и на	2	9
63	уже не	15	9
64	во всяком	4	9
65	совершенно не	11	9
66	мы не	8	9
67	с его	2	9
68	к этому	2	9
69	к нему	3	9
70	в чем	10	9
71	а не	34	9
72	мы должны	5	9
73	могут быть	1	9
74	при этом	1	8
75	все же	18	8
76	еще не	12	8
77	с этим	4	8
78	было бы	24	8
79	и вот	4	8
80	организма и	1	8
81	а в	6	8
82	– все	2	8
83	с другими	8	8
84	на этом	4	8
85	в ней	14	8
86	оно и	4	8
87	– только	4	8
88	всяком случае	2	8
89	что в	11	7
90	и к	1	7
91	не могут	1	7
92	в жизни	5	7
93	– и	2	7
94	хотя бы	9	7
95	в каком	6	7
96	если мы	12	7
97	что все	2	7
98	и для	13	7
99	из них	7	7
100	того что	16	7
101	не является	3	7
102	но не	9	7
103	я и	8	7
104	– с	2	7
105	об этом	5	7
106	и у	4	7
107	с самого	1	7
108	в нем	6	7
109	быть и	5	7
110	в этой	4	7
111	отношение к	4	7
112	в себе	23	7
113	жизни и	6	7
114	и прежде	2	7
115	в то	11	7
116	и ее	19	7
117	зрения на	1	6
118	учение о	2	6
119	одно из	2	6
120	если он	3	6
121	не менее	11	6
122	но мы	1	6
123	к тому	3	6
124	можно сказать	8	6
125	в основе	4	6
126	в свою	5	6
127	для того	3	6
128	же время	4	6
129	из этих	1	6
130	мы имеем	8	6
131	ни о	3	6
132	как раз	16	6
133	что такое	20	6
134	на самом	1	6
135	сознания и	2	6
136	чем же	5	6
137	в таком	1	6
138	– как	8	6
