N	4gram	Bakhtin_Fr	formyVre
1	в то же время	13	18
2	одного и того же	1	9
3	и в то же	2	8
4	как мы уже сказали	2	6
5	как мы уже говорили	4	6
6	с одной стороны и	2	5
7	в том числе и	3	5
8	мы имеем в виду	2	5
9	в то время как	1	4
10	в связи с этим	1	4
11	до сих пор еще	2	3
12	в той или иной	2	3
13	на протяжении всего романа	1	3
14	в средние века и	1	3
15	но в то же	7	3
16	мы еще вернемся в	2	3
17	и до сих пор	2	2
18	не считая женщин и	2	2
19	еды и питья и	1	2
20	все более и более	1	2
21	дело в том что	2	2
22	человек не считая женщин	1	2
23	считая женщин и детей	2	2
24	той или иной степени	1	2
25	мы еще вернемся к	2	2
26	в узком смысле слова	2	2
27	а также и в	1	2
28	то же время они	1	2
29	как собакам если кто	1	1
30	в гуще виноградных лоз	1	1
31	то же время он	1	1
32	брата жана и панурга	1	1
33	и прежде всего в	1	1
34	другим ломал руки и	2	1
35	в связи со всем	1	1
36	во франции и италии	1	1
37	бегством тому разбивал голову	1	1
38	есть все то что	1	1
39	у рабле не только	1	1
40	ломал руки и ноги	2	1
41	голову в куски ударяя	1	1
42	той или иной форме	1	1
43	в точном смысле слова	1	1
44	рабле как мы уже	3	1
45	не значит конечно что	1	1
46	остановимся прежде всего на	1	1
47	во время еды и	1	1
48	если кто хотел спрятаться	1	1
49	в куски ударяя сзади	1	1
50	разбивал голову в куски	1	1
51	о смерти героев и	1	1
52	только во время еды	1	1
53	были неразрывно связаны с	1	1
54	в связи с рабле	1	1
55	что на самом деле	1	1
56	второй половине xix века	1	1
57	одной и той же	2	1
58	были чрезвычайно распространены в	1	1
59	как мы увидим дальше	1	1
60	то что может быть	1	1
61	то же время оно	1	1
62	головы другим ломал руки	1	1
63	мы уже говорили что	1	1
64	кто хотел спрятаться в	1	1
65	спастись бегством тому разбивал	1	1
66	для рабле и для	1	1
67	в конечном счете всегда	1	1
68	к жизни и смерти	1	1
69	моменты в романе рабле	1	1
70	такой же характер носит	1	1
71	только то что может	1	1
72	для него существует только	1	1
73	своей моче человек не	1	1
74	точки зрения на мир	1	1
75	это не значит конечно	1	1
76	xix и xx веков	1	1
77	которых так много в	2	1
78	кто хотел спастись бегством	1	1
79	позднего средневековья и возрождения	2	1
80	рассеяны по всему роману	1	1
81	но все же в	2	1
82	или во всяком случае	1	1
83	моче человек не считая	1	1
84	тому разбивал голову в	1	1
85	куски ударяя сзади по	1	1
86	здесь прежде всего необходимо	1	1
87	мы встречаемся с ним	1	1
88	и во всех своих	1	1
89	хотел спрятаться в гуще	1	1
90	и в другом месте	1	1
91	время еды и питья	1	1
92	в это время и	1	1
93	получает существенное отношение к	1	1
94	спрятаться в гуще виноградных	1	1
95	прославлением жаркого на вертеле	1	1
96	у рабле как мы	1	1
97	перебивал крестец и ломал	1	1
98	в конце концов он	2	1
99	поэтому они не могут	1	1
100	то же время не	1	1
101	во всех своих моментах	1	1
102	в литературе этот образ	1	1
103	кости если кто хотел	1	1
104	в своей моче человек	1	1
105	по всему роману рабле	1	1
106	хотел спастись бегством тому	1	1
107	собакам если кто хотел	1	1
108	века и в особенности	1	1
109	было бы совершенно неправильно	1	1
110	в бытовом плане но	1	1
111	локтевые кости если кто	1	1
112	гаргантюа кн i гл	1	1
113	таких высоких материях и	1	1
114	о таких высоких материях	1	1
115	если кто хотел спастись	1	1
116	до сих пор не	1	1
117	то есть все то	1	1
