N	2gram	Vinokur_Vv	Problemy
1	и в	35	106
2	и не	13	90
3	как бы	7	70
4	может быть	30	66
5	т е	40	59
6	в его	12	56
7	в этом	35	52
8	в нем	13	51
9	не может	19	49
10	как и	7	44
11	что он	5	44
12	точки зрения	12	40
13	но и	7	40
14	для него	1	39
15	и его	6	39
16	а не	5	38
17	то же	11	36
18	не только	26	36
19	то что	19	33
20	но в	10	33
21	прежде всего	10	32
22	в то	6	29
23	все это	6	29
24	и все	1	28
25	в одном	4	27
26	не в	10	27
27	же время	6	26
28	в самом	13	25
29	и с	2	25
30	к нему	3	25
31	с точки	4	25
32	в сущности	3	25
33	и т	45	25
34	себе самому	1	25
35	не как	3	24
36	вовсе не	6	24
37	самом деле	7	24
38	рядом с	2	23
39	и на	3	23
40	слова и	1	23
41	по себе	11	22
42	в каждом	4	22
43	таким образом	21	22
44	как мы	11	21
45	все же	9	20
46	никогда не	3	20
47	только в	16	20
48	потому что	18	20
49	что же	3	19
50	что в	13	19
51	достоевского в	1	19
52	отношению к	4	19
53	слова в	1	19
54	уже не	6	18
55	по отношению	4	18
56	т п	5	18
57	в себе	4	18
58	еще не	4	18
59	на самом	1	18
60	но не	9	18
61	все эти	3	18
62	и к	3	17
63	с ним	1	17
64	а в	6	17
65	в том	38	17
66	это не	8	17
67	так и	2	17
68	так же	3	16
69	если бы	3	16
70	в своей	4	16
71	этом смысле	11	16
72	в другом	3	16
73	у него	1	15
74	до конца	3	15
75	и для	4	15
76	и сам	3	14
77	в своем	3	14
78	как раз	4	14
79	в конце	3	14
80	а как	5	14
81	в отношении	3	14
82	так как	15	14
83	он и	2	14
84	лишь в	1	14
85	но все	4	13
86	с другими	1	13
87	его в	6	13
88	и это	6	13
89	романа достоевского	1	13
90	в целом	5	13
91	при этом	3	12
92	отношении к	2	12
93	и как	9	12
94	и даже	6	12
95	к тому	4	12
96	во всяком	5	12
97	в котором	4	12
98	что и	5	12
99	так сказать	1	12
100	себе и	2	12
101	так что	5	12
102	и что	6	12
103	за пределы	1	12
104	было бы	7	12
105	между тем	10	12
106	как в	3	12
107	том что	30	12
108	у меня	1	12
109	но это	2	12
110	ничего не	2	12
111	слово в	1	12
112	в одной	1	12
113	тем что	6	11
114	входит в	3	11
115	с другой	8	11
116	он сам	3	11
117	должно быть	2	11
118	бы в	2	11
119	мы уже	2	11
120	в форме	2	11
121	не могут	6	11
122	бы и	3	11
123	сливается с	3	11
124	так чтобы	3	11
125	этого слова	2	11
126	своему предмету	1	11
127	или как	3	11
128	рассказа в	1	11
129	как будто	3	11
130	конце концов	2	11
131	более того	1	11
132	самого начала	1	10
133	слово не	1	10
134	говорит он	2	10
135	что не	5	10
136	сих пор	7	10
137	до сих	7	10
138	для себя	1	10
139	в слове	3	10
140	той же	4	10
141	в самой	1	10
142	далеко не	1	10
143	как не	1	10
144	лишь как	2	10
145	отношение к	3	10
146	ведь и	1	10
147	в той	10	9
148	зрения на	1	9
149	другой стороны	5	9
150	в них	5	9
151	хотя бы	6	9
152	что у	1	9
153	хотя и	5	9
154	но он	1	9
155	с самого	1	9
156	могут быть	6	9
157	всяком случае	5	9
158	да и	4	9
159	или в	1	9
160	и потому	2	9
161	человека в	1	9
162	в результате	4	8
163	и до	2	8
164	о том	16	8
165	все время	2	8
166	из них	4	8
167	несмотря на	2	8
168	ни было	1	8
169	но как	2	8
170	одним из	5	8
171	здесь не	3	8
172	и у	1	8
173	и от	1	8
174	мы должны	2	8
175	должна быть	2	8
176	что это	3	8
177	никак не	1	8
178	не на	1	8
179	с ними	1	8
180	и так	2	8
181	наконец в	1	8
182	из его	2	8
183	он есть	1	8
184	в произведениях	1	8
185	как к	1	8
186	уже в	5	8
187	того что	12	8
188	это и	1	8
189	с их	5	8
190	романов достоевского	2	8
191	и о	1	8
192	устную речь	1	7
193	мысли и	2	7
194	в виду	5	7
195	на свой	1	7
196	в жизни	1	7
197	отличается от	1	7
198	и со	2	7
199	вопрос о	10	7
200	в себя	1	7
201	только на	3	7
202	сказать что	6	7
203	что все	1	7
204	что она	3	7
205	от себя	3	7
206	что они	2	7
207	не было	2	7
208	лишь на	1	7
209	между ними	3	7
210	в этих	3	7
211	во всех	2	7
212	то ни	1	7
213	если же	2	7
214	и др	2	7
215	его к	2	7
216	и ее	4	7
217	были бы	1	7
218	бы то	1	7
219	например в	2	7
220	слова о	1	7
221	его и	1	7
222	автора и	1	7
223	он в	1	7
224	на этот	6	7
225	т д	39	7
226	точку зрения	1	7
227	тот же	1	7
228	но на	1	7
229	в их	12	7
230	все равно	2	7
231	в виде	4	7
232	сама по	3	7
233	к своему	2	7
234	и другого	1	7
235	что было	1	6
236	во всем	2	6
237	кроме того	1	6
238	время не	2	6
239	него в	2	6
240	в своих	2	6
241	в построении	1	6
242	самому и	1	6
243	и внутренне	1	6
244	не менее	9	6
245	с этим	3	6
