N	4gram	Nazirov_Tv	DiskursI
1	в то же время	18	8
2	дело в том что	4	5
3	одного и того же	1	4
4	в том что в	3	3
5	в том числе и	1	3
6	и не может быть	2	2
7	и в то же	2	2
8	бы то ни было	1	2
9	если можно так выразиться	1	2
10	не что иное как	1	1
11	и это не просто	1	1
12	в русской литературе xix	1	1
13	отнюдь не сводится к	1	1
14	между человеком и богом	1	1
15	сами по себе не	1	1
16	не только потому что	1	1
17	ни в чем не	1	1
18	в войне и мире	1	1
19	нет и не может	1	1
20	заключается в том что	1	1
21	или во всяком случае	1	1
22	бахтина о том что	1	1
23	но в таком случае	1	1
24	но и потому что	1	1
25	науки в соответствии с	1	1
26	где он говорит о	1	1
27	было в том что	1	1
28	то же время они	1	1
29	все с той же	1	1
