N	4gram	Vygotskiy_	formyVre
1	одного и того же	5	9
2	как мы уже говорили	3	6
3	с одной стороны и	1	5
4	в том числе и	3	5
5	одно и то же	6	5
6	для того чтобы они	1	4
7	в то время как	5	4
8	в связи с этим	2	4
9	одних и тех же	1	4
10	с нашей точки зрения	2	3
11	так же как и	6	3
12	все более и более	1	2
13	одна и та же	1	2
14	друг с другом мы	1	2
15	с этой точки зрения	4	1
16	и того же типа	1	1
17	в том что в	3	1
18	которая в свою очередь	1	1
19	не выходит за пределы	1	1
20	мы будем говорить особо	1	1
21	и к которому мы	1	1
22	что в основе их	2	1
23	вместе с тем и	4	1
24	связи с тем что	1	1
25	на первый план выступает	1	1
26	более высокой ступени развития	1	1
27	одну и ту же	1	1
28	совершенно так же как	1	1
29	одной и той же	5	1
30	во всяком случае нечто	1	1
31	мы уже говорили что	2	1
32	этот вопрос в положительном	1	1
33	как и во всех	1	1
34	в том что они	2	1
35	совершенно понятно что в	1	1
36	и вместе с тем	2	1
37	когда мы говорим о	1	1
38	оно не может быть	1	1
39	то время как другие	1	1
40	с другой стороны они	1	1
41	в связи с тем	1	1
42	бы они ни были	1	1
43	только в том что	4	1
44	на более высокой ступени	1	1
45	том что он не	1	1
46	в основе его лежит	1	1
47	все больше и больше	1	1
48	в другом месте как	1	1
49	одном и том же	2	1
50	или во всяком случае	1	1
51	все же в них	1	1
52	это значит что если	1	1
53	в том что он	1	1
54	это мы наблюдаем и	1	1
55	о которой мы говорили	1	1
56	в своем дальнейшем развитии	1	1
57	и с точки зрения	1	1
58	каковы бы они ни	1	1
59	между этими двумя моментами	1	1
60	друг с другом в	1	1
61	же как и все	1	1
62	мы наблюдаем и в	1	1
63	во всех этих случаях	1	1
64	выступает на первый план	1	1
65	все новых и новых	1	1
66	и не могло бы	1	1
67	в буквальном смысле слова	1	1
68	то что в основе	2	1
