N	3gram	Nazirov_Vr	Marksizm
1	с точки зрения	2	46
2	не может быть	2	25
3	то же время	4	15
4	в то же	4	15
5	в том что	2	14
6	в связи с	3	14
7	и не может	1	12
8	в высшей степени	1	12
9	до сих пор	1	11
10	но в то	2	9
11	может быть и	1	8
12	с другой стороны	1	7
13	в свою очередь	1	7
14	на то что	1	6
15	во всяком случае	1	6
16	в этом отношении	1	5
17	быть и речи	1	4
18	о том что	1	4
19	тем не менее	1	3
20	и то же	1	3
21	но при этом	1	3
22	в конце концов	1	3
23	и в этом	1	3
24	на первый план	1	3
25	связи с этим	1	3
26	не было бы	1	3
27	– одна из	1	3
28	одно и то	1	3
29	в этом смысле	1	2
30	а между тем	1	2
31	– это и	1	2
32	лишнего человека в	2	2
33	по крайней мере	1	2
34	а следовательно и	1	2
35	независимо от того	1	2
36	так же как	1	2
37	и в самом	1	2
38	он сказал что	1	2
39	это и есть	1	2
40	имеется в виду	1	1
41	от того как	1	1
42	в том же	1	1
43	еще бы больше	1	1
44	но в известном	1	1
45	с помощью которых	1	1
46	что он сам	1	1
47	в соответствии с	1	1
48	а с другой	1	1
49	не только не	1	1
50	имел в виду	3	1
51	к вопросу о	1	1
52	но в этом	1	1
53	но и это	1	1
54	– это не	1	1
55	все же в	1	1
56	равно как и	1	1
57	он не только	2	1
58	в русской литературе	3	1
59	не с точки	1	1
60	нет ничего общего	1	1
61	не лучше ли	1	1
62	в то время	1	1
63	и в ней	1	1
64	все же не	1	1
65	конечно в его	1	1
66	в литературу в	1	1
67	по нашему мнению	1	1
68	и что в	2	1
69	тем что он	1	1
70	в каком направлении	1	1
71	у тургенева и	1	1
72	между прочим и	1	1
73	то что они	1	1
74	в той же	1	1
