N	4gram	Losev_Prob	Morfolog
1	как мы увидим ниже	1	4
2	в связи с этим	1	4
3	состоит в том что	1	3
4	в то время как	4	3
5	это не значит что	1	2
6	бы то ни было	2	2
7	и тем не менее	1	2
8	не что иное как	3	2
9	с этой точки зрения	2	1
10	похожи друг на друга	1	1
11	во что бы то	1	1
12	то это значит что	1	1
13	бы то ни стало	1	1
14	в коем случае не	1	1
15	в том что он	2	1
16	вопрос о том как	1	1
17	как мы уже видели	1	1
18	не имеет ничего общего	2	1
19	все более и более	1	1
20	что это и не	1	1
21	в то же время	1	1
22	в настоящее время уже	2	1
23	прежде чем перейти к	1	1
24	что бы то ни	1	1
25	в том или другом	1	1
26	о которых говорилось выше	1	1
27	ни в коем случае	3	1
28	друг на друга что	1	1
