N	3gram	Tiupa_Anal	slovoVRo
1	не может быть	2	19
2	то же время	7	18
3	в то же	7	18
4	той или иной	6	15
5	с точки зрения	2	15
6	в отличие от	5	14
7	в той или	2	13
8	в большинстве случаев	1	11
9	с одной стороны	3	11
10	в этом случае	1	9
11	в пределах одного	1	9
12	в зависимости от	1	8
13	во всяком случае	6	8
14	в значительной степени	3	7
15	и в особенности	1	7
16	последней смысловой инстанции	1	6
17	так и в	1	6
18	с другой стороны	7	6
19	они могут быть	1	6
20	в том что	12	5
21	по отношению к	9	5
22	хотя бы и	1	5
23	не только в	5	5
24	в этом отношении	3	5
25	для того чтобы	1	4
26	до сих пор	1	4
27	в свою очередь	7	4
28	можно сказать что	2	4
29	таким образом в	1	4
30	не могут быть	1	4
31	и в сущности	1	4
32	до известной степени	3	3
33	того или иного	5	3
34	человека и его	1	3
35	тех или иных	1	3
36	в данном случае	11	3
37	в пределах одной	1	3
38	по ту сторону	1	3
39	как если бы	1	3
40	в связи с	1	3
41	сама по себе	3	3
42	как и в	6	3
43	со всех сторон	1	3
44	включает в себя	2	3
45	его последней смысловой	1	3
46	один из существеннейших	1	2
47	и наконец в	1	2
48	в одном слове	1	2
49	как бы ни	1	2
50	здесь не только	4	2
51	тем не менее	3	2
52	то есть не	1	2
53	далеко не всегда	1	2
54	поэтического слова в	1	2
55	а между тем	1	2
56	не для того	1	2
57	в первом случае	1	2
58	они как бы	1	2
59	здесь как бы	1	2
60	от автора и	1	2
61	не только не	3	2
62	в известном смысле	2	2
63	не только своим	1	2
64	и в том	1	2
65	хотя и не	1	2
66	дело не с	1	2
67	но и в	2	2
68	а не как	1	2
69	о том что	7	2
70	обстоит дело и	1	2
71	требует от нас	1	2
72	в то время	1	2
73	то есть от	1	2
74	можно было бы	1	2
75	как одна из	1	2
76	в этом его	1	2
77	же как и	1	2
78	между тем как	1	2
79	же время в	2	2
80	мы уже говорили	1	2
81	тот или иной	3	2
82	иметь дело с	2	2
83	тот факт что	1	2
84	путем доведения лжи	1	1
85	для него самого	1	1
86	в контексте целого	1	1
87	что он не	2	1
88	своим собственным стилем	1	1
89	автору и его	1	1
90	до абсурда но	1	1
91	доведения лжи до	1	1
92	в конечном счете	5	1
93	по себе а	1	1
94	в применении к	1	1
95	мы видим что	1	1
96	при этом что	2	1
97	однако и здесь	1	1
98	одни и те	1	1
99	героев и их	1	1
100	дело не в	1	1
101	в себя момент	2	1
102	наиболее продуктивным в	1	1
103	ищет слов боится	1	1
104	с целым рядом	1	1
105	в них и	1	1
106	не ищет слов	1	1
107	как бы не	1	1
108	и в эту	1	1
109	так или иначе	5	1
110	высказывания и в	1	1
111	не столько в	1	1
112	они же в	1	1
113	идет уже не	1	1
114	во всех направлениях	1	1
115	именно потому что	1	1
116	она не ищет	1	1
117	в особенности же	1	1
118	то у нас	1	1
119	по себе еще	1	1
120	речь идет о	2	1
121	в один ряд	1	1
122	другой стороны и	1	1
123	само по себе	1	1
124	но они не	1	1
125	при этом и	1	1
126	и прежде всего	2	1
127	чутко реагирует на	1	1
128	в его собственном	1	1
129	а в том	2	1
130	в этой роли	1	1
131	одна из существеннейших	1	1
132	с его внешними	1	1
133	а не с	1	1
134	с ними в	1	1
135	перед нами не	1	1
136	в равной степени	2	1
137	весь его текст	1	1
138	сама она не	1	1
139	в нашем случае	1	1
140	может и не	1	1
141	не только по	1	1
142	в этих случаях	1	1
143	случае она вырождается	1	1
144	и вступает в	1	1
145	в одном из	1	1
146	но в отличие	1	1
147	то есть в	1	1
148	но лишь в	1	1
149	никогда не бывает	1	1
150	где оно не	1	1
151	она вырождается в	1	1
152	и те же	1	1
153	пор совершенно не	1	1
154	и одновременно его	1	1
155	и может быть	1	1
156	она ни была	1	1
157	кто говорит и	2	1
158	по крайней мере	5	1
159	в том чтобы	2	1
160	заключается в том	1	1
161	в эстетический объект	1	1
162	в иные моменты	1	1
163	о себе как	1	1
164	в свое время	4	1
165	но сама она	1	1
166	в целом ряде	1	1
167	не менее чем	1	1
168	и не могла	1	1
169	между тем это	1	1
170	к одному из	1	1
171	и так сказать	1	1
172	хотя и в	1	1
173	лжи до абсурда	1	1
174	в противном случае	2	1
175	все это остается	1	1
176	герой нашего времени	2	1
177	с той или	2	1
178	в словесной патетике	1	1
179	дело в том	3	1
180	чтобы прийти к	1	1
181	не должно быть	1	1
182	как раз в	1	1
183	подобно тому как	3	1
184	так и на	1	1
185	каждое из которых	1	1
186	одной и той	2	1
187	обоих типов но	1	1
188	того чтобы их	1	1
189	абсурда но сама	1	1
190	этом отношении он	1	1
191	том что он	2	1
192	и все его	1	1
193	не в самом	2	1
194	всяком случае не	1	1
195	тем или иным	2	1
196	при каких обстоятельствах	1	1
197	о себе самом	1	1
198	к себе самому	1	1
199	погрязнуть в словесной	1	1
200	из литературы в	1	1
201	в таких случаях	1	1
202	однако при этом	2	1
203	не только как	1	1
204	и той же	2	1
205	они не принадлежат	1	1
206	если бы он	1	1
207	но с другой	1	1
