N	3gram	Voloshinov	EvropaiC
1	в том что	1	16
2	до сих пор	1	15
3	по отношению к	2	11
4	с точки зрения	5	8
5	более или менее	1	8
6	для того чтобы	7	7
7	на самом деле	3	7
8	мы говорили выше	1	6
9	по сравнению с	1	5
10	в самом деле	2	5
11	не может быть	2	4
12	о том что	2	4
13	тот факт что	1	4
14	тем не менее	1	4
15	с другой стороны	1	4
16	в своем развитии	1	4
17	в конце концов	3	4
18	в этом случае	3	4
19	с течением времени	1	4
20	вместе с тем	2	3
21	таким образом в	1	3
22	одного и того	1	3
23	и того же	1	3
24	не может не	1	3
25	в связи с	2	3
26	мы все же	1	2
27	в том и	1	2
28	в свою очередь	4	2
29	в нашем случае	1	2
30	о которой мы	1	2
31	но вместе с	1	2
32	заключает в себе	4	2
33	как и в	1	2
34	в то же	9	2
35	но и его	1	2
36	именно потому что	1	2
37	между этими двумя	1	2
38	лишь при условии	1	2
39	в высшей степени	1	2
40	но все же	3	2
41	то же время	7	2
42	что несмотря на	1	2
43	мы видели что	2	1
44	благодаря тому что	1	1
45	целый ряд вопросов	1	1
46	и в жизни	1	1
47	может показаться что	2	1
48	и в сознании	2	1
49	таким образом мы	1	1
50	друг друга и	1	1
51	все то что	2	1
52	мы можем не	2	1
53	даже в области	1	1
54	о котором мы	1	1
55	бы не в	1	1
56	показаться что мы	1	1
57	мы уже знаем	1	1
58	мысль о том	1	1
59	образом здесь не	1	1
60	мы видим что	2	1
61	борьбе за существование	1	1
62	как и вообще	1	1
63	та или иная	1	1
64	отвлекаться в сторону	1	1
65	не внешним образом	1	1
66	но в этой	1	1
67	по крайней мере	1	1
68	и тому же	1	1
69	на каждом этапе	1	1
70	из них в	1	1
71	в себе и	1	1
72	если мы возьмем	1	1
73	так и от	1	1
74	то для того	1	1
75	если бы человечество	1	1
76	полного тождества между	1	1
77	и поэтому мы	1	1
78	только в том	1	1
79	и той же	4	1
80	что при этом	1	1
81	том и другом	1	1
82	но для того	3	1
83	и для того	2	1
84	при этом не	1	1
85	сошли с ума	1	1
86	независимо от того	1	1
87	все эти слова	1	1
88	отнюдь не противоречит	1	1
89	этот вопрос в	1	1
90	лишь то что	1	1
91	не говоря уже	1	1
92	не будет уже	1	1
93	но при этом	2	1
94	в самом широком	1	1
95	лишь постепенно в	1	1
96	иметь в виду	1	1
97	смысле этого слова	2	1
98	одно и то	5	1
99	иметь не может	1	1
100	как мы видели	3	1
101	возможна лишь при	1	1
102	в зависимости от	7	1
103	с тем и	2	1
104	одной и той	4	1
105	мы не знаем	2	1
106	можно было бы	1	1
107	и от всех	1	1
108	самом широком смысле	1	1
109	в голову не	2	1
110	одному и тому	1	1
111	не забудем что	3	1
112	я до сих	1	1
113	а затем и	1	1
114	и в голову	1	1
115	с самого начала	4	1
116	и то же	5	1
117	не только не	1	1
118	хотя бы в	1	1
119	и т.д в	1	1
120	бы нам удалось	1	1
121	тех случаях когда	2	1
122	и если я	1	1
123	во всех их	1	1
124	социальной жизни он	1	1
125	два первых вопроса	1	1
126	на первый взгляд	2	1
127	то же самое	4	1
128	и все же	1	1
129	между тем в	1	1
130	для этого необходимо	1	1
131	самом деле является	1	1
132	к тому что	2	1
133	для многих других	1	1
134	в котором они	1	1
135	то что мы	4	1
136	бы прежде всего	1	1
137	только тогда когда	1	1
138	нет и не	1	1
139	вполне очевидно что	1	1
140	тот или иной	2	1
141	в тех случаях	2	1
142	и не может	1	1
143	если мы будем	1	1
144	если бы нам	1	1
