N	2gram	Nazirov_Tv	formyVre
1	и в	40	148
2	в этом	11	73
3	то есть	16	70
4	в романе	24	58
5	в нем	4	51
6	прежде всего	10	46
7	и т	14	40
8	и не	12	37
9	в его	19	36
10	и его	14	36
11	вовсе не	5	35
12	но и	10	33
13	то же	19	32
14	т п	4	32
15	не только	16	32
16	в литературе	4	32
17	но в	11	31
18	жизни и	3	31
19	так и	5	29
20	времени в	13	27
21	может быть	11	27
22	не в	3	26
23	как мы	1	26
24	как и	16	25
25	как бы	26	25
26	мы уже	2	24
27	только в	7	23
28	в то	23	23
29	времени и	4	23
30	человека в	9	23
31	в том	13	22
32	то что	9	22
33	связи с	2	21
34	во всех	2	21
35	жизни в	9	21
36	же время	18	21
37	все эти	3	21
38	в своем	4	19
39	и др	2	19
40	и на	12	19
41	в основном	9	19
42	таким образом	14	18
43	у него	11	18
44	и все	6	18
45	еще не	5	18
46	при этом	14	17
47	с этим	2	17
48	так как	6	17
49	в пределах	1	17
50	человека и	6	17
51	все же	9	16
52	в связи	2	16
53	того же	2	16
54	в основе	3	16
55	и их	2	16
56	не может	9	16
57	в одном	3	15
58	в них	1	15
59	в дальнейшем	7	15
60	никогда не	13	15
61	так сказать	4	15
62	с его	12	15
63	в пространстве	2	15
64	вместе с	4	15
65	лишь в	1	15
66	и как	5	14
67	и с	9	14
68	так же	6	14
69	в конце	5	14
70	всех этих	1	14
71	а не	9	14
72	как раз	2	14
73	все это	14	14
74	в самом	6	13
75	в котором	8	13
76	во время	2	13
77	с ним	4	13
78	как в	10	13
79	роль в	2	13
80	в их	5	13
81	в частности	4	13
82	а в	10	13
83	же в	1	13
84	и до	2	12
85	время в	3	12
86	не было	3	12
87	он не	10	12
88	отнюдь не	9	12
89	что в	17	12
90	это время	2	12
91	потому что	10	12
92	в истории	2	12
93	ничего не	3	12
94	но не	7	12
95	и наконец	3	12
96	из них	4	11
97	хотя и	5	11
98	его в	2	11
99	между ними	1	11
100	романе в	1	11
101	и у	3	11
102	романа в	1	11
103	ни в	2	11
104	в образе	4	11
105	уже в	5	11
106	смерти в	2	11
107	в ней	2	11
108	и времени	1	11
109	и другие	4	10
110	кроме того	1	10
111	уже не	6	10
112	и того	2	10
113	входит в	1	10
114	влияние на	3	10
115	в ее	3	10
116	сих пор	1	10
117	также и	1	10
118	до сих	1	10
119	уже говорили	2	10
120	со смертью	1	10
121	на основе	1	10
122	тот же	3	10
123	в большинстве	1	10
124	и даже	8	9
125	но все	1	9
126	их в	1	9
127	на этой	1	9
128	с другой	4	9
129	наряду с	6	9
130	на протяжении	3	9
131	здесь нет	2	9
132	должно быть	1	9
133	к себе	1	9
134	и это	2	9
135	в других	1	9
136	могут быть	4	9
137	та же	4	9
138	оно не	1	9
139	том что	14	9
140	в самой	1	9
141	для него	9	9
142	жизнь и	2	9
143	и других	5	9
144	одного и	1	9
145	мира в	2	9
146	и к	1	8
147	в результате	1	8
148	в виду	3	8
149	в этих	2	8
150	время как	1	8
151	к тому	2	8
152	но эти	3	8
153	в этот	3	8
154	все его	1	8
155	с одной	2	8
156	что и	3	8
157	романе и	1	8
158	характер и	1	8
159	рядом с	2	8
160	в мире	8	8
161	героя и	4	8
162	здесь мы	2	8
163	образ человека	2	8
164	в роман	3	8
165	и по	5	8
166	один из	5	8
167	в жизни	3	8
168	для себя	1	8
169	со всеми	3	8
170	если бы	4	8
171	связанные с	1	8
172	до конца	2	8
173	жизни но	2	8
174	значение в	2	8
175	том числе	1	8
176	во всяком	2	8
177	это не	9	8
178	и прежде	1	8
179	и потому	4	8
180	отношение к	1	8
181	отношению к	3	8
182	или иной	1	8
183	здесь они	1	8
184	в целом	7	8
185	для всех	1	7
186	еще более	3	7
187	имеет место	1	7
188	время это	1	7
189	между собой	2	7
190	этого мира	1	7
191	к ним	1	7
192	к этому	4	7
193	из этих	1	7
194	картину мира	1	7
195	в себе	3	7
196	но он	3	7
197	не знает	2	7
198	в которой	5	7
199	в себя	3	7
200	в последующем	1	7
201	с ее	3	7
202	героев и	4	7
203	в процессе	3	7
204	например в	3	7
205	и он	4	7
206	себя и	1	7
207	нет ничего	1	7
208	было бы	2	7
209	в отличие	3	7
210	том же	3	7
211	т д	10	7
212	в романах	25	7
213	того что	3	7
214	этого романа	1	7
215	ее в	3	7
216	отличие от	3	7
217	во времени	3	7
218	место в	6	7
219	с самим	1	6
