N	2gram	Tiupa_Hudo	RusskieA
1	и в	23	79
2	в том	20	64
3	том что	9	59
4	что в	7	57
5	не только	20	41
6	так как	1	34
7	и другие	2	33
8	в этом	12	33
9	состоит в	20	32
10	как бы	11	31
11	но и	14	31
12	как и	3	28
13	и на	3	28
14	может быть	19	28
15	одна из	2	24
16	о том	2	23
17	при этом	19	22
18	в поле	1	22
19	это не	4	20
20	а в	13	20
21	как мы	1	20
22	из них	1	19
23	представляют собой	1	18
24	все это	2	18
25	таким образом	3	17
26	то что	5	17
27	вместе с	1	17
28	об этом	2	17
29	потому что	3	17
30	во многих	1	16
31	один из	2	15
32	в них	2	14
33	не менее	5	14
34	тем не	3	14
35	как это	7	14
36	и что	4	14
37	и не	16	14
38	для нас	1	14
39	у нас	1	14
40	в xix	1	14
41	уже не	6	13
42	так что	1	13
43	и по	2	13
44	как в	2	13
45	еще не	4	13
46	не может	9	13
47	тем что	1	12
48	между собой	2	12
49	этом случае	1	12
50	мы имеем	6	12
51	а затем	2	11
52	в лесу	1	11
53	не имеет	1	11
54	а на	5	11
55	далеко не	4	11
56	все же	1	10
57	представляет собой	11	10
58	его в	4	10
59	между тем	4	10
60	что и	2	10
61	так и	12	10
62	или в	2	10
63	а также	6	10
64	то же	12	9
65	о чем	3	9
66	на части	1	9
67	что они	1	9
68	к жизни	2	9
69	том же	1	9
70	но в	10	9
71	в русском	1	9
72	но не	13	9
73	одно из	2	8
74	в этих	4	8
75	что по	1	8
76	так же	2	8
77	связи с	3	8
78	во всех	3	8
79	что это	1	8
80	подобно тому	3	8
81	их в	3	8
82	того чтобы	5	8
83	того что	5	8
84	ее в	2	8
85	в данном	4	8
86	не все	2	8
87	как уже	3	8
88	тому как	3	8
89	для того	5	8
90	же в	1	8
91	в это	1	7
92	настоящее время	1	7
93	в лес	1	7
94	в своем	4	7
95	на них	1	7
96	к нему	3	7
97	а и	1	7
98	не в	9	7
99	а с	2	7
100	мы рассмотрим	1	7
101	было бы	1	7
102	только в	7	7
103	из этих	3	7
104	а не	13	7
105	начиная с	2	7
106	до конца	1	7
107	в настоящее	1	7
108	и как	4	7
109	по этому	1	7
110	как будто	1	7
111	для этого	1	7
112	в году	2	6
113	же как	1	6
114	к тому	4	6
115	не всегда	2	6
116	только на	1	6
117	в одном	3	6
118	что она	2	6
119	после того	1	6
120	в качестве	31	6
121	в таком	3	6
122	тому что	2	6
123	также в	1	6
124	на земле	1	6
125	на этом	2	6
126	после чего	1	6
127	в этой	2	6
128	в нем	6	6
129	как знак	1	6
