N	2gram	Vygotskiy_	IolandNe
1	и с	5	3
2	что в	23	2
3	самого себя	1	2
4	он не	5	2
5	должен быть	1	2
6	ничего не	2	2
7	и не	27	2
8	в этом	47	2
9	говорить о	1	1
10	все эти	7	1
11	для того	24	1
12	и очень	1	1
13	а в	3	1
14	и о	4	1
15	понятий и	11	1
16	утверждает что	1	1
17	это было	2	1
18	что для	3	1
19	для него	6	1
20	при такой	1	1
21	тем что	14	1
22	только что	7	1
23	причина того	1	1
24	от нее	3	1
25	когда его	1	1
26	того же	7	1
27	доказательство того	1	1
28	нам в	2	1
29	не так	1	1
30	и др	1	1
31	гипотеза и	2	1
32	первую очередь	3	1
33	с другой	7	1
34	в целом	7	1
35	было не	1	1
36	он с	2	1
37	значительной мере	2	1
38	очевидно что	6	1
39	нее и	1	1
40	другой стороны	3	1
41	я не	3	1
42	с любым	1	1
43	то и	5	1
44	знать и	1	1
45	и еще	1	1
46	в первую	3	1
47	что при	4	1
48	как только	1	1
49	если бы	8	1
50	отношению к	9	1
51	в руки	1	1
52	бы все	2	1
53	по существу	2	1
54	того что	27	1
55	а с	3	1
56	для других	15	1
57	только для	1	1
58	по поводу	3	1
59	и тот	1	1
60	так и	8	1
61	в основе	5	1
62	в значительной	3	1
63	от этого	3	1
64	того чтобы	26	1
65	и без	2	1
66	этом человеке	1	1
67	бы в	7	1
68	и ничего	2	1
69	а по	4	1
70	есть только	3	1
71	факты и	1	1
72	и в	47	1
73	никогда не	7	1
74	все это	5	1
75	по отношению	10	1
76	со всеми	2	1
77	на котором	4	1
78	в них	3	1
