N	2gram	Losev_Dial	Poddanst
1	не только	26	17
2	и в	35	14
3	и не	51	12
4	в области	2	11
5	в этом	18	10
6	в отношении	5	10
7	в том	20	9
8	то же	21	9
9	в качестве	2	9
10	но в	8	9
11	хотя бы	6	8
12	только в	7	7
13	же время	9	7
14	в то	10	7
15	в ней	4	6
16	быть может	5	6
17	было бы	14	6
18	но и	17	6
19	в смысле	5	6
20	и пр	7	5
21	может быть	30	5
22	отношении к	3	5
23	с другой	10	5
24	не в	12	5
25	и о	4	5
26	в которых	2	5
27	а я	3	5
28	и к	8	4
29	что в	19	4
30	в котором	5	4
31	по себе	39	4
32	тех кто	2	4
33	и если	5	4
34	и потому	6	4
35	но также	1	4
36	мы должны	6	4
37	не может	16	4
38	а в	8	4
39	то что	25	4
40	как бы	19	4
41	если бы	12	4
42	а также	1	4
43	в своем	7	4
44	же в	2	4
45	том что	18	4
46	большей степени	1	4
47	в сравнении	1	3
48	наряду с	1	3
49	в себе	23	3
50	сравнении с	1	3
51	что мы	3	3
52	с одной	4	3
53	мы не	1	3
54	это не	18	3
55	одной стороны	3	3
56	для того	2	3
57	между тем	3	3
58	с точки	18	3
59	хотя и	4	3
60	т е	49	3
61	с тем	2	3
62	потому что	23	3
63	она есть	12	3
64	прежде всего	14	3
65	вслед за	2	3
66	тем самым	1	3
67	сами по	4	3
68	света как	1	3
69	заключается в	4	3
70	но не	9	3
71	могут быть	6	3
72	я и	3	3
73	и т	31	3
74	и как	14	3
75	с ними	4	3
76	столь же	1	3
77	в нем	25	3
78	и без	1	3
79	тот же	1	3
80	точки зрения	25	3
81	с этим	5	2
82	во всех	3	2
83	именно как	2	2
84	одних и	1	2
85	и это	6	2
86	и других	1	2
87	в полной	2	2
88	и мы	8	2
89	как факт	2	2
90	ней не	1	2
91	которую мы	1	2
92	в европе	1	2
93	если в	5	2
94	и вот	10	2
95	время в	1	2
96	не будем	1	2
97	еще более	3	2
98	по сравнению	2	2
99	эта идея	1	2
100	и весьма	1	2
101	на этих	1	2
102	в ее	3	2
103	и тем	2	2
104	того что	6	2
105	никак не	6	2
106	как раз	7	2
107	в частности	4	2
108	в его	4	2
109	не о	5	2
110	а не	24	2
111	но о	1	2
112	для нас	1	2
113	все это	14	2
114	в которую	1	2
115	говорить о	9	2
116	для них	1	2
117	может и	5	2
118	своем значении	1	2
119	и есть	20	2
120	стороны и	4	2
121	сколько бы	1	2
122	в виде	2	2
123	в них	4	2
124	только это	1	2
125	творчества и	1	2
126	не было	7	2
127	к чему	1	2
128	и с	10	2
129	может ли	1	2
130	как на	1	2
131	в общем	2	2
132	полной мере	1	2
133	мысль о	2	2
134	которое в	2	2
135	в сфере	2	2
136	главным образом	2	2
137	потому в	1	2
138	она ни	3	2
139	именно в	4	2
140	должно быть	7	2
141	в жизни	3	2
142	отношения к	3	2
143	друг другу	4	2
144	в определенную	1	2
145	взгляда на	2	2
146	во всей	1	2
147	есть нечто	16	2
148	помнить что	2	2
149	в силу	6	2
150	одна из	1	2
151	между прочим	1	2
152	в мире	3	2
153	например в	2	2
154	не менее	5	2
155	реальность и	3	2
156	думать что	3	2
157	отнюдь не	13	2
158	со стороны	2	2
159	да и	11	2
160	точек зрения	3	2
161	не нужно	2	2
162	исключительно в	1	2
163	в эту	1	2
164	из них	5	2
165	но к	2	2
166	есть не	8	2
167	весьма мало	1	2
168	тем более	2	2
169	есть в	2	2
170	не к	2	2
171	бы ни	3	2
172	и везде	1	1
173	к сожалению	2	1
174	этих двух	1	1
175	были бы	3	1
176	представить себе	2	1
177	говорится о	1	1
178	нет ничего	1	1
179	от нее	1	1
180	во всяком	5	1
181	тем в	1	1
182	и тех	1	1
183	могли бы	1	1
184	ни к	2	1
185	теми кто	1	1
186	не есть	67	1
187	реально и	1	1
188	о личности	1	1
189	и теперь	1	1
190	находятся в	1	1
191	и то	15	1
192	время есть	6	1
193	но как	7	1
194	понимать что	1	1
195	ибо только	1	1
196	бы и	4	1
197	история и	1	1
198	мы можем	5	1
199	и эти	2	1
200	мы видим	6	1
201	эта не	1	1
202	а с	2	1
203	в данном	5	1
204	определенный момент	1	1
205	только к	2	1
206	что оно	9	1
207	стремиться к	1	1
208	и более	7	1
209	можно говорить	2	1
210	вместе с	3	1
211	и здесь	1	1
212	по природе	1	1
213	в жертву	1	1
214	обстановки и	2	1
215	отличие от	1	1
216	в самом	6	1
217	мир в	1	1
218	вопрос о	3	1
219	и очень	2	1
220	они не	3	1
221	в отечестве	1	1
222	может не	1	1
223	она должна	2	1
224	них в	1	1
225	это в	1	1
226	только что	5	1
227	поскольку они	1	1
228	такова же	1	1
229	они являются	1	1
230	также что	2	1
231	бы она	2	1
232	составе и	1	1
233	интеллигенции и	4	1
234	говорили об	1	1
235	душа и	1	1
236	в случаях	1	1
237	к этой	1	1
238	переходит в	1	1
239	действие в	1	1
240	что каждая	1	1
241	исторического бытия	1	1
242	нем в	1	1
243	она не	10	1
244	уже в	5	1
245	должна быть	5	1
246	более или	5	1
247	ними как	1	1
248	есть прежде	1	1
249	связана с	1	1
250	только как	3	1
251	того чтобы	1	1
252	мы знаем	1	1
253	равным образом	1	1
254	она всегда	1	1
255	только мы	1	1
256	есть для	2	1
257	новую и	1	1
258	и менее	1	1
259	и всегда	1	1
260	в отдельности	3	1
261	как известно	3	1
262	но до	1	1
263	который конечно	1	1
264	которая хотя	1	1
265	формы в	1	1
266	во многих	1	1
267	усилия и	1	1
268	в определенном	2	1
269	что это	21	1
270	не более	1	1
271	одно и	8	1
272	знаем и	1	1
273	ни на	8	1
274	сохранить и	1	1
275	не были	1	1
276	и уже	4	1
277	ли или	1	1
278	мысли и	3	1
279	из тех	1	1
280	и никому	1	1
281	и образы	2	1
282	науке и	2	1
283	из этих	2	1
284	идеи и	5	1
285	что если	4	1
286	что с	2	1
287	что то	1	1
288	идеи идея	1	1
289	связанные с	3	1
290	именно на	1	1
291	не как	4	1
292	и другие	1	1
293	только один	2	1
294	об отношении	6	1
295	оно ни	1	1
296	зрения той	1	1
297	от этой	1	1
298	и вся	1	1
299	что уже	3	1
300	мы все	1	1
301	в каждом	4	1
302	только на	3	1
303	где он	1	1
304	лиц и	1	1
305	и этим	1	1
306	глаза на	1	1
307	не с	5	1
308	что эта	5	1
309	пусть не	2	1
310	может оказаться	2	1
311	не об	1	1
312	xix в	1	1
313	в других	1	1
314	и мертвых	1	1
315	склонность к	3	1
316	и при	3	1
317	и что	17	1
318	науки и	5	1
319	и живое	2	1
320	уже она	1	1
321	в различных	2	1
322	не могла	1	1
323	некотором смысле	1	1
324	ибо то	1	1
325	что и	7	1
326	жизни она	1	1
327	царская власть	1	1
328	кто не	1	1
329	тем и	1	1
330	сторона –	1	1
331	в окружающих	1	1
332	мы хотим	1	1
333	или его	2	1
334	другой стороны	7	1
335	есть некоторая	1	1
336	еще в	2	1
337	совершенно явственно	1	1
338	как ни	3	1
339	нет никакого	1	1
340	этом смысле	4	1
341	бы что	1	1
342	к жизни	1	1
343	как явление	1	1
344	это значит?	2	1
345	живыми и	1	1
346	выражается в	1	1
347	весь мир	2	1
348	далеко не	2	1
349	только то	7	1
350	об идее	1	1
351	в современной	2	1
352	в этих	6	1
353	них и	2	1
354	что все	2	1
355	в истории	1	1
356	как оно	1	1
357	различия между	3	1
358	так же	6	1
359	человека с	1	1
360	в предыдущем	1	1
361	также и	7	1
362	как она	7	1
363	его в	3	1
364	в церковь	1	1
365	знаем что	2	1
366	тем больше	1	1
367	над ним	1	1
368	вопрос об	5	1
369	литературы и	1	1
370	который не	2	1
371	было и	1	1
372	их не	1	1
373	и движение	1	1
374	все же	9	1
375	понять в	1	1
376	и притом	7	1
377	идет речь	2	1
378	нигде в	1	1
379	как таковую	1	1
380	нового не	1	1
381	всего что	1	1
